"分類名稱","分類URL"
"【  網友精彩回憶錄  】","https://www.ptt.cc/man/EuropeTravel/DFA8/index.html"
"【 歐洲各國旅遊資訊 】","https://www.ptt.cc/man/EuropeTravel/D507/index.html"
"【   旅館大搜集     】","https://www.ptt.cc/man/EuropeTravel/D2DF/index.html"
"【   留學新資訊     】","https://www.ptt.cc/man/EuropeTravel/D3AF/index.html"
"【    出國事宜      】","https://www.ptt.cc/man/EuropeTravel/D4FA/index.html"
"【    常見問題      】","https://www.ptt.cc/man/EuropeTravel/D561/index.html"
"【  行程規劃與交通  】","https://www.ptt.cc/man/EuropeTravel/D14F/index.html"
"【   抱怨與讚嘆     】","https://www.ptt.cc/man/EuropeTravel/D970/index.html"
"【 可能想知道的消息 】","https://www.ptt.cc/man/EuropeTravel/DB18/index.html"
"【    戀戀歐風      】","https://www.ptt.cc/man/EuropeTravel/D527/index.html"
"【      備忘錄      】","https://www.ptt.cc/man/EuropeTravel/DD88/index.html"
"▆▅▅▄▄▃▂▁","https://www.ptt.cc/man/EuropeTravel/D8D7/index.html"
"▅▆▇   ￣▍","https://www.ptt.cc/man/EuropeTravel/D8D8/index.html"
"▆▅▅▄▄▃▂▁","https://www.ptt.cc/man/EuropeTravel/D8E1/index.html"
"▅▆▇   ￣▍","https://www.ptt.cc/man/EuropeTravel/D8E2/index.html"
