"title","date","link","nrec"
"[抽獎-學術問卷]國外旅行團幸福感因果調查","7/24","https://www.ptt.cc/bbs/EuropeTravel/M.1753329600.A.09D.html","1"
"[請益] 計畫北歐＋格陵蘭旅行 求最穩上網解法","7/24","https://www.ptt.cc/bbs/EuropeTravel/M.1753331074.A.D6B.html","4"
"[問題]The Vienna FLEXI Pass的使用","7/25","https://www.ptt.cc/bbs/EuropeTravel/M.1753411690.A.C82.html",""
"[請益] 歐洲冬天下雪平路所需要的鞋子","7/25","https://www.ptt.cc/bbs/EuropeTravel/M.1753422879.A.314.html","5"
"[請益] 倫敦景點取捨請益","7/25","https://www.ptt.cc/bbs/EuropeTravel/M.1753429676.A.A0C.html","12"
"[遊記] 馬德里趴趴走 - 太陽門廣場、馬德里王宮、麗池公園","7/26","https://www.ptt.cc/bbs/EuropeTravel/M.1753512732.A.AE4.html",""
"[心得] 雋品旅行社 義大利 2026/3/28出發","7/27","https://www.ptt.cc/bbs/EuropeTravel/M.1753622749.A.77A.html",""
"[請益] flyplay航空公司托運行李尺寸","7/27","https://www.ptt.cc/bbs/EuropeTravel/M.1753623033.A.A34.html",""
"[遊記] 捷克庫倫洛夫 斗篷橋/聖維特教堂/舊城區","7/28","https://www.ptt.cc/bbs/EuropeTravel/M.1753632813.A.473.html",""
"[心得] 愛爾蘭 東歐超市 有水餃、蔬果、飲品","7/29","https://www.ptt.cc/bbs/EuropeTravel/M.1753718732.A.F89.html",""
"[請益] 希臘8天+土耳其2天 行程請益","7/31","https://www.ptt.cc/bbs/EuropeTravel/M.1753965470.A.248.html","2"
"[遊記] 波多趴趴走 - 聖本篤車站、路易一世大橋、杜羅河","7/19","https://www.ptt.cc/bbs/EuropeTravel/M.1752910214.A.9AF.html",""
"[請益] 維也納註冊nextbike","7/20","https://www.ptt.cc/bbs/EuropeTravel/M.1752942994.A.F10.html","2"
"[遊記] 奧地利維也納 美景宮/百水藝術村","7/20","https://www.ptt.cc/bbs/EuropeTravel/M.1753026672.A.328.html","1"
"[心得] 愛爾蘭 在愛爾蘭喝珍珠奶茶 三種方式試試","7/20","https://www.ptt.cc/bbs/EuropeTravel/M.1753027170.A.B18.html",""
"[心得] 愛爾蘭 都柏林市區導覽 茉莉女孩,Bar,教堂","7/21","https://www.ptt.cc/bbs/EuropeTravel/M.1753027208.A.FD4.html",""
"[請益] 義大利蜜月建議","7/22","https://www.ptt.cc/bbs/EuropeTravel/M.1753177243.A.5E9.html","11"
"[問題] 關於布達佩斯卡","7/22","https://www.ptt.cc/bbs/EuropeTravel/M.1753193096.A.3CB.html","6"
"[心得] 愛爾蘭 發現澳洲藥妝店Chemist Warehouse","7/22","https://www.ptt.cc/bbs/EuropeTravel/M.1753198854.A.083.html",""
