"title","date","link","nrec"
"[抽獎-學術問卷]國外旅行團幸福感因果調查","7/24","https://www.ptt.cc/bbs/EuropeTravel/M.1753329600.A.09D.html","1"
"[請益] 計畫北歐＋格陵蘭旅行 求最穩上網解法","7/24","https://www.ptt.cc/bbs/EuropeTravel/M.1753331074.A.D6B.html","4"
"[問題]The Vienna FLEXI Pass的使用","7/25","https://www.ptt.cc/bbs/EuropeTravel/M.1753411690.A.C82.html",""
"[請益] 歐洲冬天下雪平路所需要的鞋子","7/25","https://www.ptt.cc/bbs/EuropeTravel/M.1753422879.A.314.html","5"
"[請益] 倫敦景點取捨請益","7/25","https://www.ptt.cc/bbs/EuropeTravel/M.1753429676.A.A0C.html","12"
"[遊記] 馬德里趴趴走 - 太陽門廣場、馬德里王宮、麗池公園","7/26","https://www.ptt.cc/bbs/EuropeTravel/M.1753512732.A.AE4.html",""
"[心得] 雋品旅行社 義大利 2026/3/28出發","7/27","https://www.ptt.cc/bbs/EuropeTravel/M.1753622749.A.77A.html",""
"[請益] flyplay航空公司托運行李尺寸","7/27","https://www.ptt.cc/bbs/EuropeTravel/M.1753623033.A.A34.html",""
"[遊記] 捷克庫倫洛夫 斗篷橋/聖維特教堂/舊城區","7/28","https://www.ptt.cc/bbs/EuropeTravel/M.1753632813.A.473.html",""
"[心得] 愛爾蘭 東歐超市 有水餃、蔬果、飲品","7/29","https://www.ptt.cc/bbs/EuropeTravel/M.1753718732.A.F89.html",""
"[請益] 希臘8天+土耳其2天 行程請益","7/31","https://www.ptt.cc/bbs/EuropeTravel/M.1753965470.A.248.html","2"
"[買賣] 交易/徵求/轉讓/租借 文,請至此推文~感謝~","8/25","https://www.ptt.cc/bbs/EuropeTravel/M.1440488881.A.6E1.html","爆"
"[公告] 即日起禁止交易外幣","2/09","https://www.ptt.cc/bbs/EuropeTravel/M.1518186091.A.A7F.html","3"
"[問題] 玩歐洲最便宜的國家（地區）","7/03","https://www.ptt.cc/bbs/EuropeTravel/M.1751504302.A.934.html","31"
"[請益] 英法行程請益","7/05","https://www.ptt.cc/bbs/EuropeTravel/M.1751712340.A.8A3.html","19"
"[問題] 巴黎聖母院預約","7/11","https://www.ptt.cc/bbs/EuropeTravel/M.1752187496.A.753.html","11"
"[請益] 義大利多洛米蒂or托斯卡尼","7/13","https://www.ptt.cc/bbs/EuropeTravel/M.1752347761.A.562.html","12"
"[問題] 法蘭克福T2轉T1，含拿行李5小時夠嗎","7/13","https://www.ptt.cc/bbs/EuropeTravel/M.1752372601.A.06B.html","6"
"[遊記] 捷克布拉格 台灣飯店/列儂牆/查理大橋","7/13","https://www.ptt.cc/bbs/EuropeTravel/M.1752391867.A.BE3.html","3"
"[遊記] 里斯本趴趴走 - 龐巴爾下城、阿爾法瑪區、貝倫區","7/13","https://www.ptt.cc/bbs/EuropeTravel/M.1752402391.A.EE8.html",""
"[問題] 西地中海郵輪港口選擇請益","7/14","https://www.ptt.cc/bbs/EuropeTravel/M.1752456125.A.62F.html","10"
"徵求7/15晚米蘭飯友！（經典義餐）","7/14","https://www.ptt.cc/bbs/EuropeTravel/M.1752484920.A.843.html",""
