"分類","標題","URL","內文","內部連結"
"【    出國事宜      】","◇ 【火車時刻表那裡知】","https://www.ptt.cc/man/EuropeTravel/D4FA/M.927716404.A.html","這些國家的鐵路資料可以在下述網站找到

1.www.bahn.de/english.html

2.www.sncf.fr/

3.www.sncb.be/

4.www.thalys.com/


--

英國法國日本美國墨西哥夏威夷韓國中國大陸香港澳門新加坡馬來西亞印尼泰國越南
挪威丹麥芬蘭冷按群島瑞典瑞士德國義大利列支蹲是登安道爾葡萄牙西班牙梵諦岡
奧地利捷克斯洛伐克波蘭匈牙利愛爾蘭蘇格蘭北愛爾蘭威爾斯曼島聖馬利諾台灣


--

◆ From: 140.112.252.232",""
"【    出國事宜      】","◇ 最基本出國事項","https://www.ptt.cc/man/EuropeTravel/D4FA/M.927302327.A.html","首先............要準備四個東西

就是人......照片兩張 身分證正反面影印本 印章 護照

到廣州街和延平南路的入出境管理局地下一樓54號櫃臺辦理

一個小時後到六十一好櫃臺領取...........

就這樣簡單 現在越來越方便囉 想起當年 真是辛酸不已！！



--

英國法國日本美國墨西哥夏威夷韓國中國大陸香港澳門新加坡馬來西亞印尼泰國越南
挪威丹麥芬蘭冷按群島瑞典瑞士德國義大利列支蹲是登安道爾葡萄牙西班牙梵諦岡
奧地利捷克斯洛伐克波蘭匈牙利愛爾蘭蘇格蘭北愛爾蘭威爾斯曼島聖馬利諾台灣


--

◆ From: 140.112.252.232",""
"【    出國事宜      】","◇ 歐洲匯率兌換表","https://www.ptt.cc/man/EuropeTravel/D4FA/M.924054013.A.html","有鑑於大家經常到歐洲旅行 在幣值換算上有點亂 除非很清醒

要不然在旅途中可能平白損失不少銀子 你還沒有發現

因此在此貼出各歐洲國家幣值 供大家參考 以免旅程中幣值搞錯而有價值觀差異



幣別（一單位）    單位             可以兌換到的台幣

1.阿爾巴尼亞       lek             0.22
2.奧地利           先令            2.76
3.白俄羅斯         盧比            0.00052062
4.比利時           法郎            0.93
5.保加利亞         lev             0.01953
6.克羅埃西亞       kuna            5.40
7.塞普路斯         鎊              65
8.捷克             克朗            1.06
9.丹麥             克朗            5.11
10.愛沙尼亞        克朗            2.43
1.芬蘭            馬克            6.41
12.法國            法郎            5.80
13.德國            馬克            19.50
14.希臘            drakhmi         0.11
15.匈牙利          forint          0.16
16.冰島            克朗            0.48
17.愛爾蘭共和國    鎊              48.75
18.義大利          里拉            0.0198
19.拉托維亞        lats            59.09
20.立陶宛          litas           8.63
21.廬森堡          同比利時法郎    0.93
22.馬其頓          denar           0.606
23.馬爾他          里拉            88.63
24.摩達維亞        leu             7.303
25.荷蘭            盾              17.25
26.挪威            克朗            4.67
27.波蘭            zloty           10.21
28.葡萄牙          escudo          0.19
29.羅馬尼亞        leu             0.004048
30.俄羅斯          盧布            5.63
31.斯洛伐克        克朗            1.01
32.斯洛維尼亞      tolar           0.21
33.西班牙          peseta          0.23
34.瑞典            克朗            4.53
35.瑞士            法郎            23.21
36.土耳其          里拉            0.0001373
37.烏克蘭          hryvna          16.81
38.英國            鎊              55.7
39.南斯拉夫        dinar           3.25
40.歐元            ecu             38.23


僅供大家參考




--

台大旅遊家熱情招生中
  社辦於二活801室
每星期三中午12:30於共403聚會
  歡迎有事沒事有問題沒問題有意見沒意見
都來找我們  這樣就好了

--

◆ From: 140.112.252.232",""
"【    出國事宜      】","◇ 義大利、法國、西班牙平價住宿精選","https://www.ptt.cc/man/EuropeTravel/D4FA/M.924053104.A.html","作者: together (想遠方的朋友) 看板: TravelGuy
標題: 義大利、法國、西班牙平價住宿精選
時間: Tue Mar 23 12:10:08 1999


Hello Italy！Hello France！Hello Spain！

          您以為法國都是有錢人渡假的地方嗎！若您講究的是漂亮
          的旅館大廳、豪華的裝潢，那麼您在渡假時，當然要付出
          一筆龐大的住宿費用了。若您只是希望有一個安全、乾淨
          、穩密、清靜的住宿環境，讓您在旅途勞累之餘，有一個
          休息的好場所，這種平價的旅館，不要說是在法國，連巴
          黎也是找得到喔！

          這三本書〞平價住宿精選〞，分別在每一個國家，都介紹
          了至少三十個以上的都市、鄉村旅遊點，而每一個旅遊點
          也分別介紹數個至數十個住宿旅館，這些旅館除了擁有一
          般水準之外，當然最重要的就是平價，其雙人房的平均價
          格，都在美金$40-90之間。

          書中不僅提供訂房聯絡，單人、雙人、三人房住宿費用，
          更詳細的列出，例如旅館中那一個房間景觀最佳、那一個
          房間最近重新裝修過、房間內電視、電話、吹風機、冰箱
          等設備、旅館是否提供早餐、由巴士站到達旅館的方向指
          示，鄉村旅館的健行步道、環境安全、以及附近捷運、地
          下鐵站等。

          若您附帶的希望住宿點離飛機場、火車站、巴士站較近，
          或是在市中心等地方，書中也有詳細資料，供您查閱。更
          有趣的是，若您在訂房時，提起您的資料是由這本書而來
          ，住宿費用還可以折扣優待呢！

          為了以公正客觀的角度來撰寫這三本書，作者逐一拜訪每
          一間旅館，並以自費（謝絕旅館招待）親自體驗住宿環境
          。詳細記錄旅館服務的每一個細節，對其環境、住宿等，
          做一個深度的介紹。

          以下特別例舉西班牙的馬德里、法國的巴黎、義大利的威
          尼斯住宿精選：

          西班牙馬德里Madrid
          旅館：Dominguez、十一間房、其中六間有私人衛浴
          地址：Calle de Santa Brigida 1, 1st fl.
          聯絡：5321547
          價格：單人房2,300 ptas、雙人房2,700 ptas、
          交通：Metro捷運、Tribunal站
          其他：無電梯、無早餐、只接受現金、

          法國巴黎Paris
          旅館：Residence Chalgrin、二十間房、其中十五間有私人衛浴
          地址：10 rue Chalgrin
          聯絡：Tel: 0145001991、Fax: 0145009541.
          價格：單人房170-240 francs、雙人房270-470 francs、
          　　　三人房470- 485 francs
          交通：Metro捷運、Argentine站
          其他：早餐時間6:30-10:30am、費用30Fpp、房間設備含
          　　　電話、電視、無電梯、五層樓建築、12/24,25不開放

          義大利威尼斯Venice
          旅館：FIORITA、近San Marco (St. Mark旧 Square)
          　　　十間房、其中八間有私人衛浴
          地址：Campiello Novo 3457/A, 30124.
          聯絡：Tel: 041-5234754. Tel/Fax: 041-5228043.
          價格：單人房110,000-135,000L (56-69E)、
          　　　雙人房165,000-185,000L (85-95E)
          　　　三人房240,000L (123E)、四人房280,000L (144E)
          其他：住宿費含早餐、時間8-10、房間設備含電話、電視
          　　　、吹風機、中央暖氣、一層樓建築、01/08-02/08不開放

          每一本〞平價住宿精選〞的售價都不到美金$20，而您只
          要有機會運用一次其中的資料，即可以省下許多住宿費用
          ，真是何樂而不為呢？相關義大利、法國、西班牙平價住
          宿精選的網頁，請參考：
          
http://www.helloeurope.com
 - Hello Europe

--
台大旅遊家每星期三中午12點30分在共同403與大家做旅遊聚會
台大旅遊家社辦 二活801室
台大旅遊家社版 PTT 140.112.28.191 社團旅遊類：TravelGuy

              台大旅遊家永遠歡迎你～

--

◆ From: 140.112.242.23

--

◆ From: ntumcc37.mba.nt



作者: xvms (大家太在意暱稱了) 看板: EuropeTravel
標題: 請問希臘....
時間: Wed Apr 14 07:33:50 1999



請問希臘有什麼好去處?
機票大約是多少
要從那裡轉機,還是有直飛的班機
謝謝!
*^_^*

--

               ~~~路是人走出來的
                     生命也是如此
                         每個生命最終都會找到他的方向~~~

--

◆ From: vincent.m8.ntu.","http://www.helloeurope.com"
"【    出國事宜      】","◇ 歐洲的天氣要如何知???","https://www.ptt.cc/man/EuropeTravel/D4FA/M.953027385.A.html","建議你可以參考cnn的網站

根據我的經驗還蠻准的


http://www.cnn.com/WEATHER/



--

◆ From: 140.112.252.232","http://www.cnn.com/WEATHER/"
"【    出國事宜      】","◇ 電話卡","https://www.ptt.cc/man/EuropeTravel/D4FA/M.934029012.A.html","剛從英國和歐洲回來
給大家一個建議
出國一定一定一定要買儲值電話卡才方便又便宜
又沒有國界限制
不用換每一國的銅板
中華電信有出
桃園機場就買得到
五百塊台幣大概可以講二十七～九分鐘
我在英國因為沒有買電話卡
大概花了兩三百台弊也沒講到一兩分鐘
英鎊跳的之快

相信我
記得要買電話卡喔！！

--





--

◆ From: tp-as03-ppp115.



作者: sandyhui (hui) 看板: EuropeTravel
標題: Re: 提一下電話卡
時間: Sun Aug 15 00:55:58 1999



        好像10英磅的電話卡
        大概只能講10分鐘吧好像是這樣
        反正很貴就是了
        如果你人在英國無法在台灣買到便宜的電話卡
        可以到倫敦的中國城去買
        我記得應該是在china town中的一間書店可以買到喔
        不過店名忘記了
        再不然呢
        就是先打電話回台灣
        告訴他你的電話號碼
        (英國的公共電話都有電話號碼)
        要他們打過來囉

--

◆ From: sj235-1.dialup.



作者: tako (希望你快樂) 看板: EuropeTravel
標題: Re: 提一下電話卡
時間: Sun Aug 15 01:16:38 1999



  其實幾乎每一家Thomas Cook都會有出售類似中華電信的那種電話卡
  問問就有了

--

◆ From: ccsun26.cc.nctu



作者: Adino (累死了) 看板: EuropeTravel
標題: Re: 提一下電話卡
時間: Sun Aug 15 01:22:08 1999

如果出國把電話卡用完了

你可以請家人在台灣買中華電信那種

在打電話回去問密碼就可以了



--

◆ From: tp-ts06-ppp118.



作者: jonann (ㄚ妮) 看板: EuropeTravel
標題: Re: 關於英法電話卡....
時間: Thu Sep 30 23:27:50 1999


我""聽""我男朋友說~~~
因為他現在在英國念書,
那邊有專門賣給留學生的電話卡,
一分鐘大概七塊錢台幣,
我不確定我有沒有聽錯,
但每次他打電話回台灣給我,
都聊粉久,
應該是真的沒錯吧~~~
但詳細我就不清楚囉!

--

◆ From: h67.s15.ts30.hi",""
"【    出國事宜      】","◇ 信用卡方面問題","https://www.ptt.cc/man/EuropeTravel/D4FA/M.934005672.A.html","事實上不只是中國信託的可以提錢
        其他的銀行的都可以
只要看你所持有的金融卡背面的系統（例如cirrus plus....等等）
如果提款機上有相同的系統標示 就可以在那提款啦！
不過好像在台灣必須先設定外國提款時所用的密碼
只要在台灣到任一提款機選擇更改密碼
在選更改國際密碼就行了吧


--

◆ From: tp-ts06-ppp102.



作者: Nyle (appears..愛現!!) 看板: EuropeTravel
標題: Re: 信用卡和旅行支票
時間: Sun Apr  9 20:33:12 2000


如果你要去的是歐洲的話
用visa卡是最方便的
還有
要去英國的話
用thomas cook的旅行支票是做理想的啦
因為它不用收手續費
滿划算的呦....

--

◆ From: h104.s27.ts30.hinet.net",""
"【    出國事宜      】","◇ 國外租車問題","https://www.ptt.cc/man/EuropeTravel/D4FA/M.926145446.A.html","國外租車須知

◆必要條件
　 年滿25歲。 　 持有國際駕照。 　 持有本國護照。

◆租車應注意事項
　 挑選聲譽良好的租車公司。
　 確定租期。（一般而言七天期租金最划算）
　 確定取車、還車日期及地點。（週末假期租金另有優惠）
　 確定車型、規格。（租車公司均備有車型一覽表）
　 確認保險內容。 保險內容必須有：車損險、意外險、第
　　　　　 三責任險、乘客險、竊盜險及火險。
　 確定駕駛人數。 兩人或兩人以上駕駛同一部車輛需額外
　　　　　 支付保險費，夫妻則免。
　 取車時檢查並確定車輛配備。 例如：音響、空調設備、
　　　　　 備用電池、滅火器、備用輪胎。

◆租車期間注意事項：

　　發生意外時，若一開口便說「I'm
sorry.」表示承認自已有錯的話，則對往後的交涉十分不利，這點與國內大不相同。切勿向
警方取得事故證明。

◆旅遊當地行車方向

　　 歐美地區與我國相同。日本、紐澳及英國遵循方向為左邊。 遇警車臨檢時充分合作拴
車內勿留置任何財物、行李。 非絕對必要避免搭載陌生人。

--

--         一個兼具土木、水利、海洋工程的系所
    ●  國立臺灣海洋大學 河海工程系 基隆市北寧路二號
   ●●   河工小站   www.hre.ntou.edu.tw (140.121.145.100)

--

    我對廣告的瞭解只有一點點概況罷了！

    廣告所要廣告的，不只是
，還有
。


--

◆ From: AQRA.Dorm10.NCT



作者: plastic (濃情蜜意用不盡) 看板: EuropeTravel
標題: Re: 國外租車問題
時間: Sun May  9 16:32:35 1999



      在國外租車的情況和國內相同
      可以租國民車也可以租高級車啊..
      至於費用嘛..本來手邊有本子雜誌有介紹
      不過不知丟到哪了...



      幾年前去Las Vegas玩時看到
      美國的租車店中一堆Firebird/Camaro/Mustang之類的跑車
      而且價位不高
      美國精神象徵的Corvette也不少
      有些店是專門出租歐洲車的 費用更加昂貴
      店裡大部份都是Mecerdes Benz的CL跟Jaguar的敞篷車
      Ferrari嘛...很少見說...
      只在一家店有看到一台Testarossa



      德國的cab好像都是用賓士的嘛...



      即使在原產地 Ferrari也算是稀有車吧..


--

    
？        　　
    　　　　　  　　　  　           
？
　　　　　　　　　　        
 .......",""
"【    出國事宜      】","◇ 深根簽證","https://www.ptt.cc/man/EuropeTravel/D4FA/M.927211943.A.html","去那一國的辦事處啊

--

◆ From: p210-67-34-114.



作者: liukt (港都鼓節迎2000) 看板: EuropeTravel
標題: Re: 深根簽證
時間: Thu May 20 22:46:26 1999


這我想不重要拉！！

得文是schagen




一些在台的簽證單位 有荷蘭 法國 德國 比利時 西班牙 希臘

其中 德國簽證雖然最貴 但最好用 且好拿 希臘效用最短


--

英國法國日本美國墨西哥夏威夷韓國中國大陸香港澳門新加坡馬來西亞印尼泰國越南
挪威丹麥芬蘭冷按群島瑞典瑞士德國義大利列支蹲是登安道爾葡萄牙西班牙梵諦岡
奧地利捷克斯洛伐克波蘭匈牙利愛爾蘭蘇格蘭北愛爾蘭威爾斯曼島聖馬利諾台灣


--

◆ From: 140.112.252.232",""
"【    出國事宜      】","◇ 國際學生證...","https://www.ptt.cc/man/EuropeTravel/D4FA/M.927302274.A.html","準備一張一吋的照片,學生證,費用兩百元



--


                        大雨過後 美麗的彩虹出現

                        傷心過後 黑夜的寂寞相隨


--

◆ From: sh38-164.dialup



作者: ATOLF (顫抖的慾望) 站內: EuropeTravel
標題: Re: 國際學生證
時間: Wed Jan  5 20:01:58 2000



沒記錯的話應該是

康文基金會〈金展旅行社〉、自助旅遊協會、大亞百貨公司樓上‧‧‧

--
      


--

◆ From: 210.67.65.42



作者: liukt (11份報告大挑戰) 看板: EuropeTravel
標題: Re: 國際學生證...
時間: Fri May 28 00:31:02 1999



我覺得歐洲比較好用 美洲就不太好用囉 ！！

我曾經在英國兩個半月省下大概三萬元

去年在北歐地區旅行 也大概省下三萬到四萬

我覺得要看你會不會去用 若你不知道使用方法 當然會覺得他沒啥好用囉


--

台灣日本美國墨西哥夏威夷韓國中國大陸香港澳門新加坡馬來西亞印尼泰國越南
英格蘭法國挪威丹麥芬蘭冷按群島瑞典瑞士德國義大利列支敦士登安道爾葡萄牙
西班牙梵諦岡奧地利捷克斯洛伐克波蘭匈牙利愛爾蘭蘇格蘭北愛爾蘭威爾斯曼島
聖馬利諾立陶宛愛沙尼亞拉脫維亞突尼西亞台灣


--

◆ From: ccsun45.cc.ntu.",""
