"文章標題","文章URL","內文","內部連結"
"◇ [轉錄]奧地利-維也納公寓民宿","https://www.ptt.cc/man/EuropeTravel/D507/D605/M.927600690.A.html","發信人: 
[email protected]
 ( 維也納 ~小白~), 看板: travel
標  題: 奧地利-維也納公寓民宿
發信站: 台大電機 Maxwell BBS (Sun May 23 19:10:07 1999)
轉信站: Ptt!news.ntu!bbs.ee.ntu!Maxwell

奧地利-維也納公寓民宿
餐館:
福興飯店
Kreuzgasse 18 (黃淑玲)
A-1180 Wien
Tel: (002431) 4085603

住宿:     Schuhmanngasse 32 3/9
          A-1180 Wien
(廚房, 洗手間, 浴室, 大陽臺..)
價錢;     二人 / 家庭 :
    日:  400.-   700.-
    週:  2500.- 4500.-
先令; 奧地利貨幣單位  x 2.5
連絡: 0933-533042
e-mail: 
[email protected]

請提早預約


--

        


--


--

◆ From: t194-68.dialup.","/cdn-cgi/l/email-protection|/cdn-cgi/l/email-protection"
"◇ [問題] 奧地利怎麼玩","https://www.ptt.cc/man/EuropeTravel/D507/D605/M.1121877109.A.178.html","對音樂有興趣的話可以到莫札特的故鄉─薩爾斯堡
先看看莫札特的故居在附近逛逛
登纜車到堡上聽音樂會也是不錯的享受
可以俯瞰整個城市
或是電影“真善美”拍攝場景的教堂
米拉貝爾花園也是蠻漂亮的
或是往薩爾斯堡近郊的【哈倫鹽洞】看看，這個昔時出產豐富、分佈廣闊的
鹽礦坑，現在已發展成為兼俱趣味與教育性意義的旅遊景點，可以換穿工作服、深入礦
坑。

喜歡音樂的話那而隨時有驚喜喔
上回我在那兒就遇上一個由年齡層分佈極廣的的樂隊
從傍晚六點多就在電影真善美場景的教堂前廣場演出
一直到九點多
人群環繞著
跟著樂曲搖擺
也有小酒吧的客人露天品酒欣賞音樂
父母帶著小孩靜靜欣賞
當樂曲節奏強烈時
父母親會自然的帶著小孩隨樂曲跳舞
原來音樂在音樂之都
是像空氣一般的自然呢

對了
要聽音樂會的話
在維也納市區
都會有穿著仿莫札特時代人物的服裝及假髮的服務生
販賣晚上音樂會的票
因為是觀光客去聽較多
所以其實服裝儀容不要太誇張都可以喔
那兒真是太太太太棒了

待維也納光聽音樂會就很享受囉
祝你旅途愉快

對了
那兒的名產是莫札特巧克力
現在台灣也有但是價錢是當地購買的兩倍喔










--

◆ From: 218.170.170.77",""
"◇ 請問一下奧地利","https://www.ptt.cc/man/EuropeTravel/D507/D605/M.934834015.A.html","嗯巧克力都很甜~蛋糕也都甜而大
       可能是為了有熱量抵禦寒冷吧(冬天真的蠻冷的~風又大)
        不過我覺得奧地利很好玩喔
        而且如果有時間的話
        可以去聽聽她的音樂會
        她一些當季的音樂會(歌劇啦~交響樂啦~..etc)
        都有水準上的演出喔
        不然的話~
        也可去吃""音樂晚餐""(有莫札特~史特勞斯等的音樂相伴)
        蠻有趣的
        另外~奧地利的cafe跟巴黎坐起來又是截然不同的感覺喔
        (不過我那時是冬天啦)
        另外據說奧地利的消費即使在歐洲也算是比較貴一點的
        但我想如果是跟團~又沒啥大瞎拼的話
        應該是還好吧
        祝你玩的愉快喔~*^_^*




--

◆ From: h82.s80.ts30.hi",""
"◇ [請益] 6/14去奧地利德國","https://www.ptt.cc/man/EuropeTravel/D507/D605/M.1118451982.A.8E6.html","下禮拜要出發了...
http://tinyurl.com/a4wrr
 奧地利德國十天

    因為是團體旅遊...就沒做功課了...不過好像不能這麼混耶...

    天氣預報好像是8~19度...好像跟台灣冬天的氣溫差不多

    現在去歐洲是不是要穿長袖啊？要不要帶保暖的？還是太陽大要防曬呢？

    雖然我應該不會買什麼東西啦...但還是問一下有什麼特產可以買的嗎？

    如果知道的人請告訴我，謝謝！ ^_< *

--

◆ From: 220.135.128.60



作者: composer0 (我愛諾貝爾) 看板: EuropeTravel
標題: Re: [請益] 6/14去奧地利德國
時間: Fri Jun 10 22:36:40 2005



  我是剛回來...我想帶件夾克 裡面穿短袖的 這樣就可以
 很怕冷的話 戴圍巾或絲巾 天氣就是比較涼 乾燥 不用太很多衣服
  根本不會髒
 天氣很難跟你說 氣候很舒服 但是沒有照到太陽又會冷 有照到太陽就覺得很溫暖
 中午的話 太陽大很熱

 要買東西的話 我想可以買雙人牌的東西 (在台灣很貴) 或是M&F
  這兩樣是德國的名產 看到就可以買了 因為我觀察過 在德國定價都一樣
  另外還有水晶 比起台灣算便宜
  但是退稅的問題 線在德國有新的退稅公司在辦退 中間賺的很多
  (超不爽) (算一算在機場買是免稅還比較便宜辣)
  所以其實東西可以在機場買就好了(哈哈)

 如果你是男生的話 可以去一個叫做特拉斯圖的城市 就超級大的名牌OUTLET
都是當地的人在買的 超便宜 女生也有

 我覺得不用戴防曬的 去那裡買德國用的 他們的超級市場或是藥妝店
 有超級多 超級便宜各式各樣的乳液 防曬品 德國人超喜歡擦這些東西的
 (氣候乾燥不擦的話皮膚會癢)

 另外再跟你說件天大的好康 如國歐元用不完 千萬不要急著花掉
 如果你有到曼谷轉機 去曼谷換泰幣 再換回台幣吧 (去了你就懂了 不要說太多辣)
(我是沒享受到 所以來報好康的)
 另外還有一點心得就是  德國的機場BURBERRY 比較便宜
  有的 東西德國當地不見得便宜喔 不要被騙了
還想知道什麼的話可以回信問

--

◆ From: 140.112.55.45","https://tinyurl.com/a4wrr"
"◇ [請益] 請幫我看看奧地利的行程","https://www.ptt.cc/man/EuropeTravel/D507/D605/M.1121698026.A.67E.html","2004/7/8        Vienna(5:50am)
2004/7/9        Vienna
2004/7/10       Vienna-Salzburg-Werfen(Ice Cave)-Salzburg
2004/7/11       Salzburg-Hallstatt
2004/7/12       Hallstatt(Salt Mine)-St.Wolfgang-St.Gilgen-Salzburg-Zell am See
2004/7/13       Zell am See(Grossglockner Hochalpenstrasse冰河之旅)-Innsbruck
2004/7/14       Innsbruck(Igls)
乾脆貼我去年的行程給你看好了
那七天跑這些地方  簡直是趕來趕去累到快吐了
尤其我爬了維也納森林、Werfen、冰河 、鹽礦也要爬一小小段
當最後一天坐纜車上到Igls發現又要爬山時  簡直就晴天霹靂
行程是我排的  只能說自做虐不可活  但就可憐了我同學

所以我給你良心的建議  別把行程排太緊
尤其旅行常常會充滿變數  像我在Salzburg就發生蠢事
結果整個市區只算把上面的要塞古堡逛過  其他地方等於只有經過而沒辦法參觀
到現在還是很後悔  湖區也都是隨便晃過去  搭個船就算到此一遊
Wien排兩天也是趕到不行  還好後來我們提早結束別國的行程回到Wien
才算比較透徹的玩過Wien

而且如果你是像我一樣沒看過冰河的
建議你不妨考慮  把Innsbruck和楚格峰都刪了
可以換從Zell am See搭巴士去大鍾山國家公園Grossglockner Hochalpenstrasse參觀冰河
那段山景超美的  下去走冰河更是酷到不行的體驗
而且這是可當天來回的行程  不會很趕

雖然Igls我個人是很喜歡  撘上山兩段式的纜車超讚  爬上山後四周的風景也很漂亮
不過我也看過有人說奧地利的Alps山景沒瑞士美
最重要是拉到Innsbruck有點遠  而且照你原先的行程安排上Igls也很趕
所以我才會建議你不妨把楚格峰的行程挪去參觀冰河
等以後去德國時再去楚格峰參觀

這樣你10天行程可以變成Wien-Wien-Wien-Werfen+Zell am See-大鍾山-Salzburg-
St.Wolfgang-Hallstatt-Wien-Wien
從Wien-Zell am See途中到Werfen去看冰洞
比較麻煩的是我記得Werfen火車站是沒寄物櫃的
所以可能要請火車站或小巴士的人幫你保管行李就是了

--

◆ From: 61.228.206.199




作者: hondoh (hondoh) 看板: EuropeTravel
標題: Re: [請益] 請幫我看看奧地利的行程
時間: Mon Jul 11 00:54:15 2005





湖區那邊小有問題
你翻ㄧ下地圖就知道
鹽礦就在Hallstatt
冰洞也在Hallstatt附近，好像是火車的下ㄧ站
不知道你房間定了沒

如果沒定的化路線改ㄧ下會更順
Innsbruck--salzburg市區--沃夫岡湖，沙夫山---Bad Ich---Hallstatt+鹽礦+冰洞
----Wien
楚格峰我不確定離Innsbruck比較近或Salzburg

Salzburg之後用郵政巴士
Hallastatt回維也納用火車(要在一個大站換主線)
抱歉我手邊沒資料(放在家裡)
這樣就順得多了

如果你堅持要直接從Innsbruck--Hallstatt--至少要結束鹽礦+冰洞--bad Ich--沃夫岡湖
----Salzburg---Wien
這樣你才不會跑來跑去
Salzburg--沃夫岡湖---Bad Ich這一段搭郵政巴士最順就對了


我建議儘量住在湖區民宿
風景很漂亮，很能體驗當地風情
Salzburg市區沒什麼很棒的理由要住在那邊
民宿也不大貴，通常還有附早餐
奧地利真的很棒很漂亮

--

◆ From: 140.119.191.88



作者: wren (我的歐洲夢) 看板: EuropeTravel
標題: Re: [請益] 請幫我看看奧地利的行程
時間: Mon Jul 11 01:31:13 2005


我看我去年的紀錄  10點撘攬車上Igls山上  下來已經2點多了
上山的纜車不便宜  17歐的樣子
你花這錢上去不爬山也說不過去  但這樣你時間應該會不夠吧
要我會寧可選擇在Innsbruck市區悠閒的晃來晃去

Werfen是在Salzburg南下到Zell am See之間
照理來講Innsbruck-Salzburg的火車有經過
不過是小站所以快車都沒停  還是得轉車過去
Werfen跟Hallstatt附近的那個冰洞是不同的
Werfen是民營的  沒打燈  就純粹提個小煤燈欣賞它的壯觀
據說是世上最大的冰洞  到現在都還沒全部被挖掘完
而且爬去Werfen的冰洞有一點點辛苦啦
不過參觀完真的很感動  洞內很冷  要記得帶禦寒的衣物
提煤燈時要小心  我去年一不小心還燒到褲子  幸好我人沒事
Hallstatt附近的那個我沒去  聽說燈光打得很漂亮就是了

去obb(奧地利國鐵)網站查交通方式吧
會幫你把連接方式弄得一清二楚  連郵政巴士資訊都有

--

◆ From: 61.228.206.199



作者: wren (心理心裡有個謎) 看板: EuropeTravel
標題: Re: [請益] 請幫我看看奧地利的行程
時間: Wed Jul 13 18:44:36 2005


這個行程LP  或精英都有推薦呀(請別看Mook)
我其實是看了諾曼地大空降  覺得E連最後落腳的Zell am See看起來好美 才立志去的
可能是因為每年公車只從5月開放到9月底
但那山景真的很讚
而且強力建議一定要撘纜車下去走冰河
很棒的體驗
當然衣服要穿多一點  去冰洞和看冰河都頗冷
尤其去年七月上大鍾山還大雪紛飛  簡直讓我傻眼

Zell am See本身也是一個很美很精緻的湖邊小鎮
記得要去湖邊步道悠閒地散散步

順便附上交通資訊:從Zell am See火車站前的公車站搭郵政巴士651,
9:25開  11:40到Grosglockner Franz Josefs Hohe
原車15:00出發16:33回到Zell am See

我很喜歡奧地利  希望你玩得愉快呀

--

◆ From: 61.228.192.19",""
"◇ 維也納的青年旅館","https://www.ptt.cc/man/EuropeTravel/D507/D605/M.1121874841.A.9D6.html","haus doebling不錯，空間大還有廣大中庭可以日光浴
        房間有沖澡設備
        籃球場排球場還有internet (money)
        事實上很多當地學生都住那
        但秘書對不會德語的人不友善
        一個月好像是5000 schilings（記不太清楚）
        但一次須住一個月
        tram 38可直達市中心，交通方便

        asian-africa hostel住得都顧名思義
        就在市中心(tram 38與U2交點前一站）
        有整套衛浴設備
        價格比haus稍貴一點點（當然可以選只有沖澡的房間）
        晚上不熱鬧，有點恐怖（雖然在市中心）
        黑人看起來滿恐怖，但我遇到的都還滿和善的
        不適團體居住  但適合個人短期居住（一次須付清2 wk）
        位置不好找，秘書在哪裡更難找
        且秘書的英文應該只有小學程度  黑人也都只會講德語
        我是有奧地利朋友翻譯才解決一些棘手問題的

        以上都是適合孤僻須single room且經濟狀況住不起飯店的遊客
        當然還有更便宜多人一寢（可以多至10數人）的hostel
        那我就不清楚了（我是孤僻的人）

--
        No pain could be deeper         No life could be cheaper
        No point anymore if she can't love me
        No hope she would do so         No dream to pursue, so
        I look to myself, despite all the things I see
        For I know that she             Cannot set me free
        Let the world be done with me

--

◆ From: 163.30.22.173",""
"◇ 奧地利火車票","https://www.ptt.cc/man/EuropeTravel/D507/D605/M.1123380208.A.546.html","如果你想在奧地利境內去很多地方
那我建議大家辦
1. vorteil card 20歐 可以打差不多5折 (但這不是重點)
2. summer card 40歐 可以任你做火車一個月 限7~9月 然後星期1到星期5
  只能坐早上8點後的車以及不能坐夜車 星期6和日沒有規定
(這一定要有vorteil card才能買 所以等於說花60歐 隨便坐)

我和同學就是花了60歐
從維也納去了Graz Linz Salzburg Hallstatt Innsbruck 以及許多美麗的小鎮

---
而且後來我去捷克的 BRNO玩一天 再去不拉格
我買車票的方式是:
我只花5歐買到BRNO的火車票 (到邊境不用錢 邊境到BRNO有VORTEIL CARD打折)

之後BRNO到不拉格我坐公車 很舒適的那種 有小螢幕可以看電影 有免費咖啡喝的車
只花150 克朗 約台幣200元

給要去奧地利和捷克的人參考參考

--

◆ From: 192.192.90.202",""
"◇ [問題] 奧地利的國鐵票？","https://www.ptt.cc/man/EuropeTravel/D507/D605/M.1123800773.A.41C.html","老實說，我也不知道它的確切意思，
　　　猜測就是團體票之類的吧？？



　　　自動售票有英文版，用起來很簡單
　　　選定出發跟終點，然後，它會問你要買幾人的，
　　　可以先試算價格再決定要不要買


　
　　　奧地利的火車票有很多規定，
　　　有的要在一天內用完，中途可停自由上.下車，
　　　在一定的距離以上，中途甚至可以停三天，
　　　但是，我不是很確定這種情況的正確用法，只是知道有而已。

　　　至於，這中間的停留點的話，
　　　因為我自己都沒有去，所以也就沒有辦法給建議了。^^""

　　　關於奧地利火車的問題，在”歐洲自助旅行充電站”討論了很多，
　　　可以去看看。

　　　網址：
http://www.eurotravel.idv.tw/



--

◆ From: 192.192.120.235



作者: gracechi (小紀) 看板: EuropeTravel
標題: Re: [問題] 奧地利的國鐵票？
時間: Thu Aug 11 13:55:25 2005



買票有很多種便宜的方法呀~ 這就是其中一種
這種票適合用在兩人到五人! 從第二個人開始有折價,第一人沒有
可以免費帶腳踏車上火車,如果放腳踏車的地方有足夠位置
甚至可以不用幫腳踏車預約

如果妳是家人一起旅行 又擁有VORTEILScard Familie
這樣你的一個小孩如果小於14歲

Fur 5,- EUR pro Person kann auch noch eine Platzreservierung fur einen
Sitzplatz und den Rad-Stellplatz in EC/IC-Zugen erfolgen.
加5歐元的話 你就可以幫你的位置預約 還有 幫你腳踏車預約(EC/IC的車車)


Kleingruppen 小團體
Grupen 團體
Zwei Personnen 兩個人

其實通常你跟他講說要兩人,沒意外的話,他都會給你最便宜的價格 : D


我不喜歡用自動售票機 因為那是給沒時間排隊的人,而且通常沒有這種選項.


可以ㄚ! 但是就比較貴啦 ^^
你在買票之前,就把你想怎樣都告訴售票員
一起買一買絕對比較便宜的啦,記得要買來回票
單程一定貴多了 :P

要便宜的話還有一個方法
不過如果超過26歲只適合長期旅行
他們有一種卡叫做VORTEILScard,只要持有此卡,買票都可以半價!
小於26歲:只用19...歐元左右(只要買wien-lienz來回票,就滑的來了)
大於26歲:滿貴的 我忘記多少錢了! 要搭滿多次也要夠遠才有辦法滑得來!
期限是一年~ 看你覺得怎麼樣摟! 如果你算算看滑的來
到櫃檯就可以跟他講說你要買這種卡! 他會給你表格 只用填一點點東西!
填完馬上就可以辦了^^
不過如果奧地利沒有認識的人的地址可以收信,就會拿不到卡就是了
他會給你一張紙,在你還沒收到卡之前那張紙就是卡 :D

--

◆ From: 61.230.50.43","http://www.eurotravel.idv.tw/"
"◇ 一些維也納的住宿資訊","https://www.ptt.cc/man/EuropeTravel/D507/D605/M.1125535163.A.0C0.html",":
:


我並沒有到維也納

不過當初有蒐集一些維也納的住宿資訊 (沒實際住過 僅供參考)

Vienna Wombats City Hostel  Address : Grangasse 6, 1150 Vienna,　Austria.
Phone Number : +43 1 897 2336 Email Address : 
[email protected]

hostel  16 eur (4 bed mixed dorm)房間有locker
(註:評價普遍OK)

奧地利-維也納公寓民宿 餐館:福興飯店 Kreuzgasse 18 (黃淑玲) A-1180 Wien
Tel:(002431) 4085603住宿:Schuhmanngasse 32 3/9 A-1180 Wien
連絡: 0933-533042 e-mail: 
[email protected]
 請提早預約
(註:有試圖聯絡過 但e-mail好像有問題)

周太太民宿  雖然不是套房，衛浴設備新又摩登。熱水全日供應。暖氣充足。
採光非常良好，2.2m落地窗。離捷運一分鐘，捷運四通八達，交通方便。
安靜，風景美。雙人房一人20歐元 單人25歐元 不包早餐
聯絡: +43 6991 9711027 周太太 (email:
[email protected]
)
(註:本來有計畫去維也納 跟周太太聯絡過 態度親切熱心)


希望能幫上妳的忙唷~


--

◆ From: 211.75.111.31","/cdn-cgi/l/email-protection|/cdn-cgi/l/email-protection|/cdn-cgi/l/email-protection"
"◇ [心得]冬天維也納的相關資訊","https://www.ptt.cc/man/EuropeTravel/D507/D605/M.1133705954.A.10E.html","圖文版網址:


http://diary.blog.webs-tv.net/liyuyang/article/511531



我想這個時節來維也納的人應該不多，畢竟真的是天寒地凍且沒有什麼陽光。
不過既然有機會到這邊，雖然只是三天的停留，但還是稍稍貢獻一下相關資訊，
畢竟行前查了精華區，發現冬天來奧地利的資訊很少。

因為三天我都在感冒中度過，所以去的地方也很有限，加上本人不會德文，
因此如果提供的資訊有缺失或是錯誤的地方，都歡迎前輩們指教，謝謝。


語言:德語
* 奧地利人說德語，這也是第一次來的我來到之後才發現的，但是路上的人
  大多會說英文，且英文程度都很不錯，至少我三天問路下來的結果是如此。
  若是不會英文的人，也都很有友善，如果問的地方很近，會主動帶你去。

人群:嚴格來說，還算是友善，不過當地的人不笑的時候都有一點嚴肅的樣子，
     好像是習慣了看見日本人，如果到店家去都會問說你從日本來嗎?
     治安還不錯，可能是因為天冷大家都行走匆忙，並不會有像在羅馬的西班牙廣場，
     有時候會覺德有怪怪的眼光在盯你，不知道是好奇還是....

飲水:據精華區的資料說能生飲，我也試了，但是同行的同事說這邊的水是硬水，
     喝起來不會好喝，我不知真假，但也深深這麼覺得，所以都會去dm買水，
     但還是喝起來不怎麼樣。
     有一個牌子叫做Romerquelle的水喝起來跟旅館水龍頭流出來的差不多，
     今天買的另一個牌子Montes則好喝多了。
     (不會德文，希望那個名字沒拼錯也沒看錯，看錯了要跟我說一下啊。>\\\<)

購物:去買手套的時候店家是說要71Euro以上才能退稅，如果買精品的話就不用擔心了，
     在Stephans那邊的Kohlmarkt大道上面有許多台灣人喜歡的精品店，
     LV，香奈爾跟Gucci，退稅是退13%，LV是用Global Refund再離開的時候退給你，
     香奈爾則是另外一種退到信用卡的，比較麻煩。
     這邊買LV一樣都是便宜台灣25%-30%，香奈爾因為不知道台灣的價錢，
     只知道如果以一個定價大約三萬三的包包，在美國要賣四萬二。
     所以大概便宜蠻多的吧。
     店員都很客氣，沒有羅馬LV的大小眼，買了之後會送你到店門口。

     來到這邊一定會買莫札特巧克力，嗯，跟之前看精華區的資料說的一樣，
     越觀光的地方的店賣的越貴，但是偏偏又一直找不到所謂的超級市場，
     後來終於在今天晚上讓我找到一家，叫做Billa的生鮮超市。
     我去的那一間在U4地鐵站的Schwedenpl出口附近，看似很小其實不小。
     所有東西都比在Stephanspl附近買便宜0.3-1Euro，(千萬別忘了1Euro是40台幣阿)
     如果一買多的話差價就很可觀了。
     這一家超市有網址，可以參考一下:
     
http://www.billa.at

     她們的塑膠袋要20 cent，提醒一下大家。

     這一家店的東西價錢筆錄上看見的類藥妝店dm的價格便宜，所以如果要買
     大量東西的話，建議在這邊購買。

飲食:由於本人不能吃牛，所以來這邊真的是很沒口福。奧地利的料理好像很多都有牛肉，
     加上天冷，以及本人的歐八桑愛吃中餐個性，在這邊的三餐都吃得很慘澹。
     唯一有吃當地一家餐廳就是Wienerwald，她賣很多雞肉料理跟烤雞，
     但是我因為極想吃飯，點了Chicken Breast ""asia""中標，又鹹又難吃，
     雖然一大盤只要8.8Euro，但是真的懷疑是不是廚師手滑把整包鹽都加進去了。
     姐姐點的奧地利式的雞肉料理就據她說很好吃，真無奈。
     Winerwald有網址，因為她好像是連鎖店。不過只有德文，請參考。
     
http://www.wienerwald.de/index_site.php


交通:維也納市區有地鐵，每搭一次是1.5Euro，一整天的pass好像是5Euro，
     但是因為第一天全程用走的，當場發現維也納的市區不大，以為自己第二天
     也能用走的，哪知第二天溫度驟降，所以就搭了兩次地鐵，買了兩次票。

     維也納的地鐵不同線會有不一樣的顏色，跟我們的捷運運作方式是一樣的，
     而且不一樣的顏色是連車站裡面的公佈欄消防栓什麼的全部都漆成該線的顏色，
     讓你一目了然當下等的是哪一線的車。

     雖說要買票，但是其實進出卻不須向台北一樣憑票進出，即便有一個很像讀卡
     機的東西，但我看當地人很少有人刷，而且不知道她們是否都買通勤票，
     幾乎沒有人在排隊買票，都市直街進出地鐵站，但我想外國人還是乖一點，
     每一段我都乖乖買票。

     其實維也納不大但是地鐵卻蠻密集的，夏天來的情況我不清楚，但是冬天的時
     候卻是非常多人在搭乘，可能是地面上實在太冷了。要進車廂也要稍微擠一下
     才能進去，跟台北還有東京或紐約相仿。

     車門到站的時候會自動開關，但其實也有門把能自行開關，對我這個鄉下人來說，
     真的蠻特別的。

主題:耶誕市集

    拉雜了一堆，終於要進入正題了。因為我第一天跟同事一起出遊，所以主題就
    變成了名店之旅，有一點可惜，因為行程就被打亂，且想去的Leopord Museum
    也就沒去，但偏偏第二天禮拜二她休館，於是我與Egon Schiele的約會就延後
    到下一次自己來維也納了，殘念。
    第二天我在好心的飯店人員推薦之下，一個人去了當地的耶誕市集，雖說冬天
    來奧地利真的不是時候，但是也只有這個時節才有機會遇到耶誕市集啊。
    後來查資料發現，耶誕市集其實很多歐洲城市都會有，每當耶誕節開始的前一
    個月底就開始，一直到耶誕節當天。

    維也納耶誕市集時間:11月12號開始到12月23號 早上9點到晚上9點。
                       12月24號當天是到下午5點。
    耶誕市集的地點在City Hall的對面，如果搭地鐵的話是在U2紫線的Rathaus站
    出來，跟著人潮就沒錯了。我當時剛到暫時還一直在研究，就有一個好心的
    媽媽領著我去市集，當下心理覺得很溫暖。

    所謂的city hall是飯店人員為了讓我理解說的，事實上市政廳的那一個建築物
    的標示是Friedrich-Schmidtplatz。而耶誕市集就在這棟大建築前面的Rathaus
    Park舉行。

    顧名思義是耶誕市集，所以當然就是很多攤販組成的，但是因為去的都是當地人，
    到也讓我這個外國人覺得很新鮮，有時候再思考旅行的意義是什麼，
    是看遍名山好水曠世巨作，還是過一天當地人的尋常生活，耶誕市集給我一種
    融入當地生活的錯覺，哪怕是我的黑髮黑眼珠還是突出，但是我喜歡看著一家
    大小說著我聽不懂的語言，每個攤位每個攤位開心的討論，小孩像爸媽撒嬌，
    要玩具要甜點。然後我也可以停下來，用英文點一串草莓巧克力串，或是跟當地
    人站在小攤前面大吃水煮玉米，接過那店家給我的點心，學她們說一句:Danke。

    攤位的組成大約是那一些，吃的小攤賣的多是甜食，尤其是巧克力當材料的甜食
    多得讓人目不暇給，若有賣熱食的就少不了烤香腸，或是pizza，三五攤逛下來
    難免有重複，但每一個店家的笑容都是溫暖的。

    賣蠟燭跟耶誕樹吊飾或裝飾的也很多，這些攤位難免還會賣一些獨有的商品，
    旋轉木馬音樂盒，或是精緻的洋娃娃，當我看著耶誕吊飾就想到我媽媽的年代，
    台灣人是做過大量耶誕吊飾代工的呢，對於不下雪的熱帶子民，那些吊飾是
    遙遠不可及的另一種生活方式，但如今身為台灣人的我也能因為工作的方式，
    來到維也納參與一下西方的耶誕市集，想來真是百感交急，也很感恩。

    玩具攤位也不少，賣的多是一些絨毛玩具，當然也有小男生喜歡的那一些車阿
    機器人阿，但是吸引我的還是冬天裡抱著睡覺會覺得溫暖的絨毛玩具。

    就再吃吃看看之間，天色漸漸暗了下來，因此攤位上的點點燈光就更有耶誕節
    的氣氛，明明還有一個月，但卻好像是當下轉身回家就能看見一家子團聚，
    圍著吃飯笑鬧的畫面。

    耶誕市集其實不大，畢竟我們都被士林夜市那種等級或是曼谷的週末市場給寵壞
    但是就當地人來說，這是少數會營業到晚上九點的地方，若不是耶誕節，一般
    商店約莫六點或是六點半就關門了。

    但是如果你也喜歡就一個旁觀者的身分去參與當地的生活，安靜的看著人群，
    聞著空氣裡食物的香味，聽著她們的話語跟笑聲，那耶誕市集是一個不錯的選擇。

    照片請參考:
    
http://album.blog.webs-tv.net/liyuyang


因為停留的時間很短，加上我又不會德語，所以能提供的資訊很有限，但還是希望
能夠幫助到跟我一樣冬天才來奧地利的人。
同時也希望板上若有目前正在奧地利或是歐洲的前輩，發現資訊當中有不確實，
或是不足的地方，能夠提出意見一起討論，謝謝大家。

也祝大家不管去哪裡都能有愉快的旅程!!

--


我只能這樣讓你走，流淚也要讓你走，多麼不捨也要讓你走，唯有讓你這樣走了，
才能完成某種事情，才能從這長長久久無止無盡的悲哀之河中流出。
看著你愈來愈模糊的背影，即將消失在我的視線，我流著淚，努力記住你最後的樣子，
這或許是整個宇宙裡，我們最後的一點關聯。

--

◆ From: 61.229.111.94","http://diary.blog.webs-tv.net/liyuyang/article/511531|http://www.billa.at|http://www.wienerwald.de/index_site.php|http://album.blog.webs-tv.net/liyuyang"
