"文章標題","文章URL","內文","內部連結"
"◇ 買東西記得要多注意點","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1121874263.A.7EE.html","今年暑假剛從歐洲回來
因為要幫朋友買伯肯鞋，所以在德國停留的時間便時時注意有沒有伯肯鞋的店，
最後在Titisee提提湖的湖岸看找到一家紀念品店，

大概是因為華人旅遊團很多吧，紀念品店裡有中國銷售員，
我買了兩雙鞋，一雙幫別人買一雙自己留著，心想既然幫別人買，
就用刷卡付帳好了，這樣回去有台幣的帳單比較好處理，
而且我心想既然是說中文就不怕會出差錯，
便當場以一雙付現一雙刷卡的方式付了帳，
簽名的時候我看到receipt上寫著cash DM69 visa DM79
心想沒有問題便簽了名，並且要了tax free，快樂的繼續踏上旅程。

回到台灣的時候，因為我有對帳的習慣，赫然發現我在titisee刷卡的金額，
並不是DM79，而是DM148，也就是我不只付了現金DM69外，還用刷卡付了148元！！

我因為陰錯陽差沒有退到稅，便就著收據上寫的email信箱寫了封信回去問，
第一次對方回信時要求我把所有帳單及收據寄回去，她們才能確認。
因此我開始向刷卡銀行申請我的帳單，打算收到了之後再一併寄過去，
在她們回信後的第四天，又有了一封信件，
可是這一次她們的態度開始有點推卸責任，她們的口氣就把責任推到信用卡公司頭上，
並且一副如果我不馬上寄回我的收據她們便不處理的口氣。

到底搞不搞的清楚狀況啊！
航空郵件有可能四天就寄到啊？！
而且我已經說明了我一拿到帳單就會把資料寄過去，
沒想到對方的態度竟然反來責怪我，
的確，簽名的時候我沒有做再三的確認是我的問題，
但是也不用擺了一副我是去騙錢的態度來回應啊！
況且此間紀念品店可以說是titisee最大而且最有名的咕咕鐘店耶！
竟然用此種方式騙顧客的錢。

大家在國外消費一定要多加注意，
如果有人要去titisee的話，在這家商店消費時可要多多注意。

Drubba Family
Seestrasse 37-41.
D-79822 Titisee

也就是在Titisee舊市區商店街底端的那一家大咕咕鐘店，
小心受騙上當還要受氣喔！


--

◆ From: 140.112.225.108",""
"◇ [心得]德國人其實還滿友善的啊..","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1121877757.A.93D.html","九月初的時候去德國玩10天
感覺上德國人還滿友善的耶
之前看一些旅遊書上介紹
大部分都說德國人很冷漠,不愛笑
有人說""微笑,在德國是有一定配額的商品""
但是我這次去都遇到滿多友善的德國人
雖然並不像美國或加拿大那樣熱情啦
不過整體感覺都還不錯

可能是因為去玩的地方比較偏西部和南部
所以比較好一點
據說北德陽光比較少,所以那邊的人笑容不多
南德大概陽光比較多,笑容也多一點吧

之前在版上詢問一些問題
有人推薦可以買花茶或水果茶
真的還滿好喝的
而且又便宜
麵包很硬很難咬可是很好吃
原味不加糖的優格也很讚
最好吃的大概就是葡萄吧
隨便超市買的葡萄都超好吃

不過我還是不太能適應上廁所要付錢^^""

這是這幾天照的照片
終於上傳好了
大家有空就看看囉^^


http://www.wretch.twbbs.org/album/adiapeng





--

◆ From: 140.119.141.113




作者: chewei (美麗人生) 看板: EuropeTravel
標題: Re: [心得]德國人其實還滿友善的啊..
時間: Wed Sep 15 16:03:29 2004



我八月初也在德國南部待了十天
最大的感想是""德國人不像傳說中的不友善嘛!!""
尤其我不會講德文
之前一個在德國唸書的同學還恐嚇我說
不會講德文......在德國會蠻糟糕的~ ~
但是我發現德國人對於我的英文實在很捧場......
基本上我都還能順利的達成我的目的

另外就是我覺得德國人在精確的高度工業外表下
還是有其圓潤的藝術層面
像慕尼黑的奧林匹克公園的流線型帷幕
除了讚嘆其頂尖的科技外
那種充滿曲線的美感
令我大為震撼~ ~

真的很推薦德國南部旅遊~ ~
物價水準還算能接受......
一餐大概10元以內就可以吃的很滿足......
也有一些很有趣的景點~ ~
例如Garmish纜車...Mittenwald製琴小鎮...
相簿只整理到奧地利部份......
大家有空也來看看吧~ ~順便留留言~ ~

http://cheweichang.pixnet.net

我會把剩下的照片繼續弄上去的~ ~^^

--

◆ From: 218.166.161.230



作者: ECSTASYFC (背影凝鏡5秒 fade black) 看板: EuropeTravel
標題: Re: [心得]德國人其實還滿友善的啊..
時間: Thu Sep 16 02:45:22 2004




我只能說

你沒有遇到漢堡人吧

我的經驗是 其實他們都好相處

我是一個女生 跟男生都很容易混熟

我覺得女生都比較tough 不過要是熟了 也都很可愛的

但是!!!!

漢堡人就不一樣

他們還是會有禮貌 但是很冷

冷漢堡

大家都跟我說 漢堡人就是那樣

除非你跟他熟了 不然都很冷 不說話 很酷的

可惜了漢堡帥哥 說真的

--

   如果已經不平凡，就不要想著還要平凡。


--

◆ From: 202.178.207.112



作者: suesue (一粒頭十粒大) 看板: EuropeTravel
標題: Re: [心得]德國人其實還滿友善的啊..
時間: Fri Sep 17 00:22:18 2004


我的經驗是不會耶
八月時我在漢堡待了一個月
我覺得那裡的人都很好阿
尤其是在超市裡，由於超市真的很大
很難找到特定的某種物品（例如礦泉水、果汁、優酪乳等等）
我都看準了一個看起來很慈祥的老太太
然後問她某樣東西在哪裡
她們都會很樂意回答我
問路的時候也是，某次我找不到布拉姆斯博物館，
跟一個年輕的女性問路，她還親自帶我去呢
還有一次要去音樂廳時，在地鐵出口走到反方向
一個老伯伯還""主動""問我們是不是要去音樂廳（因為正好有一個大型音樂會）
然後指引我們正確的方向呢

有次我朝一位女性走去，要問路，
就看到她斜向另一邊走去，並揮手表示拒絕
結果我開口問 「據說有一個很大的書店，在哪裡」（德文）
她馬上笑顏逐開，告訴我們在哪裡
我覺得可能是因為當地的流浪漢多，讓她以為我們是來要錢的@@

--

           


--

◆ From: 218.169.4.3



作者: strafrecht (是非成敗轉頭空) 看板: EuropeTravel
標題: Re: [心得]德國人其實還滿友善的啊..
時間: Fri Sep 17 06:20:53 2004



        我覺得有一點必須先理解，不管是那一國人，
        都是有友善以及不友善的人，在德國也是如此。

        如果只是來德國旅行，我想很難斷言德國人
        到底友不友善，畢竟妳每天接觸的對象，大多
        都是服務業的人，基本上，為了賺你的錢，也
        不太可能用張臭臉對著你。

        如果你是在德國讀書、工作，在此長期居留的人，
        我想你可能又有不同的認知，尤其當你得跟一些
        行政機關打交道時，很有可能會是依個讓你此生
        難忘的壞經驗。

        在我個人的接觸經驗中，我覺得台灣的服務業人
        員，是比德國的人員來的親切而且有效率，在對
        外國人的態度上，台灣人也是比德國人來的較友
        善。不過，比起義大利或西班牙人而言，德國人
        似乎又好了許多。


--

◆ From: 217.82.245.76



作者: indigo (不如一槍斃了我) 看板: EuropeTravel
標題: Re: [心得]德國人其實還滿友善的啊..
時間: Fri Sep 17 20:27:44 2004



這個有點難說，
因為德國服務業的人有時候是連德國人自己都要抱怨的。
至於我自己也曾經數年前在慕尼黑碰到一件這輩子絕對忘不了的事情。
那時和幾個朋友為了趕時間，就近找了一間麥當勞果腹，
然後我就親眼看著我面前站在櫃臺後的年輕女孩
滿臉笑容地送走一對父子之後，
在看見我的那一瞬間把臉上所有表情完全收起，
甚至流露出相當不友善的感覺。

從此之後我再也沒去過慕尼黑，
因為我當年在慕尼黑那幾天的愉快回憶完全抵不過這短短的幾秒鐘。

至於前面有板友因為大部分時間待在德國南部
而因此對北部人有任何預設立場，
我希望下次你有機會也來德國北部自己感受看看。



含淚同意。
即使在某些城市的戶政機關牆上貼滿「最友善行政機構全民票選」這樣的海報，
也還是避免不了這種你走進辦公室去、
和一個臉頰白裡透紅的帥哥你來我往短短兩分鐘，
最後只能吐血三尺怨恨自己來之前沒先好好燒個香的狀況。



以下這也是個人經驗。
義大利是多年去的，和當地人打交道結果有好有壞，
不過就我去年在西班牙一整個月的感想是，
就對外國人的態度而言，我倒不覺得西班牙人會遜於德國人。
我認為，不論會不會西班牙語，
西班牙真的是每個人一生之中應該至少要去一次的國家。

--

◆ From: 62.214.25.181



作者: strafrecht (是非成敗轉頭空) 看板: EuropeTravel
標題: Re: [心得]德國人其實還滿友善的啊..
時間: Fri Sep 17 23:28:43 2004



        目前德國的速食店，絕大部分都是在雇用外國勞工，
        由於薪資低，你也很難期待員工會有什麼好臉色。
        不要說是速食店，連一般餐廳很多都是充滿著外籍勞工，
        服務態度可以說是爛到極點...



        我每次看到德國行政機關上面貼的「誠心的為您服務」，
        我真覺得是一大諷刺，德國的公務員的行政效率和服務態度，
        真不知道要用什麼字來形容.... 爛到了極點...

        要講種族歧視，德國比美國更嚴重，只是德國人背負了二次大戰
        的罪名，嘴巴上不好講，但有些人還是一樣排外...


--

◆ From: 217.82.246.208



作者: draqula (天阿，我好想買GOLF啊！ꄩ 看板: EuropeTravel
標題: Re: [心得]德國人其實還滿友善的啊..
時間: Sat Sep 18 02:15:38 2004


恕刪

真的很有同感！去德國玩和去德國留學真的差很多！我是去德國短短一個月遊學，其實
算是遊玩性質，所以也沒和官方打啥交道，也遇到很多親切的德國人，但有些去唸書的
學長告所我，光是申請一個室內電話就花了一年，受盡許多刁難！而且你問我德國有沒有
種族歧視？絕對有！就拿一個最簡單的例子，即是你是外國人，妳在德國唸書也是免費的
，但為什麼一畢業後即使成績很好也無法在德國工作ㄋ？照理說，妳是靠德國納稅人的錢
才能免費唸書的，但他們卻不希望有任何回報，只希望你趕快回到自己的國家，把德國那
一套帶回去播種就行了！

--
                       我徹夜在浴室中讓滾熱的水一直沖灌下來
                       直到我的肌膚紅腫發痛
                       我渴望在這隱密的時刻有一雙眼睛來注視我 了解我
                       太多太多的語言塞在我的腦子裡 我把詩人美麗的語言燒去
                       我不要任何語言來干擾眼睛的注視

--

◆ From: 140.112.214.106","http://www.wretch.twbbs.org/album/adiapeng|http://cheweichang.pixnet.net"
"◇ 萊茵河","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.925529757.A.html","我只去過法蘭克福，所以不清楚萊茵河的美

 不過看了書本，就決定一定要去看看！

 以下文章是由rochelle所提供！！

 萊茵河知名源於“ＲＩＥＮ“一字，在古賽爾特與和現代德語中

 他都代表了潔淨和清澈的意思

 沿河數不清的葡萄園和城堡，據田園風味的城鎮，以及幽怨的傳說

 ，象徵著日耳曼民族性格中矛盾的特質:一方面熱愛生命且感情豐富，

 另一方面卻沈思默想且傲慢不遜；既勇猛好戰，卻又浪漫多情；

 連田園的幽靜與工業的擾攘雜沓也也都在萊茵河的景觀中。


  看完這篇文章讓我想起台灣的淡水河

--

◆ From: p210-67-34-135.",""
"◇ 德國啤酒真讚!","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.933861975.A.html","令我印象最深刻的是慕尼黑啤酒
我們做地鐵到東站
找不到旅遊書上記載的霍夫啤酒館
就派我去問路人
於是我們碰到了兩位很像同志的德國佬
講一講就很熱心說要帶我們去
又問我們是打哪來的?
""taiwan?我才剛從台灣回來ㄝ""------(當然這是英文)
""台灣人都很友善,每個人都有摩托車!都有大哥大!'
她還說他作捷運去淡水的時候 不知道怎麼去海邊
問旁邊的路人
沒想到那好心的路人就騎機車載他到海邊去
""台灣的人都好熱心,很友善,我喜歡台灣人""
帶我們去的啤酒館門口相當不起眼  還在整修當中
起初我們都很懷疑這真的是書上所說的那家霍夫啤酒館嗎?
但是一剛踏入大門 每個人都深信不疑這一定是
滿坑滿谷的人潮 座無虛席 人手一杯 齊聲吆喝
還有樂團穿著傳統的德國民服 看起來有點像是蘇格蘭裙
有室內有室外
充斥狂笑 豪邁的歌聲 還有桌子敲擊聲
每個人似乎都浸淫在啤酒世界裡
女服務生更是猛啊
一位肥都都的中年婦女
滿臉橫肉
一口氣居然可一抓10杯公升的啤酒
真是有夠猛的
啤酒不澀不苦 清涼解渴
令人不自覺的上癮
一口氣就可以喝掉三分之一
配上火烤香脆德國大豬腳
真是大快朵頤啊
真爽真爽!!!!!!!!!!!!
難怪乎人說慕尼黑啤酒舉世聞名
果然名不虛傳

--
  I'll be your dream i'll be your wish i'll be your fantasy!

  I'll be your hope i'll be your love be everything that your need!

  I'll love you more  with every breath truely madly deeply ...

--

◆ From: 140.112.240.116",""
"◇ 不會德語的人在德國獨自行動","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.952097050.A.html","去年剛考完就去啦....
只會說一句德文:對不起你能不能講英文?
但是,每天就這樣搭地鐵,坐公車,
去咖啡店坐坐,寫一下午的隨筆,看著那個長得超像基諾李維的waiter
去租一輛鐵馬騎遍整個市區甚至到旅行團決不會去的工業區,平民住宅區
買個甜筒,再隨著喧鬧聲前進,巧遇拜仁慕尼黑的瘋狂球迷在遊行....
好不容易搭火車到了下一個城卻下起雨來而且找不到台幣5000以下的旅館....
在車站裡遇到喝醉討錢被拒還會打你的亞裔女人.....
在何處都有對你笑的德國佬....
非常遙遠但是既便宜又充滿刻苦風味的小旅店.....
無緣無故積水的浴室.....
笑著故意搗蛋地在熱狗上淋著厚厚辣醬的小子....
一切都那麼令人懷念啊!

--

◆ From: irenee.fdorm78.nccu.edu.tw



作者: ichbin (黃鼠狼把狐狸吃掉) 看板: EuropeTravel
標題: Re: 不會德語的人在德國獨自行動
時間: Fri Mar  3 14:26:29 2000

其實不會啊.....
我還沒講完哩.....
可以坐黃色的市內觀光巴士,繞一圈市區回來已經結識另一個異國旅人....
心情空虛起來,就去到處都有的教堂裡坐坐....
所有的超市都買得到夢想中的個種燻魚火腿冷肉起士.......
麵包店有各種華麗地驚人的美味甜點......
有很棒的自行車道和乾淨整齊又很有整體感的市容.....
到處都有樂於幫助自助旅行者的德國佬....
只要你有禮貌又親 暱地表達你的苦惱他們會竭盡全力告訴你他們知道的一切...
我從不覺得是在個默生地方旅行,
而是非常地自在而且忠實地順從自己的心意
生活著....如此真實地.....
最後一個晚上因為飛機延誤一天而穫得額外的時間,
我在機場的小酒吧坐了整晚,看著WAITER忙得不可開交,
因為筆記本上密密麻麻的中國字換得摩洛哥人和希臘人的友情
塞一張紙條給一起登機的朋友告訴他們我會去機場會合後,
一個即將返鄉的亞洲女子和下班的南歐人.北非人擠在一部小小的破車
談著自己的國家,輕描淡寫地解釋10歲就離鄉背景的原因.....
在小小的公寓,我們看著照片裡夏天的摩洛哥,一邊聽著北非風情的慵懶吟唱
三個彼此都才認識不滿12小時的人之間不必有秘密或距離
我們都不會再相遇,但我們分享過彼此對生命的看法.....
就像摩洛哥人OTMANE珍惜地掏出客人留給他的各國錢幣一般,
這些分享過我的旅遊心情的人我永遠不會忘......

--

◆ From: Ashley.fdorm78.nccu.edu.tw",""
"◇ 在德國","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1041043121.A.000.html","德國的青年旅館大部份都可以在網路上查到，床位狀況與地址一應俱全，
   可以事先預訂，但是訂房要先用信用卡刷(沒有的話可以考慮辦張)

   就個人經驗，在德國的一些小城市，較能享受到較古風的歐洲文化，
   羅騰堡就是個好例子。
   如果你是從Frankfort下機，倒可以推薦你再去紐倫堡，
   法蘭克福→海德堡→羅騰堡→紐倫堡→慕尼黑
   對於十來天的行程是恰恰好。
   紐倫堡的YH就位在舊城堡區裡，十分的古色古香，只是要爬一段斜坡。

   歐洲鐵路都很貴，而且車都很快，有時候會感沒坐到什麼就花了一大筆錢..
   如果你不搭快車(ex:ICE,CE)，週末有weekend travel的票，
   可以坐一整天而且最多供五個人，很便宜，適合短程使用。


--

◆ From: 140.112.212.140




作者: Natasha (請歐盟嚴厲對待土耳其) 看板: EuropeTravel
標題: Re: [問題] 請問去過德國的人
時間: Wed Dec  4 23:51:15 2002



剛剛翻我今年十月的拜楊週末票(Wochenendticket)
只可以坐S/RB/RE/IRE
不能坐IR/D/EC/IC/ICE
週末票是最多五人€28
平日票也是五人€21
還有只能坐二等車廂

--
                                      


--

◆ From: 61.217.129.23



作者: maoyuan (Vermisse Dich...) 看板: EuropeTravel
標題: Re: [問題] 請問去過德國的人
時間: Mon Dec  9 22:33:46 2002


補充一點～
這種票德文叫做
schoeneswochenende
「美好的週末」票

不僅像之前所說的～
還可以「跨洲」
像去年暑假我們就一行人從漢堡一天之內坐車到Bremen、Kassel跟Goettingen
並在午夜十二點多殺回漢堡！
（沒辦法～暑期班學生的可憐玩法！）

不過還是很爽！！

Uebringens......

如果真的要坐長程的ICE的話！
一定要現在『台灣』！
先買好聯營車票！！！


住旅途愉快囉！





--


     你不能決定生命的長度  但你可以控制它的深度
             你不能左右天氣  但你可以改變心情
              你不能改變容貌  但你可以展現笑容
                你不能控制他人  但你可以掌握自己

--

◆ From: 140.112.230.107",""
"◇ [問題] 德國那買的到金耳扣","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1119616794.A.7D5.html","Steiff, 「副標」是 Knopf im Ohr，
不是和金耳扣同個公司，
它就是金耳扣。




http://www.steiff.com/
 這是他們的英文官網，

http://www.steiff-club.de/redesign_en/

這一頁可以搜尋特定地區或城市的商店地址。

不過我大概掃了一下，應該不用找得這麼辛苦，
德國常見的百貨公司 Karstadt 跟 Kaufhof 幾乎都有專櫃，
而且這是德國名產，要是在機場免稅店有得買我也不會太意外。XD

--

◆ From: 62.214.18.118","http://www.steiff.com/|http://www.steiff-club.de/redesign_en/"
"◇ [問題] 有可能從幕尼黑當天來回福天鵝堡嗎","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1119700862.A.D94.html","鐵路車次可以上德鐵網站查

http://reiseauskunft.bahn.de/bin/query.exe/en?newrequest=yes&protocol=http:&

參觀新天鵝堡可以當天來回
先坐火車至福森fuessen
再坐公車至新天鵝堡下的公車站Hohenschwangau, Schwangau
可以使用bayern ticket單人17euro/日,2~5人24euro/日
好處是搭公車不用再付錢,回慕尼黑想搭電車也不用付錢
壞處是9點以後才能使用(假日則不受限制),不可搭ICE,EC,IC



--
-----------------------------------
德意志旅程的四分之ㄧ

http://www.wretch.cc/blog/drlai


--

◆ From: 218.167.229.156



作者: Timsteven (早睡早起身體好) 看板: EuropeTravel
標題: Re: 有可能從幕尼黑當天來回福天鵝堡嗎
時間: Sat Jun 25 18:55:52 2005


        絕對可以..

        不過如果網友所言..不能在九點前用bayern ticket  = =""""

        還有啊..不要跟櫃台買票..會變貴!

        我那天買..奇怪..怎麼單人票是 19euros 記得之前看別人說 17euros啊

        後來才發現比較貴  = =凸

        德國人也是很奸詐的..都不跟你講

        我那天記得坐九點五十的火車  到福森中間會轉車 Bichxxx 忘了..B開頭

        反正十二點才到..再坐公車(一出火車站往右走就有巴士) 可到天鵝堡

        全程拿拜揚票就好了

        我只看有新天鵝堡..看一看再去橋那邊拍照..回福森車站時剛好三點多 上車

        回慕尼黑車站大概五點多

        給你參考

        對了..去新天鵝堡可選擇 馬車/公車/自己步行

        價錢當然是馬車最貴..不過自己走大概要 30min 看你想不想爬山

        我的建議是..上山可以坐馬車/公車..下山走回來 很輕鬆~

--

        生命的浪潮會帶給我們什麼..

--

◆ From: 61.70.222.84","http://reiseauskunft.bahn.de/bin/query.exe/en?newrequest=yes&protocol=http:&|http://www.wretch.cc/blog/drlai"
"◇ 德國的Die Bahn","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1120224927.A.570.html","不禁來大推一下
線上服務非常好
我之前訂的火車時刻更改不另外加價
且回信 重新開票 的動作非常快

狠推薦大家要是使用eurail pass坐CNL的話 可以和DieBahn 訂票

若是時間不趕的話 他也有免費寄送票到台灣的服務


http://www.bahn.de


有英文選項

幾乎所有歐洲火車都可以查到歐

--

◆ From: 193.171.33.53","http://www.bahn.de"
"◇ [情報]德國青年旅館網站","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/M.1120225230.A.AE3.html","http://www.jugendherberge.de/html/index.jsp


可以去青年旅館查：D
有些青年旅館比HOTEL還好 ：P
不過要住過才知道囉^^



--

◆ From: 61.230.53.144","http://www.jugendherberge.de/html/index.jsp"
