"文章標題","文章URL","內文","內部連結"
"◇ 【網站介紹】","https://www.ptt.cc/man/EuropeTravel/D507/D5F0/M.924408051.A.html","【Yahoo網站】

Museum：
      
http://www.gallerymillennium.cz/gb/index.htm


http://www.mucha.cz/mucha/default.asp


http://www.thelastunderground.org/


bars,pubs,and clubs：
      
http://www.praguepivo.com/


http://www.beer-kozel.cz/


bookstore：
      
http://www.globebookstore.cz/


movie：
http://www.filmfestivals.com/prague/index.htm


【蕃薯籐】

布拉格猶大博物館

http://www.jewishmuseum.cz/","http://www.gallerymillennium.cz/gb/index.htm|http://www.mucha.cz/mucha/default.asp|http://www.thelastunderground.org/|http://www.praguepivo.com/|http://www.beer-kozel.cz/|http://www.globebookstore.cz/|http://www.filmfestivals.com/prague/index.htm|http://www.jewishmuseum.cz/"
"◇ 東歐","https://www.ptt.cc/man/EuropeTravel/D507/D5F0/M.932921629.A.html","匈牙利與捷克的物價都蠻便宜的
很適合去玩玩喔
我建議可以先去匈牙利再到捷克
因為我覺得捷克比較好玩喔 ^_______^

在匈牙利我建議除了 Budapest 以外
可以去 Budapest 東南方的度假勝地 Kesckmemt

至於捷克嘛~~~~~~~~
我覺得布拉格值得待上一兩週喔
( 至少至少也要給它住個住三五天 )
另外受聯合國教科文組織保護的小城 Cesky Krumlov 極棒
可以在那裡住個兩晚
有名的溫泉聖地 Marianske Lazne 與 Karlovy Vary
也值得一去喔!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!


--
作夢  我沒有空
我更沒有酣睡的權利

--

◆ From: h73.s103.ts.hin",""
"◇ 請問一下飛到布拉格有落地簽嗎？","https://www.ptt.cc/man/EuropeTravel/D507/D5F0/M.934191456.A.html","不能
 要先到維也納的捷克大使館半簽證吧

--

◆ From: 140.112.214.174",""
"◇ 窮人的東歐行","https://www.ptt.cc/man/EuropeTravel/D507/D5F0/M.938733078.A.html","剛好暑假去了捷克和奧地利，提供點這兩個地方的資訊給你做參考好了

    先說捷克的情形好了，捷克物價算蠻便宜的
    各種的基本開銷舉凡食、住、行都蠻省的
    舉個例子好了，像2.5L的可口可樂約30克朗左右(克朗對新台弊的匯率約1:1)
    一天的花費(包含食、住、行)要壓在30USD以內，甚至更低也都可以辦得到

    至於奧地利嘛，東西就貴的多
    物價水準跟西歐差不多，吃的、住宿、交通花費及門票都不便宜
    如果想玩得省點，就得自己好好控制預算了…
    不過花費肯定會比捷克貴就是了

    至於信用卡，使用情形在這兩國是蠻普遍的
    應該是絕大多數的地方都可刷卡，除了有些民宿不收信用卡外，
    不過，如果去的地方太過鄉下，這我就不敢保證了…

    給你點建議，由於奧地利花費較高，如果想玩的省點
    在各方面都需要多下點功夫省錢
    如找較便宜的hostel、帶電湯匙or小電鍋之類的可以自己煮東西吃…
    吃苦耐勞一點，要玩的便宜也不是難事
    至於捷克的話，由於物價水準低，
    在捷克旅行不用太克苦耐勞也可以把花費壓低

--
兩隻冬夜裡的刺蝟，想要依偎著取暖，卻老是刺痛了對方。
因此，牠們合了又分，分了又合..................

--

◆ From: 140.112.249.167



作者: hoper (心泉之露) 看板: EuropeTravel
標題: Re: 窮人的東歐行
時間: Fri Oct  1 11:10:50 1999


捷克幣跟我們台幣大小差不多
普遍來說物價較台灣便宜
不過既然是去觀光就要小心....
因為那邊生活條件不是很好,錢也賺不多
所以他們會想盡辦法坑觀光客的錢,採買時最好貨比三家
(尤其是計程車...超黑的...污錢很有一套:P)
最好把自己荷包看緊一點...:P
在火車站你就會發現有很多民宿來拉客
由於是人民自己經營,所以價格便宜
不過最好是看清楚以免危險,可以先去火車站裡的旅館仲介看看

我沒去過匈牙利,不過聽說那裡生活比捷克更差
所以物價應該更便宜...

奧地利的物價約是我們的兩倍
所以不會很便宜....
消費跟中西歐先進國家差不多...

信用卡應算是普遍...
奧地利應該到處都有
可是捷克應該是觀光區才會比較通行...
匈牙利沒去過....再問問其他前輩吧:)

--

◆ From: ntumcc58.mba.nt",""
"◇ 捷克住宿經驗分享","https://www.ptt.cc/man/EuropeTravel/D507/D5F0/M.1114604476.A.ECF.html","以下均是2004年的資料，請另行參考網頁察看價錢有否變動
另外我去年是兩個人一起去的，所以是往這個方向去找住處...


[Praha]

David's Apartments

網址：
http://www.davids.cz

地址：9 Krizikova, Prague - Florenc
房間：公寓式，雙人房，衛浴與另一房間共用
價錢：1000kc/room
訂房：先給卡號，若未到會扣第一晚的錢

這是公寓式的住處，設備尚稱齊全，乾淨，安靜，不過對裝潢或氣氛就別太期待了
位於舊城區的東緣，周遭環境普通，不美但安全無虞
而交通位置便利是其最大優點
鄰近就是布拉格最主要的巴士轉運站，以及兩線地鐵交會站Florenc
而中央火車站、舊城區（至查理大橋）也都在步行可至的範圍，略遠一些就是
從價錢、住宿品質、方便性各方面來講，都算是個不錯的選擇



[Karlovy Vary]

Hostel Buena Vista

網址：
http://www.premium-hotels.com/buenavista/

地址：Moravska 44, Karlovy vary
房間：公寓式，四至六人房，房內有衛浴
價錢：278kc/person
訂房：網路訂房即可

也是公寓式的住處，含客廳、餐廳、衛浴、還有一個四至六人房，乾淨，裝潢不賴
因為是算人頭的，所以其實跟hostel有點類似，可能會跟其他人共住一房
旁邊就有公車站牌，因此來往主要火車站/巴士站都很方便
從旁邊一條小陡的路往下步行十分鐘內可抵達沿河岸的主要觀光地帶
不過，上山時要爬回旅館，就真的有點費力了:P
看在它便宜到不行的價格上，說什麼也要拼下去～



[Cesky Krumlov]

Pension Danny

網址：
http://www.pensiondanny.cz/

信箱：
[email protected]

地址：Latran 72, Cesky Krumlov
房間：雙人房，含衛浴
價錢：1050/room（含早餐）
訂房：e-mail訂房即可

這是一間很多人都在大推的民宿，訂房自然也是相當熱門
事實上在CK眾多的民宿間，這的確是相當物美價廉的一家

只是...我去年訂房時明明跟他們講了會很晚才到，大約是晚上11:30到
結果到了那邊，老闆娘打開門只跟我們搖手，說什麼沒房間了
老闆娘英文不通，結果只能和英文也不很好的老闆娘的女兒用電話一再詢問
竟然跟我們說什麼我們e-mail當中寫的是AM11:30會到，所以房間沒有幫我們保留
（怒！如果是AM11:30會到，怎麼可能信件前後文是在寫說會很晚到不知能不能保留）
（再怒！回台灣看看自己的寄件備份，明明寫的就是PM啊！連會搭的巴士班次都寫了= =）
最後被逼著淪落到在大雷雨的午夜，背著沈重的背包在街上開始找旅館的慘狀...

好啦，雖然是個很不好的經驗，但勉強說服自己是比較衰的特例
建議要訂房的人、但是又會比較晚到的人，務必三令五申確定他們沒有搞錯...



[Olomouc]

Hostel Betanie

網址：none
地址：Wurmova
電話：585 233 860
房間：雙人房，樓層衛浴共用
價錢：忘了，頗便宜就是，應該低於400kc/person
訂房：好空好空，不用訂XD

地理位置相當不錯，公車站、景點都在附近，價錢便宜，乾淨整齊
不過我們去的時候還真是空曠的驚人，安靜的異常XD
感覺很像是學生宿舍的hostel，跟某些hostel那種充滿外國觀光客熱鬧氣氛很不一樣
對於只是想有個地方好好休息住宿的人來講，應該是個好選擇


--
好像愈寫愈懶XD

--
我的個人網站【Sylvain/十二樓】
http://uuu.to/floor

捷匈旅遊相簿【藍色．啤酒．海】
http://bb.1asphost.com/sylvain12f/2004eeur/


--

◆ From: 203.204.3.152","http://www.davids.cz|http://www.premium-hotels.com/buenavista/|http://www.pensiondanny.cz/|/cdn-cgi/l/email-protection|http://uuu.to/floor|http://bb.1asphost.com/sylvain12f/2004eeur/"
"◇ [問題] 一個女生去布拉格..","https://www.ptt.cc/man/EuropeTravel/D507/D5F0/M.1115822002.A.DC1.html","其實布拉格整理來講還可以..
但是畢竟黑頭髮黃皮膚的人還有很顯眼
我有一次托著一個大行李搭他們的地下鐵
因為我剛出機場
剛剛把身上所有的錢都放進自己屁股的口袋裡
想說錢財不露白..所以先收起來..到了旅社在拿出來整理
不料..在地鐵遇到扒手
就看到一個男生..手上沒有拿什麼東西就只有帶一瓶水
不禁連想起..因為他們都要整天待在地鐵所以會帶一瓶工作??
他也蠻笨的..一看到我就往我身邊走過來站在我身邊..
當時我坐在車箱最裡面的位子..我還特地抬頭瞪了他一眼
後來要下車了..果然感覺有人在我背後摸..我不管是不是會撞到人
拖著行李就往另一側甩開他勾在我褲子口袋的手
他明明在我後面..一下子就衝到車旁快速逃走
還好錢都在..保持警覺囉..人要做壞事得時候..行為都怪怪的
再來就是廣場附近的餐廳..有幾間的態度都不太好
他們並沒有把菜單攤出來show在外面..因為他們有兩種價錢
一個是針對當地人..一個就是來壞觀光客的..
所以那間店都不要去..
離開廣場..在巷子裡面有一些餐廳..東西好吃又很便宜..
其實走個巷子又回到廣場上..但是價錢卻差很多..


--

◆ From: 82.5.32.42",""
"◇ [請益] 布拉格的民宿","https://www.ptt.cc/man/EuropeTravel/D507/D5F0/M.1116607276.A.347.html","這家其實不錯了呀
我去年6月去過, 位置真是超棒的，查理大橋過去就到了，
你說照片看起來有點破舊，我覺得不會耶
歐洲大多數的小旅館或者民宿都差不多這樣呀
他是位在一棟公寓，兩層樓的樓中樓，樓上那層有兩間房間，
樓下那層一間房間加上廚房洗衣機
樓上樓下各一間廁所，整個設備來說算不錯
尤其它的地點真是棒到沒話說，布拉格晚上還是很熱鬧
住在那裡的話我想就算是女生晚歸也不會有太大的問題

不過....最大的缺點就是面對大街的房間'外面有酒吧，晚上可能會有點吵
我們那時候是覺得還好啦，白天都玩得很累，一下子就睡著了
看你們囉，如果在去一次  我想我還是會優先考慮他....:p

--
妳的id還跟我有點給他像....

--

        
http://www.wretch.cc/album/cypres


        陸續增加的東歐旅遊照片～～～


--

◆ From: 163.29.223.22","http://www.wretch.cc/album/cypres"
"◇ [問題] 捷克行程","https://www.ptt.cc/man/EuropeTravel/D507/D5F0/M.1120226033.A.785.html","兩個問題一起回答
大部分人會建議KV與ML去一個地方就好，氣氛比較類似（不過你的時間還挺充裕的）
我去年是有在KV往CB的途中多安排了一個Plzen
就專程只是為了啤酒廠的tour，沒辦法，我是酒鬼:P
反正時間抓準（我版上之前有po過）可以玩得很「充實」囉


Brno會讓你很有...突然回到台北的感覺XD
當然還是有不少漂亮的建築、教堂
不過到時候你應該不會對這些東西有多大驚喜
Brno實在只是個大都市，完全忽略他一點也不可惜，利用轉車的空檔四處晃晃就好
Day 13也沒有必要再回Brno過夜，隔天從Olomouc一樣可以坐火車（經Brno）進Slovak

7/24在Telc過夜吧，我覺得你Day 12太趕太趕了
雖然可惜當地的音樂祭在7/29才開幕
不過此處還是有比Brno值得停留一晚的價值

其實拼一點的話，我甚至建議你不妨考慮把Slovak的幾天撥到捷克來
讓7/29可以在Telc度過，應該會不賴（不過應該蠻難排成這樣的，除非在CK玩到瘋:P）
我想Czech、Slovak、Hungary三國比起來，還是Czech可玩性最高喔


沒去過:P


我去年在Praha的行程與你Day2,3,4,5,8差不多，覺得玩得剛剛好
你排的近郊的另外幾個點就要問問其他板友囉
不過Praha真的是個很豐富的城市，光是安排每天的夜生活就很有意思


CK可以考慮多待幾天，騎馬、健行、泛舟都被推薦過，有人一玩就好幾天

既然會到Brno一帶，Moravsky Kras（石灰岩洞）是一定要去的啦
由於夏季是旺季，印象中通常要提前一個禮拜預定tour
不然就是要趕去參加每日最早的一個tour，建議提前去[i]問問
像我去年是前一晚在Blansko過夜


另外，請注意一下各城堡/教堂的開放時間喔（LP都有寫，很可靠的）
有些固定週幾不開放的，在排行程時要努力閃開

--
我的個人網站【Sylvain/十二樓】
http://uuu.to/floor

捷匈旅遊相簿【藍色．啤酒．海】
http://bb.1asphost.com/sylvain12f/2004eeur/


--

◆ From: 203.204.3.152","http://uuu.to/floor|http://bb.1asphost.com/sylvain12f/2004eeur/"
"◇ 推薦捷克CK的一家hostel","https://www.ptt.cc/man/EuropeTravel/D507/D5F0/M.1121700147.A.D88.html","叫做hostel skippy

我會推薦這家的原因 是因為老闆人很好

是一對姊妹開的 英文都很好 他們是捷克 古巴後裔

在美國長大 所以英文很好 不用擔心

姊姊還不太會講捷克文

而且他們很喜歡東方人 因為東方人很乖 XD 他們說的

而且他們hostel的後面就是vlvata流過 超像童話故事的

去了他還會給一張他們自己畫的地圖 超清楚又有用

一個晚上單人房只要250kc 不過在馬路旁邊

dorm好像是240kc吧

他們有間兩人房超大 超漂亮 看了很心動 兩個人去可以住那間

__________以下是pension danny不推薦之原因___________

我在那邊遇到一對夫妻 他們是住丹尼 很貴就不用說了 好像是8還900kc吧

服務態度又不怎樣 之前我原本也要住的 可是他們check in時間還規定你要五點前

我那時候想說不能配合就算了

這對夫妻七點多到 只有一個不會說英文的阿嬤

五點到八點是這個收錢阿嬤 八點以後就沒人了

而且他們會一直要錢 聽他們形容超好笑的 而且一次一定要全部付清

他們原本要先付一個晚上也不行 只好臨時去領錢

然後我覺得我住的老闆很好 她說看我方便就好

唯一的好處是早餐送到房間 可是捷克的早餐嘛 去過的人都知道...

我住的skippy有廚房 所以自己買個東西去弄熱就好

要喝咖啡老闆會泡一杯土耳其咖啡 還不錯 20kc自己丟到旁邊的碗

還有我逛了一圈發現 skippy的明信片是整個CK最便宜的 5kc而已

恩他們沒有網路訂房服務 不過有網頁 大家可以在google打一下

寫email去訂房就可以了 真的很推薦喔


--

◆ From: 218.167.202.52




作者: Leia (我很想你) 看板: EuropeTravel
標題: Re: 推薦捷克CK的一家hostel
時間: Tue Jul 12 17:32:47 2005

我也是住這一家ㄟ
skippy人很好 不過 他們兩個好像不是姐妹吧? @@
teressa說她們是合夥?
算了 其實我也不是很清楚
Teressa人也很好 建議我們去布拉格的住宿地點 還說要的話可以幫我們訂
我們後來也有住他推薦的Sir Toby
總之 還滿推薦這家的 很便宜 氣氛也很棒!



--

--

◆ From: 140.112.25.138




作者: Antonia83 (Gotta be Tough!) 看板: EuropeTravel
標題: Re: 推薦捷克CK的一家hostel
時間: Wed Jul 13 20:20:00 2005


 我上次去是住Pension Danny
 我覺得不錯耶 一個房間八九百捷幣
 一個人也是兩三百 是有點小貴 哈
 那個不會說英文的阿媽 我怎覺得他人蠻好的
 因為我門上次去想吃泡麵 所以跟他借Kettle
 大概晚上七八點吧 就去按他家的門鈴 (住宿的地方跟他門住的地方隔一個門)
 阿媽就把他們家的Kettle 拿出來給我門用了好幾天
 而且早餐很好吃很豐富地..........
 麵包加咖啡茶加優格加火腿一大盤
 因為省錢我們中午都不吃的
 所以對我來說是覺得還蠻實惠的
 (其實捷克吃的不貴 只是我們在英國唸書真的很窮)
 最後一天早上六點多就要離開CK趕去Praha
 他們還特地把早餐的三明治做好 給我們帶去車上吃
 so 我覺得pension danny OK啦~

 當然網友推薦的hostel 一定也很不錯的
 只是想分享自己住danny的感覺 給大家參考看看

 ps. 如果你不會五點以前到Danny 要打個電話跟他講一下喔
     (其實最好都要打一下跟他講你何時到)
     通常應該都一個年輕女生(女兒?)接的吧 他英文蠻好的^^
--

◆ From: 129.11.209.237




作者: muska (smells like teen spirit) 看板: EuropeTravel
標題: Re: 推薦捷克CK的一家hostel
時間: Thu Jul 14 07:22:41 2005


sIR TOBY 有在i.p.polova的分店叫做 MISS SOPHIE  很新設備很好
櫃檯人員超親切....忖蚳鉹@個叫catherine的英國人
sir toby 和miss sophie是德國一個每年新年撥半小時的連續劇
播了二十多年好像    德國人應該都知道
因為老闆是德國人
miss sophie設備非常好  尤其枕頭棉被很舒服  又新又乾淨
不過要提早訂
弄得很有藝術感 很棒阿兩家都有免費上網 而且電腦都很新
中文不能讀就是囉
我跟櫃臺聊一聊?他還指引我去了一個只有捷克人去的大市場  很很有探險感







--

◆ From: 81.148.15.207",""
"◇ 我剛從捷克荷蘭回來","https://www.ptt.cc/man/EuropeTravel/D507/D5F0/M.1121700352.A.EB6.html","捷克的物價應該是中東歐國家比較便宜的吧（連匈牙利都比捷克貴）

  食的方面：一般還不錯的餐廳餐點的價錢約在100～150克朗間，大約都在台幣兩百內。
            大多數餐廳門口都有menu，吃之前可以先參考一下。如果是要自己煮的話，
            去超市，尤其是TESCO，很多食材的價錢低到在台灣無法想像（尤其是
            TESCO自己的牌子，像是8克朗的一公升牛奶，0.7克朗的超便宜麵包等）。

  行的方面：各大城市的電車或公車價錢都不一樣。Prague從7/1起，有14克朗乘坐30分
            鐘和20克朗乘坐75分鐘。因為是以時間算而不是距離。所以近距離幾站移動
            跟台北捷運差不多價錢，但只要超過四站或五站以上就比較便宜了。而其他
            城市價錢也都不會差太多。

  至於其他東西的價錢則不一定。進口的有些比台灣還貴，像可口可樂之類的。

  基本上我覺得捷克的物價對於歐洲其他國家（尤其是西歐或其他已用歐元的國家）來說
  是天堂，但是因為目前克朗對台幣匯率約1.3，物價其實和台灣不會相差太多，要抱著
  很便宜的心態的話，可能會失望。


  值得購買的東西：台灣人去捷克最常血拼的兩大類物品應該就是水晶跟Botanicus的
  天然香皂、精油等用品了吧。水晶我沒去注意，不過Botanicus在捷克的價錢比台灣
  便宜太多了。我在舊城廣場那一家就同時間看到好幾團台灣人在裡面大採購，每個都
  買到退稅才肯離開。而其他紀念品還有像是木製玩具，KV的溫泉杯等都可以逛逛看。
  端視各人喜好而定。







--


    那就散步到這兒吧!
      在藍色的邊際
     我靜靜的 睡了…
        我的名

--

◆ From: 61.228.99.174




作者: wren (心理心裡有個謎) 看板: EuropeTravel
標題: Re: 我剛從捷克荷蘭回來
時間: Wed Jul 13 19:04:24 2005


強力推薦一定要住古蹟那兩排房子
因為Telc有做每一間房子的小模型
像我就有把我們住的那間模型買下來  算是超有意義的紀念品

當初我們是住I那排  I旁邊的房子
有點忘記了  反正就是面對I左手邊過來的一兩間吧
好像是12號  是棟綠色房子
樓下是精品店  我們是透過I訂的
屋主是一個老奶奶  不會講德語或英語
當然只能用肢體語言跟她溝通
但她人很好
我們住二樓的房間  超大超漂亮  有附衛浴
佈置得很舒服  打開窗戶陽台重滿花
我一直跟同學開玩笑說這麼夢幻的房間應該要來張窗邊的女孩獨照
而且老奶奶也准我們使用廚房
是我在捷克住宿裡最喜歡的一家
一晚是900 CZK
是比住非古蹟區貴一點  但真的很值得
尤其隔天碰到一對台灣情侶檔
他們住非古蹟區便宜那一兩百塊  可是據他們說住到間像鬼屋一樣的房子
我們就覺得這錢實在花得超值得

--

如果我翹課,
就代表我去喝咖啡了........

--

◆ From: 61.228.192.19




作者: jcll (茫然的未來..) 看板: EuropeTravel
標題: Re: 我剛從捷克荷蘭回來
時間: Thu Jul 14 04:56:24 2005


  幹嘛給?


  機票不見要找航空公司吧


 00886211234567


  不然你覺得是啥
  機場的匯率很差...能不在機場換就不在機場換
  有足夠錢到市區就行 市區換的店多 匯率也較好 很多no commission


--

◆ From: 163.1.132.14



作者: muska (smells like teen spirit) 看板: EuropeTravel
標題: Re: 我剛從捷克荷蘭回來
時間: Thu Jul 14 07:37:23 2005




我去TELC住一家叫   danice的好像
這邊有照片  
http://www.wretch.cc/album/album.php?id=queenamber&book=4&page=2

我住到家庭房 只要四百克朗
房裡還有廚房浴室  很乾淨
老闆娘不會英文
不過他會請她兒子來跟你說話(很帥)
ˊ那天我是星期日到 i沒開

我剛好走到那腳酸.......真是幸運
窗戶打開就是廣場
那裡可以租腳踏車  好可愛城市阿

--

◆ From: 81.148.15.207



作者: muska (smells like teen spirit) 看板: EuropeTravel
標題: Re: 我剛從捷克荷蘭回來
時間: Thu Jul 14 07:50:31 2005



說到小費
跟捷克人聊過  他們說他們小費是你付帳時說個整數這樣給
很少人留在桌上  跟我們習慣不同
機場換匯手續費超貴......但是一道還是得有一點錢  還是得換
我在CK還有kv看到的手續費都比布拉格好
但是布拉格會路邊有人跑來跟你換  匯率超好  我不敢跟他們換就是了




--

◆ From: 81.148.15.207



作者: Sylvain (十二樓) 看板: EuropeTravel
標題: Re: 我剛從捷克荷蘭回來
時間: Thu Jul 14 10:32:41 2005


在機場的匯率很差，所以十分建議用ATM提款
非常方便，也不會說不划算
畢竟要找好匯率的匯兌真是挺花時間的，還得小心陷阱

KV的溫泉是喝的（那種微溫的...還真是難喝的要命，值得一試:p）
泡的話印象中比較有名的只有一家旅館
至於景點，就是沿著河兩岸走一遭逛逛溫泉迴廊
旁邊山丘上有幾間蠻可愛的教堂及住宅區

4554篇，我有推薦過KV的一家餐廳
至於Brno我就不清楚啦，當時在那邊短短停留吃的是Tesco :P

--
我的個人網站【Sylvain/十二樓】
http://uuu.to/floor

捷匈旅遊相簿【藍色．啤酒．海】
http://bb.1asphost.com/sylvain12f/2004eeur/


--

◆ From: 140.112.125.69




作者: mlkj (￾N                    ) 看板: EuropeTravel
標題: Re: 我剛從捷克荷蘭回來
時間: Thu Jul 14 12:03:03 2005



  你去觀光區吃飯的時候 通常你付錢只要付帳單寫的
  小費看你自己要給多少



    去年我跟我同學去美國的時候 他在轉機的時候把機票弄丟了
    我們在new wark轉 都是大陸航空的櫃檯 你去隨便一個櫃檯
    跟他說你機票掉了 如果是電子機票 就會有留檔案 他會重新幫你開一張
    他沒跟我們拿錢 只叫我們不要再掉了




--

◆ From: 218.184.163.42



作者: abcam (當愛一個人時 你也會變好) 看板: EuropeTravel
標題: Re: 我剛從捷克荷蘭回來
時間: Thu Jul 14 13:35:40 2005



問一個問題 大家 在布拉格的時候 去一些城堡區呀 猶太區呀
都是坐公車or是地鐵 還是 走路呢?
因為 研究了一下 布拉格的 公車系統 還蠻復雜的..
所以 想請問一下..~~
而且 給我的感覺 好像是城保區 舊區 猶太區 好像會花的時間較多.
所以 想請問一下 大家的交通工具 還是..
我把 布拉格想的太小了~~ 其實 他是個很大的城市
我住在舊區..
當然 像是去kutna hora 我是會坐公車滴  :p

--
我想要溺死我的憂鬱

　　　沒想到
　　　　　　　　　　它卻學會游泳～
　　　　　　　

--

◆ From: 203.71.87.1




作者: wren (心理心裡有個謎) 看板: EuropeTravel
標題: Re: 我剛從捷克荷蘭回來
時間: Thu Jul 14 15:42:36 2005


我也是沒划船的類型  不過我跟同學看著別人玩
真的很累的樣子
有一段斜坡看著大家一直翻船
哈哈  看就覺得很累

在KV那主要幹道上  往背對火車站的方向走
右邊有家餐廳外面有放個好兵帥克的大人偶
店名我都沒記  不過這家店很明顯  因為很多人都會跟那人偶拍照
反正就綠綠的一家店  烤鴨好吃  不過份量很大  最好要有人一起Share
然後在KV遇到台灣人叫我們一定要去Grandhotel PUPP吃個飯或喝個下午茶
我知道李登輝去KV就住這家
後來我跟同學有去那喝下午茶  價格還好  不會很貴  反正就台幣兩三百塊
不過我覺得東西也還好  就當花錢吹冷氣

Brno則推薦一家叫Caffe Fischer的義大利餐廳
地點好像在綠色廣場附近吧
是藍藍的招牌
東西很好吃  pasta和甜點都很讚
我和我同學都說如果這輩子會再去Brno的話  一定只是為Fischer而去的

我也在Brno碰到過一家地雷店  它生意很好
結果它的義大利麵實在是我這輩子吃過最難吃的麵
那難吃法真難以形容
不過地點忘了  沒辦法警告你
我只記得它要過綠色廣場  對面是家百貨公司還電影院的樣子


--
真是抱歉  好像有講都跟沒講差不多
下次出去玩一定要把店名和地址都抄下來

--

◆ From: 220.139.209.49




作者: lavn (candy) 看板: EuropeTravel
標題: Re: 我剛從捷克荷蘭回來
時間: Fri Jul 15 01:31:19 2005


他叫做騎士之家。烤鴨真的很好吃喔～
一個人要20克朗人頭費。


蘋果派是他們的招牌啦～
不過我覺得草莓比較好吃。

去KV的BOTANICUS，聽說那邊比較便宜。
記得去喝溫泉水喔～PUPP的溫泉杯很有質感，一個240克朗。

可以坐纜車上山，來回60的樣子。



--

◆ From: 140.122.235.63




作者: muska (smells like teen spirit) 看板: EuropeTravel
標題: Re: 我剛從捷克荷蘭回來
時間: Fri Jul 15 06:52:35 2005





這家真的很棒
試我住過最好的青年旅館  乾淨 床墊舒服
廚房超大   請看圖

http://www.wretch.cc/album/album.php?id=queenamber&book=3&page=4


老闆是五月才換的  換成幾個年輕人
我五月去三百九克朗   我一個人住六人公寓   還有浴缸可以泡澡
SPA做了兩家  感覺不怎麼樣
沒有台灣的泡湯好
不過按摩到一家還不錯   就是青年旅館往下走在教堂邊那家
應該訂不到就是  大部分都是老人去那座一星期療程
價錢比台灣便宜些就是

YOU CAN GO TO THE BAR DOWNSTAIRS..HAVING SOME DRINKS
CHATTING WITH THE OWNERS...
THEY ARE BOTH HANDSOME ^o^

It's more like an apartment...I stayed one more night there because of the
good facilities

Have fun

--
我們道聲再見。我目送計程車消失。
我回到台階上，走進臥室，把床鋪整個弄亂重新鋪。
其中一個枕頭上有一根淺色長髮。我的胃裡好像沈著一塊重重的鉛。
法國人有一句話形容那種感覺。那些雜種們對任何事都有個說法，而且永遠是對的。

--

◆ From: 81.148.15.207



作者: boomi (這種天氣真是適合睡覺) 看板: EuropeTravel
標題: Re: 我剛從捷克荷蘭回來
時間: Sat Jul 16 00:20:43 2005



原po恕刪



兩年前我去CK划過獨木舟
穿著一般服裝即可，租船公司會給救生衣
（不過我覺得穿救生衣很熱，穿沒多久就脫掉了）
獨木舟划起來較費力，划橡皮艇應該會比較輕鬆，還可以一票人輪流划
我在河上遇到一船划橡皮艇的白人，其中有人划船，有人唱歌、彈吉他、甩鈴鼓
簡直不像是在地球上會出現的場景
沿途的風景絕美，強烈建議有空一定要去
當時我和另一個朋友兩個女孩子一起划雙人座的獨木舟
想休息的時候就停到岸邊休息、吃東西、拍照
雖然隔天會覺得有點累，不過真的很值得（很想再去一次）




KV的溫泉主要是拿來喝的，應該有可以泡溫泉的地方，不過我沒去泡
當地的特色就是：一條條華麗的溫泉迴廊，以及一泉泉不同口味的溫泉水
至於溫泉好不好喝....??這可能就因人而異了......
其中有幾道溫泉水喝了聽說可以幫助消化、促進新陳代謝....（個人覺得：有效！）
KV的名產是溫泉酒、溫泉餅（像特大號的法蘭酥）以及喝溫泉水專用的溫泉杯
景點的部分建議黃昏時搭纜車上DIANA小山丘登高望遠
（你將會發現整個KV像小時候玩樂高積木堆出來的一樣可愛）
KV不大，沿著河流走就行了




--

◆ From: 220.139.233.82




作者: bajl (莫宰羊) 看板: EuropeTravel
標題: Re: 我剛從捷克荷蘭回來
時間: Sun Jul 17 13:22:26 2005





  建議到布拉格後找一張免費地圖或用買的

  比例尺建議在1/15000到1/20000左右

  重點在於所有道路都有標示出來,還有大部分的觀光景點都有涵蓋到

  而且一定要有地鐵,電車,公車的資訊

  這種地圖上會在每條路上標出有經過的大眾運輸工具

  這樣就可以很容易的找出兩點間要利用的交通工具了

  有這種地圖,在布拉格幾乎可以通行無阻了

  其實,布拉格算是很小的了,大部分的觀光景點都蠻集中的

  相隔也不會太遠,要用走的才能看的最多,最深入

  像city guide也都是用走的逛景點

  舊城區用走的就可以逛完了,甚至還可以走過查理士橋到小區,城堡區

  各分區間再利用地鐵或電車聯絡就好了

  我當時在布拉格走習慣後ꠊ
  到了布達佩斯以為也是用走就可以到各個想去的地方  結果差點走到腳斷掉

  布達佩斯才真的叫做大阿




--


  We are limited not by the vast
  domain of the possible,but by
  the space inside us.

--

◆ From: 61.230.57.164","http://www.wretch.cc/album/album.php?id=queenamber&book=4&page=2|http://uuu.to/floor|http://bb.1asphost.com/sylvain12f/2004eeur/|http://www.wretch.cc/album/album.php?id=queenamber&book=3&page=4"
