"文章標題","文章URL","內文","內部連結"
"◇ [重要]不要笨笨被人家畫畫 ....","https://www.ptt.cc/man/EuropeTravel/D507/D5B6/M.1121696264.A.FC1.html","沒錯，現在巴黎白天真是長到嚇死人。

  大概要到晚上九點多才有黑的感覺...


  還有，如果有人要幫你畫畫，一定不要理他馬上走。

  我就是這樣損失80歐元

--

◆ From: 218.187.118.207",""
"◇ 請問法國的香波(chambord)堡...","https://www.ptt.cc/man/EuropeTravel/D507/D5B6/M.1122100087.A.B4D.html","有沒有去過的人非常討厭那裡的?

   因為我討厭它的程度有點異常了..而我並不討厭城堡之類的東東

   然後...我好像也沒有特別討厭它的理由..(氣味不算)......

   因為我目前聽到看到的都是大家對它的歌功頌德

   想知道有沒有人也很討厭它的?

   不管怎樣...

   去過的人請說說你們的看法吧  謝謝:)

--

http://club.kimo.com.tw/clubs/mylenefarmer

     dedicated to 
,the best singer in the world

--

◆ From: 202.143.151.133



作者: kelala (柴油..六十小姐..再一次) 看板: EuropeTravel
標題: Re: 請問法國的香波(chambord)堡...
時間: Sat Sep  8 00:21:33 2001


對於香波的外觀和花園
還有內部的建築方面的設計
我還算喜歡..滿漂亮的
但是我不太能忍受的一點
是他有許多房間滿滿的是狩獵主題的畫
看了不太舒服...

--","http://club.kimo.com.tw/clubs/mylenefarmer"
"◇ 法屬阿爾俾斯山","https://www.ptt.cc/man/EuropeTravel/D507/D5B6/M.1121874753.A.686.html","嗯....我來說一點吧
            瑞士目前為止讓我印象最深刻的地方就是日內瓦湖了......
            那一片景色真的令人一輩子難忘ㄚ.........
            沿著湖畔走下去.....覺得這個湖沒有一處不美的
            大概只有西湖才比得上她囉......^^
            走在那裡....你會覺得內心一片平靜.....完全的放鬆
            大家一定要去走走唷.....湖畔還有一大堆為觀光客所設的服務和攤位
            讓人不得不欽佩瑞士無汙染工業之厲害ㄚ....^^
            而且湖畔沒有一絲髒亂......真的很賞心悅目唷

            再來就是阿爾卑斯山囉..............
            乘著登山火車一步步向著山上出發........
            和阿里山小火車不同的是....舉目望去....一片片寬闊的草地
            牛隻就在那上面緩緩地踱來踱去.......^^
            再加上山上雪水溶化而成的清流.........還真如人間仙境^^
            隨著海拔的上升....四周就會有雪囉.....^^
            雖然是夏天去那裡....但還是可以摸到冰冰涼涼的雪唷^^
            印象中有一種紅色的植物(好像是吧^^||)會出現在雪上唷
            為什麼讓我印象這麼深刻呢.....因為看起來好像草莓冰唷...^Q^
            會讓人有一鼓衝動想嘗一嘗味道如何呢..........

            到歐洲....瑞士絕對值得一遊....其實好像每個地方都粉值得ㄚ^^
            嗯....還有些下次再說啦....^^

--

◆ From: pitt.Dorm9.NCTU",""
"◇ 冰淇淋","https://www.ptt.cc/man/EuropeTravel/D507/D5B6/M.1121874574.A.710.html","呵呵~~
很久以前來過一次
現在回來一看
還是超興奮的

我也來點小小的貢獻好了
暑假去法國玩寫了點東西
大家可以看看...:D


<甜點>

我出去是沒吃到什麼太高級的甜點啦
因為去的餐廳也不是多名貴嘛

不過,我常看到的甜點有兩種
一種蘋果派(呀!呀!我的最愛!!),另一種是布丁
可是它的底是硬的,應該是派皮,然後放布丁在裡面,吃起來很好吃^^

還有一些甜點是提拉米蘇和巧克力製品什麼的
因為我自己不太喜歡,所以沒多大注意...^^;

我最常在國外吃的甜點是-------

呵呵呵~~想到就覺得好幸福
每次就拿著冰淇淋走在街道上
然後舔一口,很有渡假的感覺,自己覺得自己是法國人,粉有氣質^^
而且啊,愈冷我愈喜歡吃
在阿爾卑斯山腳下的小鎮--夏摩尼
有一家冰淇淋店好好吃!!!
真的真的!真的好好吃!我待在那兩天,每天飯後都去買冰淇淋來吃
兩球15法郎
我超推薦那家的,如果妳下次去一定要吃那家的冰淇淋
如果我下次去,我一定還要再去吃那家的冰淇淋
我想一天吃個6支冰淇淋!!!

來介紹個冰淇淋的口味好了
國外的冰淇淋口味很多種
不過最普通的也是香草,巧克力,草莓
通常路邊的霜淇淋店就有在賣

我記得我喜歡的冰淇淋店有:提拉米蘇,卡不奇諾(這個特別我記得)
後來在別家我吃到有含酒的冰淇淋(雖然我喜歡喝酒,不過我不喜歡)
我有挖到寶喔!有一種口味我覺得特別好吃:raspberry 覆盆子
她的顏色是 紅色帶點暗 (不過不是豆沙紅那種暗沉
                       她還要再鮮豔一點兒)
<光是看就覺得心砰砰跳了>
吃起來的味道是酸中帶甜甜中帶酸,所以吃不膩
味道很好*^^


我超級推薦~~

然後我還喜歡吃芒果(稍有點甜就是了)
              香瓜(這個也很好吃喔!)
              優格(嚐起來味道偏酸,有那種乳酸菌的味道,我也喜歡!)
其實冰櫃裡有十幾種冰淇淋呢
可是我看不大懂法文,有些不知道是什麼....(唉..失望)

他們的冰櫃都裝飾的很美喔
冰淇淋上都會插上薄荷葉或灑上焦糖或巧克力片
讓妳一看就抵擋不了她的誘惑^^


--

◆ From: 140.115.204.112



作者: superjuve (不安定的心) 看板: EuropeTravel
標題: Re: 冰淇淋
時間: Sat Nov 17 08:09:34 2001


 : 天阿法國義大利簡直是冰淇淋天堂嘛
    對阿~~~義大利的冰淇淋真的是超棒的
    便宜...量多...超好吃 !!!
    尤其是他們的鮮奶油真的沒話說...吃起來就是很新鮮
    不像台灣的鮮奶油...光吃第一口就不想再碰的人工味...
    我向來不對鮮奶油感興趣的人...還是把那堆鮮奶油一次吃完說...
    而且義大利的冰淇淋原料真的是很實在...
    嗯...真的是超懷念....
    跟義大利的比起來...
    法國的冰淇淋我就覺得稍貴ㄌ點...
    順便跟大家推薦一家吧...
    在羅馬的Navona廣場那邊有一家...招牌冰淇淋是Tatufo...
    巧克力冰淇淋混合著硬巧克力搭配上香濃的鮮奶油...
    口感很特別...尤其是坐在四合噴泉旁邊一邊觀賞景緻一邊聽廣場上的人放音樂
    真的是很悠閒的享受...



--

◆ From: 140.115.230.74",""
"◇ 史特拉斯堡","https://www.ptt.cc/man/EuropeTravel/D507/D5B6/M.927349279.A.html","史特拉斯堡兩年前我有趣過那理學過法語
是雅爾卅思的省會如果是這樣說的話
那有歐洲第二高的教堂和一個較小法蘭析的地方非常漂亮
由於受過德國統治建築相當有德國風味
市景香當乾淨漂亮聯電車也很特別
暑假晚上會有蠻多音樂會和民俗表演所以要寄得到車站或是information station
拿資料而起絕大部分都是免費的也可以吃到道地的德國菜
由於市中心裡有兩條河流過也可以搭遊艇順流而下直達小法蘭西
而歐盟的議會中心也在那裡參觀一下在那附近有一個很大很漂亮的森林公園
晚上通常會有表演居民大多會說德語也有相當多的德國人
過個僑到德國那有一個叫做歐洲樂園
也是個蠻不錯的遊樂地點不過上次我沒找到
同學有去跟我說的
可以逛的地方很多集中在市中心附近血拼也大概在那
不過也可以到德國那小鎮裡血,有swatch比台灣便宜的
到德國法蘭克服也只要三個小時,那裡野蠻好玩的
相信在那呆過會很喜歡那裡的
沒有大都市的喧囂卻又相當的便利乾淨
是渡假的好地方
祝你旅途愉快


--
天下風雲出我輩,
一入國企歲月摧.
黃圖霸業課堂中,
不勝人生一場睡.

--

◆ From: h205.s106.ts30.



作者: rochelle (空城) 看板: EuropeTravel
標題: Re: 歐洲美食
時間: Thu Aug 12 22:56:05 1999



        呵  讓我想到在史特拉斯堡吃的法國菜
        我點了一種生牛肉(法文忘了怎麼寫)
        切得好薄好薄
        一次上一盤，還附一些麵包配著吃的

        那時覺得很新鮮  就把那一盤牛肉傳給全桌同團的人嘗嘗看
        結果旁邊的法國人一直看著我們
        原來那牛肉是無限量供應的
        吃完一盤再上一盤  吃到你叫停為止

        還好即時發現
        不然就被當成貪小便宜的亞洲人囉！！

--

◆ From: 210.68.134.212",""
"◇ 我最喜歡的地方===法國篇","https://www.ptt.cc/man/EuropeTravel/D507/D5B6/M.927716517.A.html","南法

1.蔚藍海岸

 尼斯 坎城  st.tropez

2.普羅旺斯

  雅爾 亞威農 湖西昂 雷伯 隆河谷地 亞威農附近的橘鎮

3.西法

  羅亞耳河 （tours 奧爾良）雪濃縮 香波兩古堡

  波爾多 la rochelle 龍得 卡卡送

4.東法

  雅爾煞司(strasborg colmar arhem) 安錫 格藍落伯 沙慕妮

5.北琺

  聖米歇爾山 康城 不列塔泥(quimper到st.malo那一段海岸） 盧昂

--

台灣日本美國墨西哥夏威夷韓國中國大陸香港澳門新加坡馬來西亞印尼泰國越南
英格蘭法國挪威丹麥芬蘭冷按群島瑞典瑞士德國義大利列支敦士登安道爾葡萄牙
西班牙梵諦岡奧地利捷克斯洛伐克波蘭匈牙利愛爾蘭蘇格蘭北愛爾蘭威爾斯曼島
聖馬利諾立陶宛愛沙尼亞拉脫維亞突尼西亞台灣


--

◆ From: 140.112.252.232



作者: gonzesse (天使) 看板: EuropeTravel
標題: Re: 我最喜歡的地方===法國篇
時間: Mon Jun  7 17:07:27 1999


天氣好的時候可以找船長開船出海. 游泳,釣魚,午餐,小睡.
舒福的享受.

   破舊  有好餐廳             景色不錯    除了劇場遺跡,一無可取.

             有餐廳  貞德    還不錯  也不錯

    酒區.餐廳.  自然景.

              天氣冷.德法混合.      餐廳.  山城.    滑雪!!!!!!(很棒)

    要看晚上的光show.   這段漂亮.是岩岸.看岩壁.          看Monet畫的教堂.

這些都是大點.有自己的交通工具,就可以去
Grasse - 香水之都
Rockamadour - 山色驚人.
Nimes - 鬥牛節,熱鬧非凡.
Limonges - 瓷器.
山居歲月的路線 - 真的漂亮. 餐廳也真的好吃.
還有很多去了忘掉的...:~~~
人的記憶力真是靠不住.
在法國旅遊, 每個人的重點跟預算都不同
但我是覺得, 住可以差一點, 吃卻不行.
法國各個區域都有它獨特的美食. 沒有嘗過,不能真的算來訪過.

--
Give yourself over to absolute pleasure.
Swim the warm waters of sins of the flesh.
Erotic nightmares, beyond any measure
And sensual daydreams to treasure forever.
Don't dream it - be it.
              -- From the Rocky Horror Picture Show

--

◆ From: ms1.hinet.net",""
"◇ 法國的公廁..","https://www.ptt.cc/man/EuropeTravel/D507/D5B6/M.933422322.A.html","在法國......
幾乎所有的公廁都要付費...
大概10法郎左右..
有些是投幣的..有些是有人會在門口收...然後送你一張衛生紙...

我前幾年去的時候..
在香榭里大道的兩旁會看到白色橢圓形的公廁..
那時導遊有說..一次投10法郎....
如果三分鐘內無法解決完的話...
公廁門便會自動開啟....
所以在法國上公廁前還真的要先看看規定...
否則很容易就鬧笑話了....

剛聽我妹妹說...
最近法國又引進一種新的公廁
在一定時間內沒上完...它就會開始洗廁所...
這樣你不僅可以方便...還可以一起洗澡了..

--



--

◆ From: h235.s33.ts31.h



作者: tiongti (xxx) 看板: EuropeTravel
標題: Re: 法國的公廁..
時間: Sun Aug  8 19:48:57 1999




  不會吧！10法郎，我寧願去喝杯 12 法郎的 expresso

  不但可以上不怕被洗澡的廁所，還有一杯香濃的咖啡，

  又可以坐下來休息....

  我看到的應該不是 10 法郎，而只有 2 法郎。

  至於時間的限制我就不清楚了。

  對了在德國我上過最貴的廁所是在科倫火車站，

  居然索價 2 馬克折合台幣 34 元，

  為了讓 2 馬克發揮到極致（當然不是洗澡啦），

  盡情的讓肚子清乾淨..........

  sorry , 有些噁心......



--

◆ From: ac142.ac.ntu.ed",""
"◇ 法國真的有那麼好嗎?.........","https://www.ptt.cc/man/EuropeTravel/D507/D5B6/M.939796647.A.html","今年暑假去了一趟法國心裡只有失望失望..........
原本以為可以看到浪漫的讓人想談戀愛的香榭大道雄偉的羅浮宮
凱旋門...............
哪兒知道我只看到驕傲自大的法國人和媲美臺灣的髒亂......
雖然他們有祖先的遺產可以販賣有令人羨慕的科技但是我寧可選擇
我們雖小卻充滿人情味的臺灣.........
不過我想法國之所以成為人們最喜歡的國家之一一定有它的原因
下次我一定要去鄉村看看或許可以改變我對法國和法國人的壞映像吧!
對了明年開始法國的稅法要改了以後去那兒買東西會不划算了!!



--

◆ From: dial507-wk.hitr



作者: kimura (在愛裡) 看板: EuropeTravel
標題: Re: 法國真的有那麼好嗎?.........
時間: Tue Oct 12 23:29:54 1999


真的喔....
聽你這樣說我也有點失望了哩
不過....我就是喜歡他們自傲的民族性耶
至於浪漫...是看你怎麼定義
法國無業遊民很多
以前法國政府有錢, 養得起他們
所以那裡的人覺得生活就是每天悠閒的喝咖啡
不像東方人就是工作工作工作....
這算是""太""浪漫了吧...

--

◆ From: f31061.f3.ntu.e



作者: karen (Have a Nice Day) 看板: EuropeTravel
標題: Re: 法國真的有那麼好嗎?.........
時間: Wed Oct 13 01:20:27 1999




我也是今年暑假去法國的...
說真的...我對巴黎的印象真的不是很好...
我們同團的朋友在行程中也最不喜歡法國...
香謝大道沒有想像中的fashion...
至於法國人的浪漫...
我想...不帥的男生如果還不浪漫一點...
可能就沒人要了啦...



--

◆ From: caren.dorm5.ntn



作者: Schatz (Mein Schatz) 看板: EuropeTravel
標題: Re: 法國真的有那麼好嗎?.........
時間: Wed Oct 13 10:56:34 1999



說到法國人的浪漫... 記得以前我去美國遊學的班上有法國人
我們懷著「法國男生很浪漫」的印象去問那兩位女生是不是真的
結果她們快笑到無力... 還問我們是從哪聽來的錯誤訊息...
（她們二位也是到美國當地才認識的，應無串供之嫌^^）
啊啊... 幻想破滅......

我覺得巴黎的建築物是算漂亮啦
而且晚上的香榭大道華燈初上，一片燈海也是相當不錯的
站在路中央安全島拍張以凱旋門為背景的紀念照也是中外遊客一起來的有趣經驗
艾菲爾鐵塔附近廣場的噴水池也有華麗的水舞秀演出
晴空下的協和廣場與貝聿銘的金字塔都讓我與同行友人留下深刻印象
唯一的缺點是巴黎人對不會說法語的觀光客缺乏耐心（個人經驗）
（不會或不想說英語我沒太大意見，可是沒必要擺臉色吧... 我只是問問題嘛...）

我親戚認為法國小城鎮的人就相當友善，而巴黎的人可能是因為觀光客太多
再加上法國人先天的法語情結，所以他們才會這樣吧......
（她學過二年法文，可是在巴黎還是碰釘子...
  她只好開玩笑說是因為自己的法語說得還不夠標準別人看不上眼）

--

◆ From: host10.20365181



作者: engineering (嫣然) 看板: EuropeTravel
標題: Re: 法國真的有那麼好嗎?.........
時間: Wed Oct 13 16:45:29 1999


我本來也是對巴黎存有好多幻想說（除了美麗的建築，還有名牌的誘惑）
可是我男友卻常常澆我冷水..
說他英國遊學的時候，回國前順道去巴黎玩了七天
他說，如果還有機會再去歐洲
他寧可選擇倫敦，不是巴黎...
因為巴黎真的沒有想像中的那麼浪漫、美麗、乾淨...
而且，最大的問題就是語言...他也學法文兩年
結果法國人不肯聽他說的法文..也懶得理說英文的觀光客
真悲慘...我還沒去過巴黎，就聽了一堆巴黎的壞...

--

◆ From: 140.112.46.61



作者: Isode (生命是奇怪的) 看板: EuropeTravel
標題: Re: 法國真的有那麼好嗎?.........
時間: Wed Oct 13 17:26:21 1999



  暑假去所看到的都不太是法國人..基本上他們是觀光客
  法國人大概都在南部避暑了

--

◆ From: 140.112.222.231



作者: Christabelle (夢讀迴紋針) 看板: EuropeTravel
標題: Re: 法國真的有那麼好嗎?.........
時間: Wed Oct 13 17:29:25 1999



我在巴黎碰到的就還不錯喔！那時住的hotel裡面的staff都很友善，儘管他們聽不大懂
英語，但是他們很願意跟你溝通。

我跟同學也會說一點法文，但說來慚愧，蠻蹩腳的。有次我們在拉丁區小巷子裡的
一家餐廳用餐，裡面的所有其他客人都對我們兩個東方人很感興趣，隔壁長的像尚‧雷諾
的客人跟他美麗的妻子，兩個人一直跟我們說英文。老闆也覺得我們很特別，儘管他
不會說英文，他還是麻煩一個大學生跟我們解釋菜單。我們也用簡單的法文跟他們聊天，
他們真客氣，因為他們都以為我們是越南來的。起初聽到我們都急急否認，但是後想想，
越南是法國的殖民地，他們說我們是越南人，可能是覺得我們講得很好。現在想想覺得
他們很可愛。

更好玩的是，餐後老闆為了慶祝店內來了特別的客人（我們），決定講笑話給大家聽，
而且也再度找那位大學生翻譯給我們聽。有些笑話...真的不是很好笑，但是整個晚餐
卻是那麼令人愉快輕鬆。

--

                






--

◆ From: CJ.fdorm9.nccu.



作者: clairec (Tolaku Rocks!) 看板: EuropeTravel
標題: Re: 法國真的有那麼好嗎?.........
時間: Fri Oct 15 15:16:20 1999





  今年暑假我去了美國遊學,同班的同學裡面有兩個來自巴黎
  的女生!也因此讓我對法國人有了多一步的認識!
  因為我們在美國,所以當然她們都得說英文,我們那個班是高級班,
  意謂著她們的英文程度不錯,不過我可是領教到很濃的法文腔英文(
  剛開始都聽不太懂她們說的話,法文腔重得離譜!)
  我想法國人不理會說英文的觀光客,一半的原因也是因為他們自己
  無法說好英文吧!
  再加上法國人,亦或是歐洲人天性比較冷酷(美國人相較下就相當
  熱情~我在美國就碰到很多好心的美國人幫忙)
  我和那兩個法國女生聊過關於觀光客在法國都會碰釘子的事,他們的
  回答是在巴黎,就算是法國人問法國人問題,那些巴黎人也都不予理會
  的,他們只顧自己,連她們自己都說法國人很冷淡!
  不過她們還是非常以法國為榮,衣服非法國貨不穿,食物也是法國料理
  最棒!


--

◆ From: h46.s14.ts31.hi



作者: Architect (A talented idiot) 看板: EuropeTravel
標題: Re: 法國真的有那麼好嗎?.........
時間: Sat Oct 16 11:21:57 1999


          ~~~~~~~~~~~~~~~~~~~~~~~~~~
相信我,
如果您自己本身因為膚色而被他們歧視過,
您就絕對不會喜歡他們所謂""自傲的民族性""了!

法國人,由其是年長一輩的,或是住在較內陸地區的,
還是有很深的種族成見.
(巴黎倒是不會.)

--
Time slips away.....
     Nothing lasts forever.....

--

◆ From: h114.s37.ts32.h



作者: Isode (人老無罪) 看板: EuropeTravel
標題: Re: 有沒有去過英國的前輩?
時間: Sat Oct 16 23:58:09 1999



   遠流那本有夠重了..乾脆買本英文的lonely planet 用算了~`
   遠流那本只能在倫敦用用就好..出了倫敦,除非你是自己開車和拿著很多的錢就
   很好用了..要不全都是公路地圖..不知如何使用..

--

◆ From: Pig.f2.ntu.edu.



作者: Isode (人老無罪) 看板: EuropeTravel
標題: Re: 法國真的有那麼好嗎?.........
時間: Sun Oct 17 00:06:43 1999



  說起來.各國都會歧視別國人..
  正如我們對於東南亞比較窮地區的人也會比較歧視
  大家嘴上是不說..但是不多不少一定有
  只是越離開城市的人倒是越友善倒是真的
  不過有一個方法是可以減少給人的歧視..
  說出來會給人打死..就是扮日本人..:p
  不過就一定會給人當做是遊客來欺負...(尤其買東西的時候)

--

◆ From: Pig.f2.ntu.edu.",""
"◇ 法國不錯喔~~~~","https://www.ptt.cc/man/EuropeTravel/D507/D5B6/M.948382389.A.html","我覺得如果你喜歡法國食物去法國就要去吃好一點的

不要到一班cafe去吃 那裡是給旅客吃的

如果到法國我想你應該找一間米其林級的餐廳吃吃

價錢雖然不便一旦遠比在台灣的大飯店中的便宜且好吃道地許多 反正吃一次經驗

像巴黎就有很多家

我去年暑假去法國，到了德法邊境的一個城市叫做Straburg

那個城市相當不錯，是歐州議會的所在地.在法國的阿耳司省是美食很有名

且盛產葡萄酒的地方（在城市的郊區）

那裡的青年旅館相當的棒，我在那住了兩個晚上

看到我帶的兩本旅遊書都有介紹一間叫做crocodile的餐廳

第二天晚上在餐廳剛開門時就和兩個朋友去吃

當我一推開門我嚇了一跳  裡面那個人穿燕尾服

他也嚇了一跳因為我和我一個朋友穿短褲

他還是讓我們進去了

裡面的裝潢頗高級 廚師在做完菜後都會出來看看客人的用餐狀況

那裡的服務生你只要一回頭看他，他馬上過來

跟許多歐洲餐廳大不相同

那裡的主菜大多約為1000元台幣 如果需要前菜或是點心必須另外叫

他們還會拿一整桌時幾種的乳論問你要不要  飯後也會問你須不需要咖啡

這都要另外算錢

我們是第一個進去的客人 之後近來的都是穿西裝禮服

我吃的有點不太自在

回台灣後去敦南成品看書 看到一本紅色封皮的米其林餐廳評比的書

一查發現那間餐廳是米其林三星級的




















--

◆ From: dial-254-port55-tpe.biglobe.net



作者: Adino (免役成就) 看板: EuropeTravel
標題: Re: 法國不錯喔~~~~
時間: Thu Jan 20 23:23:27 2000

我去年暑假是跟學校社團的同學總共16人去歐洲五國玩

裡面有幾個是我很好的朋友

現在想起跟他們出去玩得過程  實在很想再有一次這樣的機會

不過是很遙遠的或許以後要找幾個好朋友出國都很困難啊

畢竟有人要考研究所有人要當兵...



--

◆ From: dial-254-port55-tpe.biglobe.net



作者: Adino (免役成就) 看板: EuropeTravel
標題: Re: 法國不錯喔~~~~
時間: Thu Jan 20 23:32:09 2000

我前年暑假去法國尼斯念語言學校學法文

那時正在比世界杯足球賽

很多很多人都在露天的啤酒館邊喝啤酒邊看比賽轉播

氣氛很熱烈

有一次老闆不小心把電線弄拖掉了  差點被客人罵死！

比賽玩可以到旁邊的舞廳跳舞或是到海邊聊天

如果有人要去念法文那裡比巴黎好吧 離義大利又近

作夜車醒來就到威尼斯了或是到米蘭羅馬也都不遠！

七月中去正式開始打折的時候  想要血拼的人一定要注意打折時間


--

◆ From: dial-254-port55-tpe.biglobe.net",""
"◇ 去法國買薇姿 雅漾","https://www.ptt.cc/man/EuropeTravel/D507/D5B6/M.1121876543.A.9F5.html","現在法國三大紅牌依序是:
LA ROCHE-POSAY----醫學界專用.我在台灣看醫生,醫生就推薦此牌.(我覺得超好!)
R.O.C----現在法國年輕人最流行的牌子,他們覺得很好用.(我還沒開始用)
VICHY----(我覺得抹了CREAM,臉部皮膚挺舒服的)

在法國一定要在他們的PHARMACIE(藥妝店)買
如一罐BIOTHERM的瘦身,我朋友買最便宜的22歐元
但是在百貨公司專櫃要33歐元,當地差價居然就可以差了10歐元
反正法國藥妝店超多,可以貨比三家!
P.S.之前看到VICHY滋養乳液(綠色罐裝~FOR混合肌膚),
    最便宜的是在TOBIAC站出來的那間,質地真的狠清爽

ANYWAY,不管怎麼買,絕對都比台灣便宜!

--

◆ From: 61.59.177.7",""
