"文章標題","文章URL","內文","內部連結"
"◇ 英國的公車...","https://www.ptt.cc/man/EuropeTravel/D507/D5AD/M.1122100411.A.C5F.html","一直以來
  便對英國的公車感到十分的興趣
  但是我卻對於它的付費方式感到茫然

  因為上一次坐的時候是同團的人幫我付的
  所以我不太清楚

  它是不是要在你一上車的地方買票啊!!!
  英國的公車好像有很多種
  一種好像有車長的
  他們還坐在一個類似籠子的地方
  專門負責賣票及收票吧!!!

  還有一種就是你直接上去的
  這一種的我就對他們得收費感到納悶
  他們要怎麼收呢???

  是不是要告訴他你的目的地啊???

  若是你根本就是想坐著讓它隨便帶你繞的
  那......應該怎麼買票呢???

                十分困惑的英國公車迷


--
　　


--

◆ From: h89.s15.ts.hine



作者: ilmo (紫雲) 看板: EuropeTravel
標題: Re: 英國的公車...
時間: Wed Jul 21 23:54:29 1999



去買travel card 吧！

只要是在區段內坐，隨你坐多久都可以…

要不，我是看書上說，

是一上車後向車上服務員說明你的目的地，然後買票，

欲下車時通知服務員即可……

但…我覺得還是travel card方便，

至於如何買travel card嘛……

偶就不知道啦！

因為當時我是別人幫我買的，

一週13英鎊，地鐵及公車都可坐，不過是在zone1...

在倫敦玩，很夠用啦！

--
               The more I study   The more I know
               The more I know    The more I forget
               The more I forget  The less I know
                          So why study ?            ─── from Oxford

--

◆ From: h173.s132.ts32.



作者: Piccadilly (兩本的錢看十本~~~~) 看板: EuropeTravel
標題: Re: 英國的公車...
時間: Thu Jul 29 14:30:40 1999




  我去年是住在郊區的一個小村ㄚ

  然後要坐一小時火車去倫敦市中心

  我買火車票的時候就是買travel card

  那包括了所有的區域

  從zone1到zone6以內所有的交通工具都可以用

  地鐵 公車都可以

  公車的收費我也頗迷惘說

  我第一次坐上去

  沒有人跟我要票

  我就問一個看似上班族的人

  他說如果有車掌跟你要票

  你就把票給他(如果你有票的話)

  如果沒票呢 就現場補就可以了

  要是沒有車掌查票

  那就不用付錢啦

  結果一直到我下車都沒車掌來

  我就坐了一趟白車囉

  真是有趣的英國公車ㄚ


--

◆ From: 192.192.50.112



作者: optimistic (optimistic) 看板: EuropeTravel
標題: Re: 英國的公車...
時間: Mon Aug 23 17:53:51 1999


    先說倫敦的吧！在倫敦的雙層巴士共有三種，第一種露天巴士，不算公車，

    是屬於當地觀光團的(sightseeing tour)，要另外付費，會有導遊解說，載你去玩。

    再來就是公車，舊式的公車是在後面上車，會有一位查票員，上車時不用理他，

    直接找位置坐下就好。等車開動之後，會來查票，有時也不一定會查到你。

    查票的時候，再向他購票就好，或秀給他看你的旅遊卡或公車卡。

    至於新式的一人服務車，就要從前門上車，告訴司機你的目的地並購票，

    或秀給他看你的旅遊卡或公車卡。有的車上有鈴可以按，跟台灣一樣，

    下車前按鈴就行，不過照我的經驗，好像幾乎每站都會停，

    我在倫敦坐車從沒拉過一次鈴。

    至於倫敦以外，我只去過劍橋，那裡的公車也是一人服務，上車購票。

    而這些英國的公車，都是可以找零的。只是，和其他人講的一樣，

    我比較建議買旅遊卡或公車卡，因為我在倫敦坐，一段票就要70pence，頗貴。

    而且旅遊卡或公車卡可以隨意上下，很方便，可以到處亂坐，

    看到哪裡覺得不錯就馬上下車，玩完了再隨便坐一班車離開。

    要是坐錯了，再到對面坐回來就好了。我有一次就是坐錯方向，

    坐了兩站到總站，傻傻地繼續坐在司機上層的座位，聽到司機大吼大叫，

    還不知道坐錯了，最後被司機趕下車，趕緊落荒而逃。

    還有，到倫敦，若有旅遊卡或公車卡，可以去坐15路的公車逛，

    它有繞到很多倫敦重要的景點，坐在上層看風景也不錯。

    我很建議大家到國外去的話，多坐公車，會比坐地鐵有趣的多，景觀也比地鐵好。

    不過，因為地鐵比較容易坐，絕不會迷路，所以我都是買旅遊卡(traveller's card)

    萬一不幸迷路或趕時間的話，再坐地鐵回去。僅供參考。

--

◆ From: 192.83.176.31



作者: chwele (減肥中的女生) 看板: EuropeTravel
標題: Re: 英國的公車...
時間: Thu Aug  5 12:00:25 1999




我是在機場的服務台買的，
那邊可以買喔..
我只在那邊待四天，
所以買那種一天用一張的..
總共買了四張..
可以刷卡..



--

◆ From: 210.65.42.213



作者: ihmj (痴肥小甜甜) 看板: EuropeTravel
標題: Re: 英國的公車...
時間: Thu Aug 26 13:20:09 1999




    我坐過劍橋的公車,有雙層的也有單層的
    你可以付錢給司機,70便到85便不等,司機還會找錢給你
    那邊的公車不多,去downtown的服務處拿時刻表來看
    上面寫得很詳細,會標明時刻和地點
    還可以買weekly pass
    每一家公車的pass不一樣,不能通用
    買了以後很方便,一週都能用,到處坐
    不管你是用錢還是weekly pass
    上了車司機問你到哪裡然後會印一張發票給你ㄛ~







--

◆ From: h203.s15.ts31.h



作者: storma (啜飲泰晤士河水) 看板: EuropeTravel
標題: Re: 英國的公車...
時間: Thu Aug  5 12:47:24 1999


 很多地方都可以買到travelcard,像是地鐵站或是路邊門口有立招牌的雜貨店等
而travelcard又可分為一天,一星期......等,至於價錢,一般zone1~2的one day
travelcard為3.8鎊zone1~4的為4鎊,可是有些地方(ex語言學校內)zone1~6的也是賣4鎊,
而one day travelcard是不需要大頭照的,一星期的就要了,travelcard的好處在於可以用
這張卡在期限內搭乘所購買範圍內的公車,地鐵,國鐵,(我還去搭過""碼頭區輕鐵路""),trave
lcard是一像蠻優惠的措施,若是只搭乘bus,也可以購買bus pass,路邊有立招牌的雜貨店
就可買到,需要大頭照,也是分one week,one month....等,功用也是在期限內可以不限次
數的搭乘所購買區域的bus,zone234的一星期bus pass為9.2鎊,如果不用buss pass的話,搭
一趟bus約需60或80便士.大部分的bus只有駕駛一人服務,告訴他你要到哪它會告訴你要多
少錢,把錢放在凹槽(司機會找錢)把機器送出來的票撕下來就完成了而市中心有些bus門在
車後,是從後面上車,有一個人站在那售票.
          大概就是這樣子啦!若有遺漏錯誤之處還請大家不吝惜指正


--

◆ From: ts222.ntust.edu



作者: chwele (減肥中的女生) 看板: EuropeTravel
標題: Re: 英國的公車...
時間: Thu Aug  5 12:00:25 1999




我是在機場的服務台買的，
那邊可以買喔..
我只在那邊待四天，
所以買那種一天用一張的..
總共買了四張..
可以刷卡..



--

◆ From: 210.65.42.213



作者: ihmj (痴肥小甜甜) 看板: EuropeTravel
標題: Re: 英國的公車...
時間: Thu Aug 26 13:20:09 1999




    我坐過劍橋的公車,有雙層的也有單層的
    你可以付錢給司機,70便到85便不等,司機還會找錢給你
    那邊的公車不多,去downtown的服務處拿時刻表來看
    上面寫得很詳細,會標明時刻和地點
    還可以買weekly pass
    每一家公車的pass不一樣,不能通用
    買了以後很方便,一週都能用,到處坐
    不管你是用錢還是weekly pass
    上了車司機問你到哪裡然後會印一張發票給你ㄛ~







--

◆ From: h203.s15.ts31.h",""
"◇ 蘇格蘭高地和湖區的行程要怎麼安排呀","https://www.ptt.cc/man/EuropeTravel/D507/D5AD/M.1122100447.A.95E.html","我暑假想去英國
先去倫敦一個月再往北走到愛丁堡
除此之外還想去湖區或是蘇格蘭高地
想要請問一下有去過的人
有沒有什麼推薦的玩法
不會覺得一直再趕路
又可以看到東西
還有  如果要取捨的話
湖區比較值得去還是蘇格蘭高地
交通和住宿的問題也麻煩有去過的人po一下
還有還有   有沒有書對這兩個地方介紹比較多的呀
大概就是這樣
另外再問一件事
就是tatoo的票大概要買什麼價位的
謝謝！

--

◆ From: h180.s41.ts31.hinet.net



作者: saharasnow (blue eyes blue) 看板: EuropeTravel
標題: Re: 蘇格蘭高地和湖區的行程要怎麼安排呀
時間: Fri Mar 10 13:19:01 2000


      我去年也是這樣排    最後捨高地去湖區
      後來有點後悔沒去到蘇格蘭高地    因為聽說風景非常棒
      所以建議你兩處都去~~
      tatoo  我好像是五 六月才訂的   定十幾磅的
      但是位置很前面  所以感覺非常好
      所以確定日期愈早訂愈好囉

--
Will I lose my dignity
Will someone care
Will I wake tomorrow
from this nightmare

--

◆ From: ccsun31.cc.ntu.edu.tw



作者: yangshwe (讀書最樂 ) 看板: EuropeTravel
標題: Re: 蘇格蘭高地和湖區的行程要怎麼安排呀
時間: Fri Mar 10 16:51:56 2000



  兩個地方的風景都很美啦 湖區我待比較久
  我就大概說說 我那時候跟我同伴開車邊走邊玩
  延途有好風景就停下來看看 可以說非常的隨性
  我現在仍然對那廣闊的草地和優美的湖景難以忘懷
  住宿的話我同伴有一本包含全部B&B的資料
  我們就在路上都有邊打 所以住宿都有先預訂
  雖然到要住時再打也可以 但是有點冒險 因為湖區的旅館都隔比較遠
  所以早訂比較好啦 tatoo我那次沒有預訂 所以只有比較差的位子
  如果要有好的位子的話就要早定
  關於英國的旅遊書我主要是看錦繡出版的
  還有一本叫MOOK介紹倫敦的雜誌也很好
  就這樣了啦 掰掰

--
An apple a day keeps the doctor away
Health is above wealth
Where there is a will,there is a way

--

◆ From: 140.112.7.63



作者: liukt (扁皮連骨) 看板: EuropeTravel
標題: Re: 蘇格蘭高地和湖區的行程要怎麼安排呀
時間: Tue Mar 14 04:36:01 2000



這兩個地區我都去過 但建議你都去 另外有辦法開車的話最好 要不然自己搭車也行

但機動性比較不高

倫敦我到是不建議呆到一個月 你會煩死 因為他就跟高雄一樣 又亂又髒的工業城

除了幾個博物館可以看以外 其餘我對他沒啥好印象

我倒是喜歡愛爾蘭和蘇格蘭

我想交通方面 開車問題比較不大 因此不雷數

我說說自己搭大眾工具的.........

可以從倫敦搭火車經birmingham北上.......到lancaster從這邊搭公車進入windermere

或是到oxenholm換搭小火車到windermere（以下稱溫得米爾）

溫得米爾可以說是湖區國家公園南邊路口

到了溫得米爾火車站後 出去世各極大的超市（我非常喜歡的 可以補充糧食）

之後可以到對街遊客中心拿到一本白色的湖區國家公園全境的巴士.....

湖區國家公園的東半邊有鐵路通過lancaster carlisle和preston都是有名的古城

尤其是前兩者 我推薦lancaster和carlisle(哈德良長城西邊起點） 並有火車通達

湖區國家公園中心有一座南北向的公路 編號A591

從windermere經grasmere到北方的門戶keswick

從keswick有很多車可以往carlisle和cockmouth

至於西海岸都是海岸淺灘之生態保護區 還有一座核電廠

另外windermere遊湖及小火車 和grasmere的薑餅 還有coniston lake 和

longdale都蠻值得的 我1997年在湖區待了十一天說 幾乎是走片整做國家公園了

另外住宿的話 我建議一定要住青年旅館 因為便宜又大晚

又可以自己主東西吃 煮完東西可以端到湖邊用餐 那種感覺真是棒呆囉

湖區國家公園中30餘家青年旅館中 最棒的應該算是ambleside 離溫得米爾約20分鐘車程

就在溫得米爾湖邊也鄰近A591公路（最後我都和我朋友稱之為湖區大道）

反正A591很重要就是囉！！！！！！！！


至於蘇格蘭高地 更為複雜 等我有空再跟你說好囉


--

◆ From: 140.112.252.232",""
"◇ 推薦一家倫敦住宿","https://www.ptt.cc/man/EuropeTravel/D507/D5AD/M.1121875645.A.CA6.html","推薦一個地點很好的住宿 在牛津街上 離海德公園很近  價錢算便宜的喔！
在地鐵central line 的 bond street 及 marble arch站之間
好像是UCL的宿舍  但暑假給某個語言學校的學生住
有空位的話  也開放給遊客什麼的
就在超讚的selfridge百貨旁邊的Marks & Spancer 對面
房間有洗臉台  但是衛浴和廚房與同層樓的人共用
價錢：
       2000年 一晚 12鎊 （雙人房） 18.5鎊 （單人房）
       2001年 一晚 13.5鎊 （雙人房）單人房不知價錢
缺點： 房子很老舊  沒早餐
優點： 地點好  要出去玩可省交通的時間 公車地鐵都方便
備註： 單人房其實也是有兩張床耶
       房間有電話  外面可打進來  想打出去要向櫃臺買卡
       走路 15分鐘處有 24hr的Tesco超市 （週末沒有24hr）
電話： 02074936097  建議先打電話訂房間
地址： 36 North Row, W1R 1DH
      （不在牛津街上，因為入口在與牛津街平行的小巷子內）


不曉得今年價錢有沒有調整...
我很喜歡這個地方喔...雖然房子真的很老  床也不是太舒服
但2000年中秋我就是一個人吃著月餅在這度過  有深刻的回憶
另外  有晚  海德公園內有露天音樂會
我一個人不敢跑出去  但躺在床上就可以聽到音樂  感覺真好~~


--

◆ From: 61.56.204.51",""
"◇ 請問倫敦的B&B","https://www.ptt.cc/man/EuropeTravel/D507/D5AD/M.1122100516.A.C81.html","我們要住在Paddington兩晚,請問一下有人去倫敦時有住過這裡的B&B嗎??可以推薦一下嗎??

謝謝:)

--

◆ From: 61.226.92.204



作者: sam2 (ㄜ...) 看板: EuropeTravel
標題: Re: 請問倫敦的B&B
時間: Wed Sep 19 20:54:57 2001



嗯..我是沒有住過倫敦的B&B

不過我在Cambridge,Oxford跟Edingburg的住過幾天

感覺都不錯

不過我同學有遇到那種惡夫婦壓榨遊學生

所以我想還是要看居住環境跟主人的熱忱吧^^""

要去倫敦的話 可以玩很久喔

兩天可能都不夠玩^^|||

不過那裡的景點門票都有點貴

像蠟像館跟地牢成人票好像要12磅的樣子唷

入果要在倫敦市區玩的話

可以買地鐵的一日票

成人好像是7磅多

不過可以在zone 1 跟 zone 2隨便搭^^""

--
我的黃昏來自異國的林間,

             說著一種連我的晨星也聽不懂的語言. <泰戈爾˙飄鳥集>

--

◆ From: 202.129.254.134



作者: diosmio (放假否) 看板: EuropeTravel
標題: Re: 請問倫敦的B&B
時間: Wed Sep 19 22:43:27 2001


  是4磅整


--

◆ From: 140.112.251.166



作者: pheasant (賞我一隻手機用吧 ) 看板: EuropeTravel
標題: Re: 請問倫敦的B&B
時間: Fri Sep 21 18:02:27 2001


7磅多一天的是可以搭全區的
zone1到zone6

--

◆ From: 140.112.223.33



作者: geckol (鬥志全失只求安逸) 看板: EuropeTravel
標題: Re: 請問倫敦的B&B
時間: Fri Sep 21 23:27:19 2001



zone1~zone6
4.9磅而已吧
還可以刷卡唷

--

◆ From: 140.113.91.102



作者: pheasant (賞我一隻手機用吧 ) 看板: EuropeTravel
標題: Re: 請問倫敦的B&B
時間: Sat Sep 22 19:04:39 2001


對喔..七磅多的是週末票..我忘勒..

--

◆ From: 140.112.223.33



作者: diosmio (放假否) 看板: EuropeTravel
標題: Re: 請問倫敦的B&B
時間: Sun Sep 23 03:52:11 2001



  7磅是weekend travelcard
  有問的還是去www.londontransport.co.uk查吧...今年講完明年又一定會'漲價
  倫敦地鐵年年漲..

--

◆ From: 140.112.251.166



作者: geckol (鬥志全失只求安逸) 看板: EuropeTravel
標題: Re: 請問倫敦的B&B
時間: Sun Sep 23 03:58:15 2001



喔~~~7.3磅~~~
再倫敦的一個月幾乎天天都在買地鐵票

奉勸大家在半週票或月票前先計算一下喔
有時候買週票的價錢
還比買五張 one day travel card 和一張 weekend travel card 來的貴
這不知是什麼道理......


--
印象中週票好像要35磅
而一天天買的話... 4.9*5 + 7.3*1 = 31.8 < 35


--

◆ From: 140.113.91.102



作者: bbsun (加油加油Di六週) 看板: EuropeTravel
標題: Re: 請問倫敦的B&B
時間: Sun Sep 30 15:18:50 2001


:

:

:


  不會的
  基本上買周票還是比較便宜的
  而且你不用每天都要再去買票
  如果是在倫敦中心玩的話我覺得zone1~2就夠了(不到20磅吧)
  此外如果你想坐火車去近郊
  出示周卡還可以少一些票錢



  禮拜天你沒算進去啊.....

--

  成長 是 一生的道路

--

◆ From: 140.112.205.244



作者: jjpp (PP) 看板: EuropeTravel
標題: Re: 請問倫敦的B&B
時間: Tue Oct  2 15:55:40 2001


                             ^^^^^^^
                             我想他指的WEEKEND TICKET唷!!


--

◆ From: 202.3.185.193



作者: jjpp (PP) 看板: EuropeTravel
標題: Re: 請問倫敦的B&B
時間: Tue Oct  2 16:01:46 2001


我雖然沒有住過倫敦的b&b
不過倒是常幫朋友找
因為我那時是自己住宿舍啦
我記得最便宜的話有18鎊一晚的(不過限於18歲以下)
不然大都是20~25鎊一晚的ㄛ!!!
倫敦的消費粉貴的
不像我那時到BLACK POOL去
那邊的B&B一晚才10鎊說....還是一人一間套房(含衛浴的)

--

◆ From: 202.3.185.193



作者: liujonathan (This ain't right) 站內: EuropeTravel
標題: Re: 求救..倫敦kensington附近好的B&B
時間: Sat Dec  7 10:54:16 2002



若是要在
Easter 2003: 23 March - 23 April
或
Summer 2003: 30 June - 28 September
去倫敦的話
我推薦Imperial College的B&B
它是把學校宿舍交給旅館業者經營
搭配學生餐廳提供無限量早餐
我今年九月住過Beit Hall五晚
一晚大約30英鎊
地點絕佳 價格便宜
Beit Hall在The Royal Albert Hall(皇家亞伯特音樂廳)及Kensington Park後方
附近還有Natural History Museum, Victoria & Albert Museum等博物館
但是離最近的Underground站South Kensington及Knights Bridge都有點遠
坐公車到Royal Albert Hall站最方便
不過地處高級區 價格又低 並自稱有三星級水準 實在是物超所值

提醒一聲 由於平日是學校宿舍 並非全年開放 只有暑期及復活節假期

網站  
http://www.ic.ac.uk/conferences/


--

◆ From: 61.224.27.123","http://www.ic.ac.uk/conferences/"
"◇ 英國自助旅行","https://www.ptt.cc/man/EuropeTravel/D507/D5AD/M.1121874912.A.AE7.html","^^^^^^^^^^^^^^^^^^6
                   我覺得這兩個看的重點差不多
     只是一個是皇宮 一個是避暑山莊     凡爾賽宮華麗
           楓丹白露宮 就比較老舊一點  不過他的皇冠頗值得一看就是了
       如果時間不夠 我比較推薦凡爾賽(個人認為啦)
 其實我覺得10天  可以把土爾也玩一玩啦
 羅亞爾河我覺得就向台灣的鄉村一樣(如果把巴黎說成是台北市的話)
      很大很大的河  走在那裡的橋上和賽那河有不同的感覺
   而且城堡的夜間燈光秀我覺得頗值得一看
不過看秀最麻煩的就是交通問題
如果不想像我們在半夜無人的火車站等火車的話
就要想辦法解決交通的問題  但真的很棒喔
      而且如果我覺得以後沒有機會去法國的話
   蔚藍海岸的尼斯真的要想辦法去去看
     那裡的海 真的是很讚讚讚讚

  說一下他片的手法吧  這樣看到的人比較可以提防


--
           我很笨
             可是我還是要說

--

◆ From: 140.112.204.179



作者: Nadya (適合想念的季節) 看板: EuropeTravel
標題: Re: 英國自助旅行
時間: Wed Mar 13 01:36:35 2002




   恩~我覺得若只有在英國10天還是不要跑太遠
   建議玩英格蘭就好...湖區就有點遠了
   但真的粉讚...除了Petter Rabbit& Wordsworth 之外
   那裡的風景實在令人難忘(到處亂走還迷路了)...
   人們也很親切(我第一次伸手搭便車:P)
   除了健行...租腳踏車之外
   搭那個無頂的巴士在山坡間享受速度的快感也很過癮(不過小心樹枝..)
   司機聽我們在上面尖叫~下車時還對我們說""很好玩ㄅ"""":)
   其實我覺得光倫敦就有太多好玩的...
   倫敦近郊也有許多值得造訪的地方...
   如kew Gardens,Hampton Court Palace(7月有粉棒的flower show)
   我是蠻喜歡Leeds Castle啦...是個有浪漫愛情故事的城堡
   城堡被水環繞...從窗外看出去...微風吹著水面..一群天鵝優雅地滑過
   唉唉~我文學造詣不好但那兒是不錯看
   可以去玩玩它的Maze...而且...還有出中文簡介ㄋ:P
   當然..Windsor比較多東西看..畢竟它是皇家住所
   對牛津已經沒有太深刻的印象...
   劍橋的確不錯...punting..這是一定要的啦^^
   學院巡禮也不錯...本身學校就是古蹟了嘛
   有傳統市場(集)也有現代化的mall(Grafton Centre)
   總之是個令人感覺舒服的地方
   此外...Bath...Brighton...Stratford-upon-Avon...都值得一遊
   或者跟當地tour去Cotswold...是典型英國鄉村風景
   (這我是沒去過...但我host mother蠻推薦滴)
   拉拉雜雜寫了一大堆...只能說....
   英國每個地方都有特色...能都去就好了:P

   我喜歡英國...也很想念英國   希望她也能帶給妳美好而難忘的回憶 :)

--

◆ From: 61.217.136.145



作者: comeon (我也要~~~~) 看板: EuropeTravel
標題: Re: 英國自助旅行
時間: Wed Mar 20 01:50:10 2002



   我只去過英國 去年暑假在那約一個月 玩的地方剛好你都有提到
   先提一下如果十天想去那麼多地方的可能情形是
   倫敦待三天兩天玩在倫敦 劍橋牛津在倫敦近郊一個地方大概只需要一天
   晚上還可以回來看歌劇 (歌劇一定要看啊 名劇應該是買不到太便宜的 要認命一點)

   倫敦到湖區火車大概要四五個小時到了當地住宿建議Ambleside的青年旅館
   旅館一出來就是溫德米爾湖 超美 可以在那划船 騎腳踏車 騎馬
   旅館也比跟一般青年旅館印象不一樣 而且青年旅館有專車接送(車站--旅館)
   千萬不要住溫德米爾鎮的青年旅館 在深山裡很不方便說
   這樣湖區也大概要個三四天

   愛丁堡如果沒碰上藝術季 不是很建議啦 因為藝術節的氣氛跟平常真的差太多了
   而且從湖區再到那裡又是三四個小時
   我自己是很喜歡愛丁堡啦 如果去的話 晚上可以參加當地的小導覽 帶你走他們的巷弄
   講講鬼故事 還蠻有氣氛的 印象裡在蘇格蘭每天都能聽到風笛聲 很有味道
   愛丁堡就是那種很有味道 髒髒舊舊的'黑色'雅典 不過不是每個人都很喜歡

   所以可能就是第一天到第三天在倫敦 第四天通車到湖區 玩個三天
   花一天到愛丁堡 玩個兩天再回倫敦

   其實只有十天 我覺得只玩個倫敦加些劍橋牛津溫殺就差不多 我當初倫敦就待了六天
   出國一趟很貴耶 還是不要玩的太匆忙 時間拉越長我覺得越划算說






--
短暫的美好 比永遠的什麼都好


--

◆ From: 61.13.248.238



作者: tsuzukiasato (對人失望中..) 看板: EuropeTravel
標題: Re: 英國自助旅行
時間: Sun Apr  7 00:56:29 2002



如果你是有上課的話，一般學校都會有週末有出去玩的活動
你只要付費，知道在哪裡集合，然後就被載到目的地，可以試試看
他們有時候會放你自己遊蕩，你可以坐像tour bus的四處看看，
不過要記得在集合時間前集合,因為那可是不等人的。
其實你也可以先擬定好要去哪裡，如果學校有辦就跟著去，
這樣的話，你也知道去了要逛哪裡。

你也可以在台灣就找好資料 或相關資訊，等到了那裡，
你可以問學生服務處的人，我們那時候就遇到了很好的人，
因為我們要自己去溫莎，她就幫我們打電話問，
要如何搭火車和地鐵再換火車~~在學校也可以買劍橋到倫敦的火車票
地圖的話，如果你自己去可以到了那裡再找找有沒有，也可以去買一份。
如果你是跟學校辦的一起去的話，他就會給你了(我去的時候是這樣啦)。

自己帶地圖也不錯，不知道要怎麼走，會有很多人願意幫助你，
有時候就連你只是拿著地圖，都會有人走近問你:may l help you?
不過在倫敦，外地人也很多~~所以這一招要多找幾個人......
至於你要問的寄宿家庭ㄚ~我的寄宿家庭因為是一對爺爺奶奶，
所以他們自己的活動不多，但是他們真的很好很好....

--

◆ From: 61.230.27.191",""
"◇ [轉錄]英國Wolsey Lodges床與早餐","https://www.ptt.cc/man/EuropeTravel/D507/D5AD/M.925887507.A.html","作者: together (奮發圖強月) 看板: TravelGuy
標題: 英國Wolsey Lodges床與早餐
時間: Mon May  3 18:22:37 1999


          Wolsey Lodges是一個英國民間的非營利組織，截至目前
          已有十八年的歷史，其成員都是在歐洲各地經營床與早餐
          的家庭，總計超過二百間以上的住宿點。

          雖然這些床與早餐住宿點大部份都是在英國，不過歐洲其
          他各地，例如法國、西班牙、義大利等地也都可找到其會
          員家庭。

          Wolsey Lodges合理的價格，每間房、每晚美金約五十元
          ，最吸引旅客的注目。雖說是床與早餐，但Wolsey Lodges
          又較一般的床與早餐，具有更多的特點，因為這些會員家
          庭的住宅建築多是具有歷史意義，或是特殊設計的。住宿
          其中，主人也都會與客人同時享用早餐，早餐費用已包含
          在住宿費用內。若您希望也有機會享用晚餐，主人也很樂
          意提供這項服務，客人只須附加少許的費用。

          計劃前往歐洲旅遊的朋友，請您參考Wolsey Lodges以
          下的聯絡方式，並索取免費目錄參考：
          網址: 
http://www.wolsey-lodges.co.uk/

          電子郵件: mailto:
[email protected]



--
台大旅遊家每星期三中午12點30分在共同403與大家做旅遊聚會
台大旅遊家社辦 二活801室
台大旅遊家社版 PTT 140.112.28.191 社團旅遊類：TravelGuy

              台大旅遊家永遠歡迎你～

--

◆ From: 140.112.242.23

--

◆ From: 140.112.252.232","http://www.wolsey-lodges.co.uk/|/cdn-cgi/l/email-protection"
"◇ 【轉錄】愛丁堡之旅","https://www.ptt.cc/man/EuropeTravel/D507/D5AD/M.926320088.A.html","【 在 
[email protected]
 (我愛小志志) 的大作中提到: 】



  我們也有去看 Edinburgh 的軍樂表演  真的很棒
  蘇格蘭風笛的聲音實在太迷人了
  我們是在看表演的當天早上（表演都是晚上，有二場）去排隊買的
  還會有票的  位子也不錯唷
  如果在藝術節的時候去  千萬不要錯過喔
  還有藝術節的時候也會有大型的書展  我覺得也很棒

--


----------------------------------------------------------------------


剛找了一下, 有找到電話, 不知有沒有幫助,
也貼一下好了:
Tel:01314732000
overseas:44 131 473 2000

    是喔? 我去年去時 好像沒有耶
    幸好事前有買票  只是太晚買只有位置很差的票
    不過 一定要去看軍樂表演喔  真的很感人
    尤其是當你穿著雨衣看大家還是興致高昂 一點也不怕淋濕時
    所以 最好要帶輕便雨衣 因為觀賞表演是不能撐傘的
    像我當時就只好穿著風衣淋雨
    不過 或許是因為如此 覺得特別感人吧
    要去的話 早點買票 選個位置好一點的地方
    反正價格也不會差非常多
--


--


           生命的美不在它的絢爛，而在它的平和；
           生命的動人不在它的激情，而在它的平靜。
           生命的美不在目的，而在歷程。
           一個只顧低頭趕路的人，永遠領略不到沿途的風光。

--

◆ From: kidd.Dorm10.NCT



作者: chrisvan (草食性動物) 看板: EuropeTravel
標題: Re: [問題] 8/10愛丁堡的住宿問題
時間: Wed Jul 17 15:46:34 2002



  試試看YH or Backpacker's吧,比B&B便宜多了

  
http://www.hosteledinburgh.com/hosteldetails.php?HostelNumber=553#


  這是我去年在愛丁堡住的backpacker's hostel

  離車站近到不行,而且超級便宜(16P Per Night in Aug)

  不過我那時候很早就訂了

  而且我查了一下,你那個日期他並不提供online booking

  所以我想你可能得寫信問他們是否還有空床位

  如果這一家沒有,你還可以試試別家,按上面的hostels就有其他YH的資料了

  good luck :)

  BTW,英國車站是不會讓人睡的,別以為帶睡袋就可以縱橫無阻

  還是乖乖的去預定床位吧



--

◆ From: 61.227.128.242","/cdn-cgi/l/email-protection|http://www.hosteledinburgh.com/hosteldetails.php?HostelNumber=553#"
"◇ [問題] 從英國寄小包回來的恐怖運費","https://www.ptt.cc/man/EuropeTravel/D507/D5AD/M.1121876893.A.601.html","用陸空聯運 價格會便宜些 約加1星期的時間會到台灣

--

◆ From: 61.219.233.230",""
"◇ 愛丁堡藝術節訂票","https://www.ptt.cc/man/EuropeTravel/D507/D5AD/M.1121875817.A.704.html","你是說tattoo 嗎 ?

是的話請到這個web看看


http://www.edintattoo.co.uk


good luck !

--

◆ From: 140.112.244.5","http://www.edintattoo.co.uk"
"◇ 請問倫敦的zone要怎麼分?","https://www.ptt.cc/man/EuropeTravel/D507/D5AD/M.1121876295.A.E20.html","http://www.londontransport.co.uk/tfl/images/zone_big.jpg



去看看囉  到倫敦旅行有任何想查的資料
上
http://www.yahoo.co.uk


或

http://www.lycos.co.uk/



我想非假日應該是OK的



--
提著咕嘰咕嘰旅行箱

流...浪...去...

找尋小麥的新心境

--

◆ From: 140.112.214.161","http://www.londontransport.co.uk/tfl/images/zone_big.jpg|http://www.yahoo.co.uk|http://www.lycos.co.uk/"
