"國家名稱","國家URL"
"精華區beta EuropeTravel","https://www.ptt.cc/man/EuropeTravel/index.html"
"返回上層","https://www.ptt.cc/man/EuropeTravel/index.html"
"精華區","https://www.ptt.cc/man/EuropeTravel/index.html"
"◆ ========          西歐          =======","https://www.ptt.cc/man/EuropeTravel/D507/D6E3/index.html"
"◆ 荷蘭","https://www.ptt.cc/man/EuropeTravel/D507/D5D6/index.html"
"◆ 比利時","https://www.ptt.cc/man/EuropeTravel/D507/D629/index.html"
"◆ 英國","https://www.ptt.cc/man/EuropeTravel/D507/D5AD/index.html"
"◆ 奧地利","https://www.ptt.cc/man/EuropeTravel/D507/D605/index.html"
"◆ 瑞士","https://www.ptt.cc/man/EuropeTravel/D507/D5C1/index.html"
"◆ 法國","https://www.ptt.cc/man/EuropeTravel/D507/D5B6/index.html"
"◆ 德國","https://www.ptt.cc/man/EuropeTravel/D507/D5BD/index.html"
"◆ 愛爾蘭","https://www.ptt.cc/man/EuropeTravel/D507/D63A/index.html"
"◆ =======           北歐          =======","https://www.ptt.cc/man/EuropeTravel/D507/D741/index.html"
"◆ 挪威","https://www.ptt.cc/man/EuropeTravel/D507/D623/index.html"
"◆ 瑞典","https://www.ptt.cc/man/EuropeTravel/D507/D636/index.html"
"◆ 丹麥","https://www.ptt.cc/man/EuropeTravel/D507/DC21/index.html"
"◆ 冰島","https://www.ptt.cc/man/EuropeTravel/D507/DC3E/index.html"
"◆ 芬蘭","https://www.ptt.cc/man/EuropeTravel/D507/DC83/index.html"
"◆ 波羅地海三小國","https://www.ptt.cc/man/EuropeTravel/D507/DBC7/index.html"
"◆ =======           南歐          =======","https://www.ptt.cc/man/EuropeTravel/D507/D735/index.html"
"◆ 希臘","https://www.ptt.cc/man/EuropeTravel/D507/D643/index.html"
"◆ 義大利","https://www.ptt.cc/man/EuropeTravel/D507/D5D0/index.html"
"◆ 西班牙","https://www.ptt.cc/man/EuropeTravel/D507/D631/index.html"
"◆ 葡萄牙","https://www.ptt.cc/man/EuropeTravel/D507/D665/index.html"
"◆ =======           東歐          =======","https://www.ptt.cc/man/EuropeTravel/D507/D704/index.html"
"◆ 捷克","https://www.ptt.cc/man/EuropeTravel/D507/D5F0/index.html"
"◆ 克羅埃西亞","https://www.ptt.cc/man/EuropeTravel/D507/D66A/index.html"
"◆ 匈牙利","https://www.ptt.cc/man/EuropeTravel/D507/D5F9/index.html"
"◆ 土耳其","https://www.ptt.cc/man/EuropeTravel/D507/D609/index.html"
"◆ 保加利亞","https://www.ptt.cc/man/EuropeTravel/D507/D61D/index.html"
"◆ 俄羅斯","https://www.ptt.cc/man/EuropeTravel/D507/D647/index.html"
"◆ 南斯拉夫","https://www.ptt.cc/man/EuropeTravel/D507/D65C/index.html"
"◆ 波蘭","https://www.ptt.cc/man/EuropeTravel/D507/DBBB/index.html"
"◆ 斯洛伐克","https://www.ptt.cc/man/EuropeTravel/D507/D684/index.html"
"◆ 烏克蘭","https://www.ptt.cc/man/EuropeTravel/D507/DCAE/index.html"
