文章標題,文章URL,內文,內部連結,國家
◇ 東歐,https://www.ptt.cc/man/EuropeTravel/D507/D5F9/M.932921677.A.html,"順便一問，他們是德語系國家嗎？
還是他們自己的語言？

--
我要漫步
在蓊鬱的森林
平靜的海底
陰森的墳場
撒旦烈火的地獄
我都要輕輕的……走上一回

--

◆ From: h2.s94.ts32.hin



作者: Adino (累死了) 看板: EuropeTravel
標題: Re: 東歐
時間: Sun Jul 25 23:35:24 1999


有自己的語言

不過應該英文或其他德文都會講吧！

他們的國中教育好像是用別種語言在教

像是我們大學讀得原文書一樣

這是我以前念語言學校時匈牙利是有根我說得

--

◆ From: sj76-125.dialup



作者: luza (是小妍也是莉莎) 看板: EuropeTravel
標題: Re: 東歐
時間: Mon Jul 26 00:19:43 1999



基本上如果你的時間夠的話  建議你連波蘭也一起玩
還有  布拉格當然是最美的  不過  匈牙利也很棒喔!
去匈牙利除了budapest 一定要去巴拉頓湖喔~~~
東歐現在發展地愈來愈繁榮了  但是物價仍然不高
是觀光客一大福音
還有  波蘭和捷克的語言都是屬於斯拉夫語系  語言與俄文相近
而匈牙利文卻迥然不同  是與愛沙尼亞,芬蘭等國的語系相近
所以種族也與之相近
基本上匈牙利人的個性善良  實在是比捷克人好多囉~(是個人觀點啦~)
還有  扒手真的多得不得了  錢包一定要小心喔~~

--

◆ From: t206-202.dialup",,◆ 匈牙利
◇ [請益] 匈牙利的住宿,https://www.ptt.cc/man/EuropeTravel/D507/D5F9/M.1143175026.A.D95.html,"你要找民宿的話 我沒有資料
不過我當時在布達佩斯是住青年旅社

http://www.hostelworld.com/hosteldetails.php

我覺得滿便宜的
15歐以下
有早餐
不過有時間限制
這hostel離市區滿近的
有時候他們會有辦一些tour
還滿不錯的
提供你參考



--









http://www.wretch.cc/album/julia705


--

◆ From: 61.62.22.124",http://www.hostelworld.com/hosteldetails.php|http://www.wretch.cc/album/julia705,◆ 匈牙利
◇ <遊記>匈牙利 奧地利,https://www.ptt.cc/man/EuropeTravel/D507/D5F9/M.1247996474.A.6A0.html,"六月底完成了奧匈自助旅行
遊記內容太多 現在還沒寫完呢
不過可以跟大家先分享一些

希望對想去那裡的人有些幫助

http://www.wretch.cc/blog/anngelin


--

◆ From: 61.228.162.189",http://www.wretch.cc/blog/anngelin,◆ 匈牙利
◇ [遊記] 歐陸差旅暴走 匈牙利 布達佩斯又見多瑙河,https://www.ptt.cc/man/EuropeTravel/D507/D5F9/M.1304420847.A.EA5.html,"歐陸差旅暴走 匈牙利

圖文網誌版 歡迎大家來坐 <(_ _)>

http://blog.yam.com/mousie/article/37935935

　

又見面了 多瑙河
在不同的時空 喊過它不同的名稱
有諾威薩德和貝爾格勒的回憶
塞爾維亞人叫它Dunav
地理課本上的英文翻譯 它叫Danube
在這裡更簡要 匈牙利人叫它Duna
不同的名號 一樣的典雅脫俗
　
但剛抵達布達佩斯時完全沒有這般賞玩的興致。
全都多虧了客人替我精心挑選的偽四星級旅館..
強烈懷疑多出來的星星是自己畫上去的 它肯定連兩顆星都不值
　
離開芬蘭時貪玩來不及先吃飯
加上為了省差旅開支 我訂了北歐航空的便宜機票 飛機上不供餐
　
抵達匈牙利後 餓著肚子搭上計程車直奔旅館
卻發現車子愈開愈遠離市區　
最後來到前不著村後不著店的荒涼市郊
旅館所在之地 放眼望去竟然找不到一個可以覓食的地方..
旅館裡總有餐廳吧?? 很抱歉 沒有!
room service 可以叫個外賣吧?? 沒有!
總有個販賣部賣零食乾糧礦泉水的吧?? 通通沒有!!
　
　
最後我淪落到翻出行李箱裡救急的維力炸醬麵充飢
用漱口杯分成兩份泡 荒唐的旅館連餐具都生不出來
我猶豫了半晌 硬著頭皮拿自己舀洗衣粉用的小湯匙吃
吃到滿嘴都是肥皂味 覺得自己快中毒了
這一刻 是我出來三個禮拜來第一次這麼想念台灣...
　
這個鬼屋旅館的故事還沒有完
我check in 後發現客房長廊的燈全是關的 看起來二三十間房間只有我一個人住；
天黑以後工作人員只剩櫃台小弟一個人留守
我如果在這裡被綁架撕票 被棄屍荒野個幾年恐怕都不會有人發現
但好在房間裡還抓得到無線網路的訊號 我乖乖待在房裡規畫我的拜訪行程就好了。
　
　
結果櫃台小弟搔搔頭笑著說
不好意思 無線網路的點數卡賣完了。
　
不介意的話 我可以借用櫃台旁邊的破舊桌機 這裡有有線網路
我瞄了一眼 哇靠 Windows95!!
　
竟然能在這裡看見絕版多年 陪我渡過童年歲月的古董作業系統 我眼框都要濕了..
捧著滿腹委屈入睡 打定主意醒來第一件事就是離開這個鬼地方。
　
　
這趟來到匈牙利的行程有二
分別在南方邊境上的大城塞格德Szeged 及首都布達佩斯Budapest 舉辦產品發表會
　
總是很容易享受在台上喇塞 叫台下阿斗阿「認真聽講」的場面
講完還可以機智問答 考一考台下的聽眾有沒有偷打瞌睡
　
但前晚熬夜備稿太累
發表會結束後竟然是我先被偷拍 還好沒有流口水..
　
布達佩斯的場子也很熱鬧 很好 老師在講 大家都有在聽..
　
任務圓滿達成 又到了城市探險的時候
從布達佩斯的西站火車站出發 不小心走進這間豪華的「麥當勞」
忍不住要拍張照片為證 沒看過更金碧輝煌的小麥了..
　
在布達佩斯搭地鐵移動最方便 市區的景點大半都能直達。
我一直認為地鐵是代表一個城市現代化的象徵
但這裡的地鐵顛覆了我的印象；Metro1 的各個車站難以只用「老舊」來形容
　
它的深度似乎只在地表下一兩層樓深
沒有任何自動化的設備 所有出入口全部人工剪票
如果從北上月台要換到南下 必須回到地面上 過馬路 再下樓
進站的鐵皮車廂又嘎茲作響 搖搖晃晃像快解體了一樣
我在英國曾有過一次隧道裡列車中途拋錨的體驗 真不希望在這裡重演
　
後來才明白自己的有眼無珠 有幸搭上全世界僅次於倫敦地鐵 第二老的地鐵系統
完工於十九世紀末 這條Metro1 地鐵線竟然已經營運超過一百年歷史!!
足以列入聯合國教科文組織世界遺產的行列 不得不對它肅然起敬了
　
乘古董列車之便 參觀了布達佩斯的大教堂
St. Stephen's Basilica / Szent Istvan-bazilika
這座壯觀的教堂和國會大廈並列布達佩斯最高的建築物
據說它的意義就是象徵民主精神和教會思想的同等地位
　
另一棟百年歷史的建築是國家劇院 Magyar Allami Operahaz
　
然後 終於見到多瑙河了!
　
上個禮拜剛拜訪過土耳其 這裡有種似曾相識的感覺..
伊斯坦堡被博斯普魯斯海峽分割為亞洲區和歐洲區
布達佩斯的市區則被多瑙河南北向貫穿一分為二 分別是右岸的布達和左岸的佩斯　
　
這樣講可能有語病 因為布達和佩斯本來就是兩個城市
發展的過程中市區漸漸重疊 後來才合併成了布達佩斯
約莫就像華中武漢三鎮 武昌漢口漢陽合併成武漢市一樣的模式
　
布達城堡 Buda Castle 位於右岸布達的 Castle Hill 丘陵上
它是以往歷代匈牙利國王的王宮 從左岸佩斯遙望可以一窺它的全貌
如果想要更近距離一親芳澤 就要先渡河 再上山了
　
橫跨在多瑙河之上的是著名的鎖鏈大橋 Chain Bridge
過橋後可以再買票搭乘電纜車上山
　
三層式的咖啡色纜車緩緩上升
直到山頂的瞭望台時 人已經像米粒一樣小了
　
布達佩斯的市景就從這裡讓你一覽無遺!
從鎖鏈大橋開始
有連成一線的 Gresham Palace
到大教堂 St. Stephen's Basilica
沿著河岸向北望去還能看到遠方雄偉的國會大廈
　
壯麗的布達城堡在藍天白雲的襯托下更搶眼
　
山坡地上的風特別強 吹得人直發抖
我聞到空氣中瀰漫著摻雜肉桂的烤麵包香
於是像上鉤的魚兒一樣被牽引到路邊的小攤加入排隊的人潮中
這種現烤的糕點叫Kurt?skalacs長的像跟煙囪 是匈牙利特有的傳統點心
我看著師傅熟練地在木棍上纏繞上麵皮
再放到爐子裡烘烤 出爐後再灑上糖粉或其他口味
　
熱騰騰接到手裡後忍不住先大咬一口
砂糖和肉桂粉沾得滿嘴 就是這種幸福滿足的感覺 難以抗拒!!
　
短短半天的布達佩斯探險
最後一站排定拜訪英雄廣場 Heros Square / H?sok tere
顧名思義就是紀念所有匈牙利民族英雄與開國元勛的廣場 這裡佔地廣大視野極佳
　
尖塔上手持皇冠和十字架的是大天使加百列
象徵以天主教立國的傳統
塔座上七個在馬背上威風凜凜的人物
則是傳說中匈牙利人的先祖 共七個部族的首領
　
然後終於要離開了..
客人送我到東站火車站搭車
從這裡我要繼續未完的旅程 北上進入斯洛伐克；
　
等車的當兒 旁觀著月台上的老人擺西洋棋局找陌生路人挑戰
挑戰者也真的就路過隨興來比試一下 鬥鬥智順便消磨時間
反正輸贏只在談笑之間 nothing to lose!
　
--
　
人生中的挑戰 如果也都能當作等車空檔的一盤棋局來面對
放下得失 享受過程 是不是會更快樂？
到頭來 管他是輸是贏 生不帶來的 死也不會帶走..
　
不如乾一杯匈牙利甜酒 把握當下 今朝有酒今朝醉啊。


--



http://blog.yam.com/mousie

新疆留下的腳印 單車環島的點滴
從荷蘭到巴爾幹 與歐陸的緣份未完待續

--

◆ From: 118.168.89.90",http://blog.yam.com/mousie/article/37935935|http://blog.yam.com/mousie,◆ 匈牙利
◇ [轉錄]奧地利-維也納公寓民宿,https://www.ptt.cc/man/EuropeTravel/D507/D605/M.927600690.A.html,"發信人: 
[email protected]
 ( 維也納 ~小白~), 看板: travel
標  題: 奧地利-維也納公寓民宿
發信站: 台大電機 Maxwell BBS (Sun May 23 19:10:07 1999)
轉信站: Ptt!news.ntu!bbs.ee.ntu!Maxwell

奧地利-維也納公寓民宿
餐館:
福興飯店
Kreuzgasse 18 (黃淑玲)
A-1180 Wien
Tel: (002431) 4085603

住宿:     Schuhmanngasse 32 3/9
          A-1180 Wien
(廚房, 洗手間, 浴室, 大陽臺..)
價錢;     二人 / 家庭 :
    日:  400.-   700.-
    週:  2500.- 4500.-
先令; 奧地利貨幣單位  x 2.5
連絡: 0933-533042
e-mail: 
[email protected]

請提早預約


--

        


--


--

◆ From: t194-68.dialup.",/cdn-cgi/l/email-protection|/cdn-cgi/l/email-protection,◆ 奧地利
◇ [問題] 奧地利怎麼玩,https://www.ptt.cc/man/EuropeTravel/D507/D605/M.1121877109.A.178.html,"對音樂有興趣的話可以到莫札特的故鄉─薩爾斯堡
先看看莫札特的故居在附近逛逛
登纜車到堡上聽音樂會也是不錯的享受
可以俯瞰整個城市
或是電影“真善美”拍攝場景的教堂
米拉貝爾花園也是蠻漂亮的
或是往薩爾斯堡近郊的【哈倫鹽洞】看看，這個昔時出產豐富、分佈廣闊的
鹽礦坑，現在已發展成為兼俱趣味與教育性意義的旅遊景點，可以換穿工作服、深入礦
坑。

喜歡音樂的話那而隨時有驚喜喔
上回我在那兒就遇上一個由年齡層分佈極廣的的樂隊
從傍晚六點多就在電影真善美場景的教堂前廣場演出
一直到九點多
人群環繞著
跟著樂曲搖擺
也有小酒吧的客人露天品酒欣賞音樂
父母帶著小孩靜靜欣賞
當樂曲節奏強烈時
父母親會自然的帶著小孩隨樂曲跳舞
原來音樂在音樂之都
是像空氣一般的自然呢

對了
要聽音樂會的話
在維也納市區
都會有穿著仿莫札特時代人物的服裝及假髮的服務生
販賣晚上音樂會的票
因為是觀光客去聽較多
所以其實服裝儀容不要太誇張都可以喔
那兒真是太太太太棒了

待維也納光聽音樂會就很享受囉
祝你旅途愉快

對了
那兒的名產是莫札特巧克力
現在台灣也有但是價錢是當地購買的兩倍喔










--

◆ From: 218.170.170.77",,◆ 奧地利
◇ 請問一下奧地利,https://www.ptt.cc/man/EuropeTravel/D507/D605/M.934834015.A.html,"嗯巧克力都很甜~蛋糕也都甜而大
       可能是為了有熱量抵禦寒冷吧(冬天真的蠻冷的~風又大)
        不過我覺得奧地利很好玩喔
        而且如果有時間的話
        可以去聽聽她的音樂會
        她一些當季的音樂會(歌劇啦~交響樂啦~..etc)
        都有水準上的演出喔
        不然的話~
        也可去吃""音樂晚餐""(有莫札特~史特勞斯等的音樂相伴)
        蠻有趣的
        另外~奧地利的cafe跟巴黎坐起來又是截然不同的感覺喔
        (不過我那時是冬天啦)
        另外據說奧地利的消費即使在歐洲也算是比較貴一點的
        但我想如果是跟團~又沒啥大瞎拼的話
        應該是還好吧
        祝你玩的愉快喔~*^_^*




--

◆ From: h82.s80.ts30.hi",,◆ 奧地利
◇ [請益] 6/14去奧地利德國,https://www.ptt.cc/man/EuropeTravel/D507/D605/M.1118451982.A.8E6.html,"下禮拜要出發了...
http://tinyurl.com/a4wrr
 奧地利德國十天

    因為是團體旅遊...就沒做功課了...不過好像不能這麼混耶...

    天氣預報好像是8~19度...好像跟台灣冬天的氣溫差不多

    現在去歐洲是不是要穿長袖啊？要不要帶保暖的？還是太陽大要防曬呢？

    雖然我應該不會買什麼東西啦...但還是問一下有什麼特產可以買的嗎？

    如果知道的人請告訴我，謝謝！ ^_< *

--

◆ From: 220.135.128.60



作者: composer0 (我愛諾貝爾) 看板: EuropeTravel
標題: Re: [請益] 6/14去奧地利德國
時間: Fri Jun 10 22:36:40 2005



  我是剛回來...我想帶件夾克 裡面穿短袖的 這樣就可以
 很怕冷的話 戴圍巾或絲巾 天氣就是比較涼 乾燥 不用太很多衣服
  根本不會髒
 天氣很難跟你說 氣候很舒服 但是沒有照到太陽又會冷 有照到太陽就覺得很溫暖
 中午的話 太陽大很熱

 要買東西的話 我想可以買雙人牌的東西 (在台灣很貴) 或是M&F
  這兩樣是德國的名產 看到就可以買了 因為我觀察過 在德國定價都一樣
  另外還有水晶 比起台灣算便宜
  但是退稅的問題 線在德國有新的退稅公司在辦退 中間賺的很多
  (超不爽) (算一算在機場買是免稅還比較便宜辣)
  所以其實東西可以在機場買就好了(哈哈)

 如果你是男生的話 可以去一個叫做特拉斯圖的城市 就超級大的名牌OUTLET
都是當地的人在買的 超便宜 女生也有

 我覺得不用戴防曬的 去那裡買德國用的 他們的超級市場或是藥妝店
 有超級多 超級便宜各式各樣的乳液 防曬品 德國人超喜歡擦這些東西的
 (氣候乾燥不擦的話皮膚會癢)

 另外再跟你說件天大的好康 如國歐元用不完 千萬不要急著花掉
 如果你有到曼谷轉機 去曼谷換泰幣 再換回台幣吧 (去了你就懂了 不要說太多辣)
(我是沒享受到 所以來報好康的)
 另外還有一點心得就是  德國的機場BURBERRY 比較便宜
  有的 東西德國當地不見得便宜喔 不要被騙了
還想知道什麼的話可以回信問

--

◆ From: 140.112.55.45",https://tinyurl.com/a4wrr,◆ 奧地利
◇ [請益] 請幫我看看奧地利的行程,https://www.ptt.cc/man/EuropeTravel/D507/D605/M.1121698026.A.67E.html,"2004/7/8        Vienna(5:50am)
2004/7/9        Vienna
2004/7/10       Vienna-Salzburg-Werfen(Ice Cave)-Salzburg
2004/7/11       Salzburg-Hallstatt
2004/7/12       Hallstatt(Salt Mine)-St.Wolfgang-St.Gilgen-Salzburg-Zell am See
2004/7/13       Zell am See(Grossglockner Hochalpenstrasse冰河之旅)-Innsbruck
2004/7/14       Innsbruck(Igls)
乾脆貼我去年的行程給你看好了
那七天跑這些地方  簡直是趕來趕去累到快吐了
尤其我爬了維也納森林、Werfen、冰河 、鹽礦也要爬一小小段
當最後一天坐纜車上到Igls發現又要爬山時  簡直就晴天霹靂
行程是我排的  只能說自做虐不可活  但就可憐了我同學

所以我給你良心的建議  別把行程排太緊
尤其旅行常常會充滿變數  像我在Salzburg就發生蠢事
結果整個市區只算把上面的要塞古堡逛過  其他地方等於只有經過而沒辦法參觀
到現在還是很後悔  湖區也都是隨便晃過去  搭個船就算到此一遊
Wien排兩天也是趕到不行  還好後來我們提早結束別國的行程回到Wien
才算比較透徹的玩過Wien

而且如果你是像我一樣沒看過冰河的
建議你不妨考慮  把Innsbruck和楚格峰都刪了
可以換從Zell am See搭巴士去大鍾山國家公園Grossglockner Hochalpenstrasse參觀冰河
那段山景超美的  下去走冰河更是酷到不行的體驗
而且這是可當天來回的行程  不會很趕

雖然Igls我個人是很喜歡  撘上山兩段式的纜車超讚  爬上山後四周的風景也很漂亮
不過我也看過有人說奧地利的Alps山景沒瑞士美
最重要是拉到Innsbruck有點遠  而且照你原先的行程安排上Igls也很趕
所以我才會建議你不妨把楚格峰的行程挪去參觀冰河
等以後去德國時再去楚格峰參觀

這樣你10天行程可以變成Wien-Wien-Wien-Werfen+Zell am See-大鍾山-Salzburg-
St.Wolfgang-Hallstatt-Wien-Wien
從Wien-Zell am See途中到Werfen去看冰洞
比較麻煩的是我記得Werfen火車站是沒寄物櫃的
所以可能要請火車站或小巴士的人幫你保管行李就是了

--

◆ From: 61.228.206.199




作者: hondoh (hondoh) 看板: EuropeTravel
標題: Re: [請益] 請幫我看看奧地利的行程
時間: Mon Jul 11 00:54:15 2005





湖區那邊小有問題
你翻ㄧ下地圖就知道
鹽礦就在Hallstatt
冰洞也在Hallstatt附近，好像是火車的下ㄧ站
不知道你房間定了沒

如果沒定的化路線改ㄧ下會更順
Innsbruck--salzburg市區--沃夫岡湖，沙夫山---Bad Ich---Hallstatt+鹽礦+冰洞
----Wien
楚格峰我不確定離Innsbruck比較近或Salzburg

Salzburg之後用郵政巴士
Hallastatt回維也納用火車(要在一個大站換主線)
抱歉我手邊沒資料(放在家裡)
這樣就順得多了

如果你堅持要直接從Innsbruck--Hallstatt--至少要結束鹽礦+冰洞--bad Ich--沃夫岡湖
----Salzburg---Wien
這樣你才不會跑來跑去
Salzburg--沃夫岡湖---Bad Ich這一段搭郵政巴士最順就對了


我建議儘量住在湖區民宿
風景很漂亮，很能體驗當地風情
Salzburg市區沒什麼很棒的理由要住在那邊
民宿也不大貴，通常還有附早餐
奧地利真的很棒很漂亮

--

◆ From: 140.119.191.88



作者: wren (我的歐洲夢) 看板: EuropeTravel
標題: Re: [請益] 請幫我看看奧地利的行程
時間: Mon Jul 11 01:31:13 2005


我看我去年的紀錄  10點撘攬車上Igls山上  下來已經2點多了
上山的纜車不便宜  17歐的樣子
你花這錢上去不爬山也說不過去  但這樣你時間應該會不夠吧
要我會寧可選擇在Innsbruck市區悠閒的晃來晃去

Werfen是在Salzburg南下到Zell am See之間
照理來講Innsbruck-Salzburg的火車有經過
不過是小站所以快車都沒停  還是得轉車過去
Werfen跟Hallstatt附近的那個冰洞是不同的
Werfen是民營的  沒打燈  就純粹提個小煤燈欣賞它的壯觀
據說是世上最大的冰洞  到現在都還沒全部被挖掘完
而且爬去Werfen的冰洞有一點點辛苦啦
不過參觀完真的很感動  洞內很冷  要記得帶禦寒的衣物
提煤燈時要小心  我去年一不小心還燒到褲子  幸好我人沒事
Hallstatt附近的那個我沒去  聽說燈光打得很漂亮就是了

去obb(奧地利國鐵)網站查交通方式吧
會幫你把連接方式弄得一清二楚  連郵政巴士資訊都有

--

◆ From: 61.228.206.199



作者: wren (心理心裡有個謎) 看板: EuropeTravel
標題: Re: [請益] 請幫我看看奧地利的行程
時間: Wed Jul 13 18:44:36 2005


這個行程LP  或精英都有推薦呀(請別看Mook)
我其實是看了諾曼地大空降  覺得E連最後落腳的Zell am See看起來好美 才立志去的
可能是因為每年公車只從5月開放到9月底
但那山景真的很讚
而且強力建議一定要撘纜車下去走冰河
很棒的體驗
當然衣服要穿多一點  去冰洞和看冰河都頗冷
尤其去年七月上大鍾山還大雪紛飛  簡直讓我傻眼

Zell am See本身也是一個很美很精緻的湖邊小鎮
記得要去湖邊步道悠閒地散散步

順便附上交通資訊:從Zell am See火車站前的公車站搭郵政巴士651,
9:25開  11:40到Grosglockner Franz Josefs Hohe
原車15:00出發16:33回到Zell am See

我很喜歡奧地利  希望你玩得愉快呀

--

◆ From: 61.228.192.19",,◆ 奧地利
◇ 維也納的青年旅館,https://www.ptt.cc/man/EuropeTravel/D507/D605/M.1121874841.A.9D6.html,"haus doebling不錯，空間大還有廣大中庭可以日光浴
        房間有沖澡設備
        籃球場排球場還有internet (money)
        事實上很多當地學生都住那
        但秘書對不會德語的人不友善
        一個月好像是5000 schilings（記不太清楚）
        但一次須住一個月
        tram 38可直達市中心，交通方便

        asian-africa hostel住得都顧名思義
        就在市中心(tram 38與U2交點前一站）
        有整套衛浴設備
        價格比haus稍貴一點點（當然可以選只有沖澡的房間）
        晚上不熱鬧，有點恐怖（雖然在市中心）
        黑人看起來滿恐怖，但我遇到的都還滿和善的
        不適團體居住  但適合個人短期居住（一次須付清2 wk）
        位置不好找，秘書在哪裡更難找
        且秘書的英文應該只有小學程度  黑人也都只會講德語
        我是有奧地利朋友翻譯才解決一些棘手問題的

        以上都是適合孤僻須single room且經濟狀況住不起飯店的遊客
        當然還有更便宜多人一寢（可以多至10數人）的hostel
        那我就不清楚了（我是孤僻的人）

--
        No pain could be deeper         No life could be cheaper
        No point anymore if she can't love me
        No hope she would do so         No dream to pursue, so
        I look to myself, despite all the things I see
        For I know that she             Cannot set me free
        Let the world be done with me

--

◆ From: 163.30.22.173",,◆ 奧地利
