"title","date","link","nrec"
"[颱風] 11W 呂宋島迴轉中","7/23","https://www.ptt.cc/bbs/TY_Research/M.1753232581.A.0E6.html","22.0"
"[颱風] 2507 范斯高","7/23","https://www.ptt.cc/bbs/TY_Research/M.1753233728.A.B4E.html","100.0"
"[颱風] 11W TS JMA:GW","7/23","https://www.ptt.cc/bbs/TY_Research/M.1753261123.A.8A2.html","29.0"
"[颱風] 2508 竹節草","7/23","https://www.ptt.cc/bbs/TY_Research/M.1753276174.A.A9E.html","100.0"
"[颱風] 12W GW","7/24","https://www.ptt.cc/bbs/TY_Research/M.1753319386.A.15A.html","10.0"
"Re: [颱風] 2508 竹節草","7/24","https://www.ptt.cc/bbs/TY_Research/M.1753323417.A.A7B.html","100.0"
"[颱風] 2509 柯羅莎","7/24","https://www.ptt.cc/bbs/TY_Research/M.1753332317.A.B40.html","70.0"
"Re: [颱風] 2507 范斯高","7/25","https://www.ptt.cc/bbs/TY_Research/M.1753423572.A.58D.html","59.0"
"[情報] 豪雨特報","7/26","https://www.ptt.cc/bbs/TY_Research/M.1753483797.A.451.html","75.0"
"[情報] 中央氣象署發布大雷雨即時訊息","7/27","https://www.ptt.cc/bbs/TY_Research/M.1753619071.A.423.html","15.0"
"Re: [颱風] 2508 竹節草 起死回生","7/27","https://www.ptt.cc/bbs/TY_Research/M.1753621678.A.3EC.html","28.0"
"[討論] 關於上次那個丹娜絲颱風","7/27","https://www.ptt.cc/bbs/TY_Research/M.1753623351.A.014.html","29.0"
"[情報] CWA預計啟動大規模或較劇烈豪雨作業","7/27","https://www.ptt.cc/bbs/TY_Research/M.1753625221.A.6B1.html","100.0"
"[情報] 14時啟動大規模或劇烈豪雨作業","7/28","https://www.ptt.cc/bbs/TY_Research/M.1753673206.A.C72.html","77.0"
"[天氣] 大規模或劇烈豪雨作業","7/28","https://www.ptt.cc/bbs/TY_Research/M.1753693616.A.5FE.html","71.0"
