"title","date","link","nrec","source","content","urls"
"[颱風] 11W 呂宋島迴轉中","7/23","https://www.ptt.cc/bbs/TY_Research/M.1753232581.A.0E6.html","22.0","","JTWC 11W ELEVEN 20250723 0000 188N 1205E 255 047 0997 1004 0278
https://i.imgur.com/dwjFPox.jpeg
- -
https://i.imgur.com/OfUUY89.png
https://i.imgur.com/JjCriP6.png
--
https://www.ptt.cc/bbs/TY_Research/M.1753232581.A.0E6.html","https://i.imgur.com/dwjFPox.jpeg|https://i.imgur.com/OfUUY89.png|https://i.imgur.com/JjCriP6.png|https://www.ptt.cc/bbs/TY_Research/M.1753232581.A.0E6.html"
"[颱風] 2507 范斯高","7/23","https://www.ptt.cc/bbs/TY_Research/M.1753233728.A.B4E.html","100.0","","WTPQ51 RJTD 230000
RSMC TROPICAL CYCLONE ADVISORY
NAME  TS 2507 FRANCISCO (2507) UPGRADED FROM TD
ANALYSIS
PSTN  230000UTC 20.4N 130.4E FAIR
MOVE  NW 11KT
PRES  996HPA
MXWD  035KT
GUST  050KT
30KT  350NM NORTHEAST 150NM SOUTHWEST
FORECAST
12HF  231200UTC 22.0N 128.5E 40NM 70%
MOVE  NW 12KT
PRES  996HPA
MXWD  035KT
GUST  050KT
24HF  240000UTC 23.6N 126.8E 57NM 70%
MOVE  NW 11KT
PRES  994HPA
MXWD  040KT
GUST  060KT
48HF  250000UTC 25.9N 123.7E 115NM 70%
MOVE  NW 09KT
PRES  990HPA
MXWD  040KT
GUST  060KT
72HF  260000UTC 27.6N 121.2E 160NM 70% TROPICAL DEPRESSION =
--",""
"[颱風] 11W TS JMA:GW","7/23","https://www.ptt.cc/bbs/TY_Research/M.1753261123.A.8A2.html","29.0","","11W ELEVEN 250723 0600 17.9N 119.6E WPAC
997
WP, 11, 2025072306,   , BEST,   0, 179N, 1196E,  35,  997,
,  34, NEQ,
TPPN11 PGTW 230630
A. TROPICAL DEPRESSION 11W (NW OF LUZON)
B. 23/0530Z
C. 18.11N
D. 119.51E
E. FIVE/GK2A
F.
STT: D0.5/03HRS
G. IR/EIR/VIS/MSI
H. REMARKS: 44A/PBO LARGE CDO/ANMTN. IRREGULAR CDO OF 90NM IN
DIAMETER YIELDS A DT OF 3.0. MET YIELDS 1.5. PT YIELDS 2.5. DBO DT.
BROKE CONSTRAINTS DUE TO RAPID INTENSIFICATION.
I. ADDITIONAL POSITIONS: NONE
LINDGREN
--
WTPQ50 RJTD 230600
RSMC TROPICAL CYCLONE ADVISORY
NAME TD
ANALYSIS
PSTN 230600UTC 18.1N 119.6E FAIR
MOVE WSW 07KT
PRES 996HPA
MXWD 030KT
GUST 045KT
https://i.meee.com.tw/UjTeiNi.png
--
https://i.meee.com.tw/MmtISOp.png
https://i.meee.com.tw/nwgx4nI.png
https://i.meee.com.tw/AkHfpJN.png
--","https://i.meee.com.tw/UjTeiNi.png|https://i.meee.com.tw/MmtISOp.png|https://i.meee.com.tw/nwgx4nI.png|https://i.meee.com.tw/AkHfpJN.png"
"[颱風] 2508 竹節草","7/23","https://www.ptt.cc/bbs/TY_Research/M.1753276174.A.A9E.html","100.0","","CMA升格報
ZCZC
WSCI40 BABJ 231200
TO BCSY BCHK BCSH BCCD BCGZ
BETY BEXA BETJ BESZ BEJN BEZZ BEBJ
2053 0669 1417 0143 2456 (17.8) 9887 9976
(119.0) 9878 4104 3583 1601 3049 2467 2456
9923 9812 9899 7030 1193 4882 3634 4574
(2508) 5714 3583 1601 3049 2467 9975
BABJ/3049 9707 9923 9812 =
NNNN
--
JMA命名報
WTPQ50 RJTD 231200
RSMC TROPICAL CYCLONE ADVISORY
NAME  TS 2508 CO-MAY (2508) UPGRADED FROM TD
ANALYSIS
PSTN  231200UTC 17.7N 118.8E FAIR
MOVE  W 08KT
PRES  994HPA
MXWD  035KT
GUST  050KT
30KT  90NM
https://i.meee.com.tw/WkCU1dx.jpg
--
中國自己撿了
中央氣象台 於7月23日12Z發布的颱風報文 (WSCI40)
發往 瀋陽、武漢、上海、成都、廣州、太原、西安、天津、深圳、暨南、鄭州、北京
本台對位於北緯17.8度、東經119.0度的熱帶氣旋進行編碼為2508
發自中央氣象台 07月23日12Z
有興趣可以買這本書看看
https://www.qxcbs.com/article/55/1867.html","https://i.meee.com.tw/WkCU1dx.jpg|https://www.qxcbs.com/article/55/1867.html"
"Re: [颱風] 2508 竹節草","7/24","https://www.ptt.cc/bbs/TY_Research/M.1753323417.A.A7B.html","100.0","","今日00Z 日本與美國的T值自動分析與強度
WP 11 202507232330 DVTS 1650N 11820E 55 3535 ///// KNES
WP 11 202507232340 DVTS 1623N 11831E
D2024 PGTW
WP 11 202507240000 DVTS 1640N 11790E
///// RJTD
機構調整正式發報強度
RJTD
----
WTPQ50 RJTD 240000
RSMC TROPICAL CYCLONE ADVISORY
NAME  STS 2508 CO-MAY (2508) UPGRADED FROM TS
ANALYSIS
PSTN  240000UTC 16.5N 117.9E FAIR
MOVE  SSE 07KT
PRES  985HPA
MXWD
KT
GUST  070KT
JTWC
----
TPPN11 PGTW 232359
A. TROPICAL STORM 11W (CO-MAY)
B. 23/2340Z
C. 16.23N
D. 118.31E
E. THREE/GK2A
F.
/D2.0/24HRS  STT: D0.5/03HRS
G. IR/EIR/VIS/MSI
H. REMARKS: 22A/PBO SMALL CDO/ANMTN. WELL-DEFINED CDO OF 70NM IN
DIAMETER YIELDS A CF OF 3.0. ADDED 1.0 FOR BF TO YIELD A DT OF 4.0.
MET YIELDS 3.0. PT YIELDS 3.5. DBO DT.
I. ADDITIONAL POSITIONS: NONE
HUYNH
11W CO-MAY 250724 0000 16.2N 118.6E WPAC
975
KNES
----
TXPQ23 KNES 240021
TCSWNP
A. 11W (CO-MAY)
B. 23/2330Z
C. 16.5N
D. 118.2E
E. THREE/HIMAWARI-9
F.
G. IR/EIR/VIS
H. REMARKS...IRREGULAR CDO PATTERN WITH A DIAMETER >1.5 DEGREES RESULTS
IN A DT OF 3.0. THE MET IS 3.0 BASED ON A 24HR RAPID DEVELOPING TREND. THE
PT IS 3.5. THE FT IS BASED ON THE PT BECAUSE THE CLOUD FEATURES ARE NOT
CLEAR CUT.
I. ADDL POSITIONS
NIL
...GATLING
----
從今天JTWC的資料來看 已經是RI的狀況了
根據預報理由顯示
目前竹節草處在弱風切、極暖海溫和強雙通道流出的極利環境
不過這系統也被吐槽雖然觀察到極冷雲頂有穿透的跡象但從EIR還沒能看到風眼就是了
http://archive.today/gLrpt
----
【傳統模式】
GFS
https://i.meee.com.tw/vEJAhJ5.png
ECMWF
https://i.meee.com.tw/1xO2BrN.png
誤差圈
https://i.meee.com.tw/nRRFcvf.png
【AI模式】
AIFS
https://i.imgur.com/8d0Lac2.jpeg
Google
https://i.meee.com.tw/tAlkIVa.png
https://i.meee.com.tw/sRVfLwe.png
【區域模式】
CWA
https://i.meee.com.tw/IPoMXqp.gif
NCDR
https://i.meee.com.tw/EHdDWtz.png
--
有 但范斯高強度及路徑跟預報變化不大 因新的版規就沒特別回文了
https://i.meee.com.tw/Y17oN3K.png
理論上，日本與美國官方機構都已經避免使用「藤原效應」的名稱
主因是發現者是二戰戰犯之一，學界/理論上也有更適合與更多細節的名詞使用
https://w.wiki/EpzN","http://archive.today/gLrpt|https://i.meee.com.tw/vEJAhJ5.png|https://i.meee.com.tw/1xO2BrN.png|https://i.meee.com.tw/nRRFcvf.png|https://i.imgur.com/8d0Lac2.jpeg|https://i.meee.com.tw/tAlkIVa.png|https://i.meee.com.tw/sRVfLwe.png|https://i.meee.com.tw/IPoMXqp.gif|https://i.meee.com.tw/EHdDWtz.png|https://i.meee.com.tw/Y17oN3K.png|https://w.wiki/EpzN"
"[颱風] 2509 柯羅莎","7/24","https://www.ptt.cc/bbs/TY_Research/M.1753332317.A.B40.html","70.0","","WTPQ52 RJTD 240300
RSMC TROPICAL CYCLONE ADVISORY
NAME TS 2509 KROSA (2509) UPGRADED FROM TD
ANALYSIS
PSTN 240300UTC 14.4N 143.7E FAIR
MOVE NNW SLOWLY
PRES 1002HPA
MXWD 035KT
GUST 050KT
https://i.meee.com.tw/DC75uf3.jpg
--
好久不見的小報升格...
--","https://i.meee.com.tw/DC75uf3.jpg"
"Re: [颱風] 2507 范斯高","7/25","https://www.ptt.cc/bbs/TY_Research/M.1753423572.A.58D.html","59.0","","彿朗西斯科看來還沒輸
Ai預報這次感覺也不準不準的
再多觀察吧
好在不用開冷氣了
https://files.catbox.moe/tt84pn.png
-----
Sent from MeowPtt on my SM-A3560
--","https://files.catbox.moe/tt84pn.png"
"[情報] 豪雨特報","7/26","https://www.ptt.cc/bbs/TY_Research/M.1753483797.A.451.html","75.0","","低壓帶影響，易有短延時強降雨，今(26)日嘉義縣山區有局部大雨或豪雨，中南部地區有局
部大雨發生的機率，請注意雷擊、強陣風及溪水暴漲，山區請慎防坍方及落石，低窪地區請
慎防積水。
————-
目前雲嘉南高上空有回波滯留
感覺上對流是從陸地直接生出來
這次低壓帶影響
似乎會比預期更劇烈一些
實在是有夠不像七月的天氣…
--",""
"Re: [颱風] 2508 竹節草 起死回生","7/27","https://www.ptt.cc/bbs/TY_Research/M.1753621678.A.3EC.html","28.0","","WTPQ50 RJTD 271200
RSMC TROPICAL CYCLONE ADVISORY
NAME  TS 2508 CO-MAY (2508) UPGRADED FROM TD
ANALYSIS
PSTN  271200UTC 26.1N 129.6E GOOD
MOVE  ALMOST STATIONARY
PRES  992HPA
MXWD  035KT
GUST  050KT
30KT  270NM NORTH 210NM SOUTH
https://i.imgur.com/DQWZ98j.png
這是2020後第三次 前兩次分別為2021奧麥斯、2024海貝思
JTWC
也來到40KTS了
11W CO-MAY 250727 1200 26.2N 130.4E WPAC
986
WP 11 202507271130 DVTS 2667N 12995E 35
D1524 PGTW
-
雷達觀測資料
https://i.imgur.com/xOjAbo9.jpeg
GFS
https://i.imgur.com/iVOC43z.png
ECMWF
https://i.imgur.com/kjX3vue.png
谷歌
https://i.imgur.com/MZeiMmB.png
--
https://www.ptt.cc/bbs/TY_Research/M.1753621678.A.3EC.html
JMA一直都是編為TD 沒有降過LPA喔","https://i.imgur.com/DQWZ98j.png|https://i.imgur.com/xOjAbo9.jpeg|https://i.imgur.com/iVOC43z.png|https://i.imgur.com/kjX3vue.png|https://i.imgur.com/MZeiMmB.png|https://www.ptt.cc/bbs/TY_Research/M.1753621678.A.3EC.html"
"[討論] 關於上次那個丹娜絲颱風","7/27","https://www.ptt.cc/bbs/TY_Research/M.1753623351.A.014.html","29.0","","關於上次那個丹娜絲颱風，應該來說破了很多台灣記錄吧?
從新聞來說
像是有看到120年來第一個在嘉義登陸的颱風，
(我個人看法是存疑
問ai的結果是這樣
1. 1969年颱風「芙勞西」（Flossie）
登陸地點：雲林至嘉義沿海一帶。
影響：帶來強風豪雨，造成台灣中南部嚴重水患。
2. 2001年颱風「桃芝」（Toraji）
登陸地點：雖主要登陸點在花蓮，但其暴風圈及環流對嘉義地區造成嚴重災害，尤其是山
區土石流。
3. 2007年颱風「聖帕」（Sepat）
路徑：雖未直接登陸嘉義，但其外圍環流導致嘉義山區豪雨，引發淹水及土石崩落。
4. 2018年颱風「瑪莉亞」（Maria）
路徑：北部通過，但嘉義地區仍受外圍環流影響，出現強風降雨。
這麼多颱風過境紀錄，唯獨這個颱風把嘉義都吹翻了，為啥之前的颱風都沒有吹翻嘉義台南
所以這丹娜絲真的威力很強吧?可是新聞也沒強烈報導的感覺
真的要看的話，得自己去油管看空拍機影片還比新聞看到的多
那再來看新聞報導的""力度""?
覺得從新聞報導的力度感受上來說，沒有到非常的強烈
我是北部人
真的沒有從新聞感受到當年賀伯颱風/納莉那種新聞狂炸的感覺
可是確實是害重災區停電停班停課一周多了，真的是破紀錄
北部人就正常上班，偶而看看窗外照樣過日子而已
為啥會明明颱風就很強，可是感覺就普普?
是因為新聞沒有狂報導嗎? 還是真的不需要狂報導?
還是怎樣我沒想到?
--
內容僅供參考，請仔細甄別。
--
矮..我想要說的是這次真的沒有從新聞上感受到嘉義台南受颱風摧殘的慘烈啊
這麼慘的話新聞怎麼沒有狂報?
AI的話，AI就講錯我還真不知道，AI不是撈資料嗎?還會錯
屏東也放了一週，不是羨慕別人怎樣  ，可是停了一週表示應該風雨強烈
也沒看新聞有強烈報導
真的這輩子，第一次看到停班1週，加上前後=7+2+2=11天..
對啊   我每天划手機，同樣感覺，有種新聞業都冷處理式的報導颱風的感覺.==",""
