"title","date","link","nrec"
"[公告] poca777 水桶二週","7/22","https://www.ptt.cc/bbs/TY_Research/M.1753176081.A.8CE.html",""
"[颱風] 11W 呂宋島迴轉中","7/23","https://www.ptt.cc/bbs/TY_Research/M.1753232581.A.0E6.html","22"
"[颱風] 2507 范斯高","7/23","https://www.ptt.cc/bbs/TY_Research/M.1753233728.A.B4E.html","爆"
"[颱風] 11W TS JMA:GW","7/23","https://www.ptt.cc/bbs/TY_Research/M.1753261123.A.8A2.html","29"
"[颱風] 2508 竹節草","7/23","https://www.ptt.cc/bbs/TY_Research/M.1753276174.A.A9E.html","爆"
"[颱風] 12W GW","7/24","https://www.ptt.cc/bbs/TY_Research/M.1753319386.A.15A.html","10"
"Re: [颱風] 2508 竹節草","7/24","https://www.ptt.cc/bbs/TY_Research/M.1753323417.A.A7B.html","爆"
"[颱風] 2509 柯羅莎","7/24","https://www.ptt.cc/bbs/TY_Research/M.1753332317.A.B40.html","70"
"Re: [颱風] 2507 范斯高","7/25","https://www.ptt.cc/bbs/TY_Research/M.1753423572.A.58D.html","59"
"[情報] 豪雨特報","7/26","https://www.ptt.cc/bbs/TY_Research/M.1753483797.A.451.html","75"
"[情報] 中央氣象署發布大雷雨即時訊息","7/27","https://www.ptt.cc/bbs/TY_Research/M.1753619071.A.423.html","15"
"Re: [颱風] 2508 竹節草 起死回生","7/27","https://www.ptt.cc/bbs/TY_Research/M.1753621678.A.3EC.html","28"
"[颱風] 01C 後期平入西太","7/27","https://www.ptt.cc/bbs/TY_Research/M.1753622522.A.87A.html","4"
"[討論] 關於上次那個丹娜絲颱風","7/27","https://www.ptt.cc/bbs/TY_Research/M.1753623351.A.014.html","29"
"[情報] CWA預計啟動大規模或較劇烈豪雨作業","7/27","https://www.ptt.cc/bbs/TY_Research/M.1753625221.A.6B1.html","爆"
"[颱風] 01C 艾歐娜 中太連續兩年破蛋","7/28","https://www.ptt.cc/bbs/TY_Research/M.1753670057.A.6F5.html","1"
"[情報] 14時啟動大規模或劇烈豪雨作業","7/28","https://www.ptt.cc/bbs/TY_Research/M.1753673206.A.C72.html","77"
"[天氣] 大規模或劇烈豪雨作業","7/28","https://www.ptt.cc/bbs/TY_Research/M.1753693616.A.5FE.html","71"
"[公告] 大氣板板規(114/7/4)","7/04","https://www.ptt.cc/bbs/TY_Research/M.1751627759.A.CD0.html",""
"[公告] 置底檢舉區與違規標準釋疑","7/27","https://www.ptt.cc/bbs/TY_Research/M.1501163871.A.935.html","2"
"[公告]災害性天氣期間管理規則 實施","7/18","https://www.ptt.cc/bbs/TY_Research/M.1752809837.A.6AC.html",""
"[颱風] 薇帕颱風 海上颱風警報 第2報","7/18","https://www.ptt.cc/bbs/TY_Research/M.1752820202.A.CB9.html","59"
"[颱風] 薇帕颱風 海上颱風警報 第3報","7/18","https://www.ptt.cc/bbs/TY_Research/M.1752831302.A.C37.html","39"
"[颱風] 薇帕颱風 海上颱風警報 第4報","7/18","https://www.ptt.cc/bbs/TY_Research/M.1752841802.A.34D.html","50"
"[颱風] 薇帕颱風 海上颱風警報 第5報","7/18","https://www.ptt.cc/bbs/TY_Research/M.1752852602.A.C31.html","22"
"[公告] TY_Research 板 開始舉辦樂透!","7/19","https://www.ptt.cc/bbs/TY_Research/M.1752859724.A.C94.html",""
"[颱風] 薇帕颱風 海上颱風警報 第6報.","7/19","https://www.ptt.cc/bbs/TY_Research/M.1752863895.A.BDC.html","20"
"[颱風] 薇帕颱風 海上颱風警報 第7報","7/19","https://www.ptt.cc/bbs/TY_Research/M.1752877802.A.56C.html","51"
"[颱風] 薇帕颱風 海上颱風警報 第8報","7/19","https://www.ptt.cc/bbs/TY_Research/M.1752885962.A.C4A.html","45"
"[颱風] 薇帕颱風 海上颱風警報 第9報","7/19","https://www.ptt.cc/bbs/TY_Research/M.1752896462.A.E35.html","42"
"[颱風] 薇帕颱風 海上颱風警報 第10報(o","7/19","https://www.ptt.cc/bbs/TY_Research/M.1752906962.A.30A.html","26"
"[颱風] 薇帕颱風 解除颱風警報 第11報","7/19","https://www.ptt.cc/bbs/TY_Research/M.1752917581.A.6F7.html","爆"
"Re: 成功氣象站雨量記錄","7/20","https://www.ptt.cc/bbs/TY_Research/M.1752941068.A.5F9.html","15"
"[天氣] 0719造成龍捲風的渦旋路徑","7/20","https://www.ptt.cc/bbs/TY_Research/M.1753008673.A.3E4.html","8"
"[討論] 97W PAGASA：LOW 周末接近北台灣","7/21","https://www.ptt.cc/bbs/TY_Research/M.1753059086.A.FE1.html","爆"
"[公告] TY_Research 樂透開獎","7/21","https://www.ptt.cc/bbs/TY_Research/M.1753101703.A.EB0.html","2"
"Re: 台東氣象站陣風記錄","7/21","https://www.ptt.cc/bbs/TY_Research/M.1753106800.A.FA1.html","4"
"Re: [討論] 97W JTWC：MEDIUM","7/22","https://www.ptt.cc/bbs/TY_Research/M.1753146073.A.939.html","67"
"[颱風] 10W GW","7/22","https://www.ptt.cc/bbs/TY_Research/M.1753171404.A.071.html","69"
"[討論] 99W PAGASA：MEDIUM 在家門口","7/22","https://www.ptt.cc/bbs/TY_Research/M.1753172473.A.E34.html","28"
"[情報] 17時啟動大規模或劇烈豪雨作業","7/09","https://www.ptt.cc/bbs/TY_Research/M.1752050333.A.1B2.html","爆"
"[討論]ai與物理模式丹娜斯回顧比較","7/09","https://www.ptt.cc/bbs/TY_Research/M.1752055202.A.DB2.html","6"
"[情報] 7/10 超大豪雨特報","7/10","https://www.ptt.cc/bbs/TY_Research/M.1752106558.A.4CF.html","84"
"[情報] 解除114年0709豪雨事件","7/10","https://www.ptt.cc/bbs/TY_Research/M.1752138994.A.E46.html","68"
"[公告] 災害性天氣期間管理規則 解除","7/11","https://www.ptt.cc/bbs/TY_Research/M.1752164668.A.1E3.html",""
"[徵求] 7月4日至5日的日累積雨量圖","7/11","https://www.ptt.cc/bbs/TY_Research/M.1752184406.A.06C.html","4"
"[颱風] 06W GW","7/11","https://www.ptt.cc/bbs/TY_Research/M.1752220286.A.070.html","4"
"[討論] 關島附近94W 疑為下週影響台灣的系統","7/11","https://www.ptt.cc/bbs/TY_Research/M.1752222673.A.41C.html","爆"
