"title","date","link","nrec"
"Fw: [公告] 徵文主題-菸害防制法修法與言論自由(發錢推廣)","7/14","https://www.ptt.cc/bbs/Gossiping/M.1752478690.A.FCA.html","91.0"
"[新聞] 丹娜絲災後21天 台南學甲區仍持續沒網路","7/27","https://www.ptt.cc/bbs/Gossiping/M.1753595102.A.562.html","100.0"
"[新聞] 川普考慮是否允許台灣領導人過境美國","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753705256.A.FCA.html","31.0"
"[問卦] 志祺最新影片：分析希特勒洗腦術！","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753704414.A.DA0.html","97.0"
"[問卦] 法律規定國軍不能進去民房是事實還是造謠?","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753704738.A.E5E.html","23.0"
"[問卦] 南部為什麼常常大放假啊？？？","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753704914.A.64E.html","27.0"
"[新聞] 喊話賴辭黨主席後刪文！李宇翔重申想法","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753704005.A.764.html","43.0"
"[新聞] 台南新化圳驚見男浮屍 死者疑為賴姓男子","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753703558.A.085.html","100.0"
"[問卦] 嘉義市宣布明天正常上班上課","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753703677.A.652.html","34.0"
"Re: [新聞] 葉元之挺過罷免「女貴人」是她！　網友：","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753702957.A.00C.html","52.0"
"[問卦] 南部仔拖累全台沒錯了吧","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753703003.A.133.html","22.0"
"[新聞] 日智庫：大罷免失敗不能全怪中共滲透","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753703238.A.E87.html","55.0"
"[問卦] 大熊兔輸了是骨牌效應的開始嗎？","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753702421.A.2BE.html","100.0"
"[問卦] 今年的代表字可以確定了嗎？ 有沒有卦？","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753702527.A.370.html","69.0"
"[問卦] 上次北部下豪雨為什麼沒放假？？？","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753702681.A.F9A.html","22.0"
"[爆卦] 嘉義縣明天停班停課","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753702806.A.41C.html","37.0"
"[問卦] 臺南有需要到全放@.@？","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753702037.A.0D0.html","44.0"
"[新聞] 快訊／總統府:賴清德近期「暫無」出訪安排","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753702220.A.CEA.html","100.0"
"[問卦] 還沒8點 南部全宣布停班停課 代表什麼","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753702246.A.A58.html","83.0"
"[爆卦] 屏東高雄明日停班停課","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753701506.A.20D.html","67.0"
"[新聞] 男友「每天只換1次內褲」驚呆外國妹　全","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753701591.A.014.html","28.0"
"[爆卦] 台南市明天停班停課","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753701651.A.FA6.html","83.0"
"[新聞] 要賴清德辭黨主席刪文 李宇翔重申想法不","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753701810.A.4AF.html","21.0"
"[新聞] 台南、高雄宣布明日停班停課　各縣市狀況","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753701825.A.816.html","100.0"
"[新聞] 陳亭妃帶皮卡隊進菁寮　救阿嬤洗腎、爭沔","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753701990.A.8AD.html","100.0"
"[新聞] 追殺柯文哲、黃呂錦茹檢察官全升官","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753700733.A.909.html","100.0"
"[問卦] 你覺得726慘敗 真的是因為沒發一萬元嗎","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753701133.A.45B.html","100.0"
