"title","date","link","nrec","source","content","urls"
"Fw: [公告] 徵文主題-菸害防制法修法與言論自由(發錢推廣)","7/14","https://www.ptt.cc/bbs/Gossiping/M.1752478690.A.FCA.html","91.0","longbow2 (踮起腳尖的親吻) 看板: Clarify","站方有徵文活動宣導捏
請大家踴躍參加，P幣向來是大方放送喔！！
例如
時間: Mon Jul 14 14:06:23 2025
請參考以下資料：
(1)
菸害防制法現行本文：
https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0070021
(2)
菸害防制法目前公告修正草案網頁：
https://www.hpa.gov.tw/Pages/Detail.aspx?nodeid=129&pid=18920
(3)
相關新聞：
https://udn.com/news/story/7266/8868991
(4)
TiEA 呼籲與公開信
https://ppt.cc/fbummx
------------------------
徵文主旨：
(依照站方目前所得資料，
即使站方未收任何費用，
文章也非廣告模式，
相關文章也不一定不會被認為是站方的廣告)。
請使用者提供意見(公關稿格式)，
作為本站在捍衛言論自由與守護健康權兼具的精神下，
能有較適當的立場。
發文從優給予獎勵。
PTT 公關站長 longbow2
--
PTT公關站長兼發言人
媒體聯繫：
[email protected]
鄉民投稿：請至Clarify板，豐厚P幣等你來!
--","https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0070021|https://www.hpa.gov.tw/Pages/Detail.aspx?nodeid=129&pid=18920|https://udn.com/news/story/7266/8868991|https://ppt.cc/fbummx|/cdn-cgi/l/email-protection"
"[新聞] 丹娜絲災後21天 台南學甲區仍持續沒網路","7/27","https://www.ptt.cc/bbs/Gossiping/M.1753595102.A.562.html","100.0","","1.媒體來源:
聯合報
2.記者署名:
袁志豪
丹娜絲災後21天 台南學甲區仍持續沒網路、沒第四台、沒通訊
4.完整新聞內文:
丹娜絲颱風重創台南，
本月20日指溪北部分地區仍然不穩定，許多受災情況無法
對外通報，也就無法在第一時間得到救援，受災戶感覺求助無門；學甲區秀昌里莊姓女市民
表示，直到
。
立委陳亭妃日前指出，風災後第一時間進入災區，台南12個區所有通訊系統都斷了，讓許多
地區受災情況無法對外通報，也無法在第一時間得到救援，加上
，再者，缺乏訊號，民眾難以接收即時資訊，極有可能造成更嚴重損
害、拖延災後重建工作。
家住學甲區秀昌里的莊姓女市民表示，她家的第四台電視、行動電話、網路WIFI完全中斷，
持續到目前都完全沒有訊號，整整21天；打給電信公司台灣大哥大只會得到「因這次風災受
損範圍太大，目前仍在安排維修時間，會提供基本費率優惠」。
莊女指出，她寧願快點修復也不要賠償方案，都已經三周；她家就在當地的台電公司後面，
電力早就已經來了，通訊問題卻一直沒有辦法解決，親友傳訊給她，她都不知道，只有家裡
的中華電信市話可以通話，需要聯絡就只能打住家電話。
她說，詢問鄰居，現在當地除了中華電信的網路比較強，其他的網路通訊幾乎都中斷，雖然
已經報修，但迄今都沒有看到派員到府檢查線路；南天第四台公司也是，二個月繳一次月租
費，如今整整21天不能看，沒有來修復也沒有表示會提供優惠減免方案。
莊女說，網路中斷對居民來說真的是很頭痛的事情，對生活造成很大的困擾，她現在在家都
無法知道外界訊息，也不能觀看新聞；只有到上班的學甲區仁得里才正常，回家就彷彿與世
界斷絕聯繫，客戶如果有急事傳訊息或有訂單都看不到，十分頭痛。
她指出，如今公司生意、個人投資理財、日常生活都受到嚴重影響，如今已經半個月了，台
電努力讓電力恢復正常，希望通訊業者也能盡快解決問題。
有2.4萬人追蹤的在地臉書粉絲專頁「台南學甲人」昨天晚間9時許也發文指出，位於學甲白
礁亭附近的頭前寮地區，屬於此次災情的重災區之一，這裡原本有許多古色古香的紅瓦厝與
黑瓦厝，
。
台南學甲人分享，這一帶多為高齡長輩居住，行動與資訊取得不便；有長者中華電信的室內
電話及南天第四台的線路中斷、路燈不亮，老人家表示，雖然線路嚴重損壞，但並不清楚該
如何向相關單位反映，
。
相關單位，以及中華電信與南天網路公司，能夠加快腳步，主動前
往災區了解實際情況，盡速協助修復受損設施，讓受災居民早日恢復正常生活；特別是針對
高齡居民的需求與困難，更應給予同理與優先處理。
5.完整新聞連結 (或短網址)不可用YAHOO、LINE、MSN等轉載媒體:
https://reurl.cc/5RpOaV
6.備註:
大罷免結束了 政府可不可以認真進台南救災了！？ 颱風都走三個禮拜了誒 台南是什麼第
三世界無政府狀態嗎
--","https://reurl.cc/5RpOaV"
"Re: [新聞] 綠白有望和解？陳昭姿列「3條件」喊話民","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753633539.A.BBE.html","24.0","","現在還在講綠白和解的人
完全是狀況外
白是不可能跟綠合作的，連我這個藍營的，用屁股想都知道
會講這些話的，不是壞就是蠢；不是那種傷害過人裝沒事的，就是完全沒待過任何一個網路
論壇
綠營除了把CF雞鴨之外
大罷免前，被綠營側翼霸凌最多的就是小草這個族群
像是青鳥常常做一些梗圖醜化小草
https://i.imgur.com/yCWX7jZ.png
暗指小草煉銅、暗指小草是魯蛇
（可是白營不是蠻多竹科工程師的？台派嬉皮有臉做這種圖？）
連我這個藍營跟青鳥辯論時，都被說是小草，並用一大堆醜化詞攻擊了
從青鳥遊行後將近一年的時間
小草都被綠營青鳥在網路上出征、調侃
直到現在，政黑板都還在嘴小草
你要我相信，白營的會想和綠營合作 XD
以前青鳥一直跟我說
綠才是多數民意
大罷免後才後知後覺發現藍白加起來60 %
簡直是傻屌
現在才想要討好
真的超好笑  XD
--
https://www.ptt.cc/bbs/Gossiping/M.1753633539.A.BBE.html
或許33想要跟綠營合作，我不知道
但是不是贏家，還真是取決於選民
跟大不大聲，或是檯面上是誰無關
這次罷免案就證明了這點
哇 白營那麼容易放下仇恨嗎？
要確耶？
被霸凌多久了
我信你s大
光靠國民黨已不行
黃埔鐵票已經流逝了
藍白合才可以跟民進黨ㄧ搏
綠的可以繼續囂張啊
反正你們抱持著這種心態，就是會繼續輸給藍白，大罷免大失敗證明了這個觀點
真正的中間選民可能只佔不到1 % 你無法籠絡白營20 %的票，就是輸
以前白營可能還會被抗中保台影響，你綠營現在直接把人家刀了
簡直是給我們藍營還有喘息的一口氣","https://i.imgur.com/yCWX7jZ.png|https://www.ptt.cc/bbs/Gossiping/M.1753633539.A.BBE.html"
"Re: [爆卦] 台南市長指責yter災後影片造謠","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753633598.A.B23.html","35.0","","老實說這就是花蓮跟台南最大差別
花蓮王雖然在外風評不好
但是回到花蓮他就是專心在弄基建跟觀光
花蓮王吃肉會帶著全花蓮人一起不會獨食
另外花蓮面對颱風地震會少嗎？
但人家第一時間就是會幫在地居民處理
另外他們夫妻其實很照顧花蓮的弱勢團體
這次花蓮有三個村一張同意票都沒有開出來掛零
全村沒有一個人投同意你就知道民心了
--",""
"[問卦]街頭民調：一億元與清華大學入學通知 選哪","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753634588.A.DCC.html","26.0","","街頭民調：如果給你一億元與給你正式清華大學入學通知書 你會選哪?
民眾一面倒選清華大學入學通知書
說是一億元總有花光的一天  但有清華大學畢業證書則是富貴不盡
大家怎麼看?
https://www.youtube.com/shorts/CkudnkgVK38
--","https://www.youtube.com/shorts/CkudnkgVK38"
"[問卦] 脆：大罷免沒過 全家要去中國捐血留檔","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753633122.A.E42.html","27.0","","台女威脅家人，大罷免沒過全家要去中國捐血留檔（國有器官）；一系列的威脅情勒都是
為了他們好！
https://i.imgur.com/LSdLv8i.jpeg
https://i.imgur.com/2c2lnYH.jpeg
https://i.imgur.com/ABHdPdC.jpeg
https://www.threads.com/@foiiow1242/post/DMko08Jvy_O?
很難過，大罷免沒過，我家深藍的二老一直在崩潰。
有些人會很好奇，深藍崩潰什麼呢？
原因是我家大哥大嫂是是台派，在投票前一天就直接跟我家二老攤牌，如果罷免沒過，就
直接帶大哥全家（還有兩個小姪女）去中國捐血留檔，未來如果被中國統治，他們就是第
一批國有器官。
二老氣的要死，今天早上ㄧ出門就去投票了。
我也不知道他們投什麼票，反正大罷免沒過，大哥大嫂已經開始收拾行李了。
二老看到新聞就衝去大哥家，晚餐時間才從大哥家裡回來，一直在說大哥不孝，大嫂是毒
婦，想要害他們孫子。
我沒結婚，一直跟二老住一起，晚上吃飯的時候，也跟他們說我會跟大哥他們一起去。
那時他們看我的眼神我想我一輩子都會記得。
ps.我跟大哥一家沒有真的要去中國啦，就只是去日本放鬆一下，緩解一下大罷免失敗的
心情。
如果大罷免成功了，或許我還能放任他們，讓他們在幻想裡活一輩子，但大罷免失敗了，
他們需要也必須認知到風險，因為他們信任的政治人物打算將他們推向中國，不認清現實
，不做好準備。放任他們沉溺在幻想，這才是對家人的不負責。
--
我也不知道他們腦迴路構造怎樣
就很震驚
本肥剛看到也很震驚
結果是去日本玩
沒錯","https://i.imgur.com/LSdLv8i.jpeg|https://i.imgur.com/2c2lnYH.jpeg|https://i.imgur.com/ABHdPdC.jpeg|https://www.threads.com/@foiiow1242/post/DMko08Jvy_O?"
"[問卦] 志祺七七會怎麼拍台南受災的影片","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753633343.A.0A7.html","24.0","","如題
這次南部災情大家應該多少都知道一點
假如現在讓志祺七七來拍台南風災的分析影片
志祺七七會怎麼拍
有沒有八卦
--",""
"[新聞] 網傳林錫耀疑「喬」檢察人事 台高檢今火","7/27","https://www.ptt.cc/bbs/Gossiping/M.1753631977.A.5CD.html","25.0","","1.媒體來源:
中時新聞網
2.記者署名:
陳志賢
網傳林錫耀疑「喬」檢察人事 台高檢今火速分案
4.完整新聞內文:
726罷免投票前夕，網路社群23日從「dark論壇」流出疑似前民進黨祕書長林錫耀透過
Telegram與前法務部長蔡清祥、時任國安會諮詢委員陳俊麟討論檢察高層人事的對話紀錄
。法務部24日請台灣高等檢察署進行了解。台灣高檢署25日已分「調字案」，指派主任檢
察官進行了解。
對此，林錫耀24日發出聲明表示，該篇內容以拼湊、偽造部分對話內容形式，炮製不實資
訊，並精準藉他出國期間不易即時回應、澄清之時機，傳散相關虛假敘事操作輿論，意圖
干擾即將進行之民主投票活動。他已委託律師檢證相關資訊，逕向治安單位進行告訴，全
力訴追不法。
Threads近日轉載「dark論壇」林錫耀的檔案，至少有9個檔名，包括法務部政務次長徐錫
祥、台北地檢署檢察長王俊力、廉政署副署長林炤宏、調查局官員邱享坤等人。
其中，2021年10月21日林錫耀、陳俊麟傳訊時提到「有關調查局長的事麻煩有空來電」、
「文燦答應要去說服他」、「初步回報，文燦已經和他約好明天見面，聽口氣應該很樂觀
。」2021年11月4日，陳俊麟傳訊「錫耀，忘了跟你說，王（指時任桃檢檢察長王俊力）
的人事都OK了。老闆昨天跟蘇（指時任行政院長蘇貞昌）說了，蘇今天就面見王了。我已
經請蔡（指時任法務部長蔡清祥）啟動人事作業。下周安排老闆見他。」
王俊力當時是桃園地檢署檢察長，2021年11月15日上任調查局長，目前王是北檢檢察長。
5.完整新聞連結 (或短網址)不可用YAHOO、LINE、MSN等轉載媒體:
https://www.chinatimes.com/realtimenews/20250725002929-260402?chdtv
6.備註:
--","https://www.chinatimes.com/realtimenews/20250725002929-260402?chdtv"
"[新聞] 大支嗆五月天惹議！　周杰倫昔轟「社會敗","7/27","https://www.ptt.cc/bbs/Gossiping/M.1753631285.A.F9E.html","36.0","","大支嗆五月天惹議！　周杰倫昔轟「社會敗類」：欠教訓
2025/07/27 20:13
娛樂中心／楊惟甯報導
https://star.setn.com/news/1694057?utm_source=facebook&utm_medium=ent&utm_campaign=420
饒舌歌手大支近日推出新單曲〈辣的〉，卻在歌詞中點名五月天及其所屬的「相信音樂」
，引發廣大五迷不滿。爭議發酵後，網友也隨即翻出他過去多次開嗆藝人的紀錄，包括曾
批評蔡依林、方文山、侯佩岑等人，甚至遭周杰倫怒斥為「社會敗類」，直言這種人就是
欠教訓。
大支〈辣的〉找來閩南狼與楊舒雅合唱，其中一句：「相信音樂，屁，笑話，我看是相信
草紙」，引發極大的爭議。由於在字幕翻譯的地方，「草紙」被標註為「RMB」，暗指五
月天赴中國演出「賺紅錢」，影射相信音樂「向人民幣低頭」，引爆大批五迷怒火，湧入
大支社群留言砲轟：「憑什麼拿政府補助酸別人？」、「浪費納稅人的錢給你們出這種沒
水準的歌」、「拿政府補助嗆在野黨，順便歌詞酸一下同業，人家辦一路向東演唱會幫助
災區吸引人潮，你只會寫歌酸人家」。
大支〈辣的〉歌詞暗諷五月天和相信音樂。（圖／翻攝自YT）
▼▲大支〈辣的〉歌詞暗諷五月天和相信音樂。（圖／翻攝自YT）
大支〈辣的〉歌詞暗諷五月天和相信音樂。（圖／翻攝自YT）
事實上，大支的爭議不只這一樁！過去他就曾公開批評蔡依林的歌「聽不下去」，更在
2009年質疑由周杰倫作曲、方文山填詞的〈上海1943〉「上網查資料就能寫」，並酸方文
山的詞「根本沒靈魂」。不僅如此，大支甚至曾寫歌諷刺周杰倫的某段感情「整天說屌也
都只是說說，原來沒用過」，徹底惹怒周杰倫，除了批評他對女性極度不尊重，也在記者
會公然砲轟大支是個瞎咖、社會敗類，「這種人就是欠教訓。批評這麼多歌手，卻沒人攻
擊他，需要有人出來教訓一下。」
而針對此次新歌爭議，相信音樂至今未回應；五月天主唱阿信26日則在社群平台貼出多張
在雨中唱歌的照片，寫下：「如果說青春是一場突如其來的大雨，那我最珍惜的是，在那
場大雨之後始終不曾離去的你們。雨會不會停呢？管他的，反正你們都會在。五月天不只
是怪獸、石頭、瑪莎、冠佑，因為有了你們，我們才是五月天！」周杰倫則默默現身按讚
，似乎是在用自己的方式為好友聲援。
周杰倫按讚挺好友。（圖／翻攝自阿信IG）
▲周杰倫按讚挺好友。（圖／翻攝自阿信IG）
也有五迷整理出五月天多年來低調投身公益的紀錄。據統計，他們歷年來在台灣各項賑災
與兒童教育上，累計捐款已突破億元。近期丹娜絲颱風重創中南部，五月天與相信音樂也
悄悄捐出900萬元，用於嘉義、台南、雲林等受災學校的修繕與重建。
此外，五月天2012與2013年分別捐出1800萬元與2700萬元給台灣兒童暨家庭扶助基金會；
2014年更為高雄氣爆封街義唱，捐出總額達5700萬元，其中1000萬元捐給高雄氣爆專戶。
2023年花蓮0403強震後，他們即刻捐出500萬元賑災，並捐出100萬元支持由周思齊創立的
球芽基金，投入青棒發展。
五迷指出，每逢重大災情，五月天及相信音樂總是不遺餘力地貢獻心力；反觀大支，至今
未見任何具體捐款或參與救災的紀錄，卻領著補助創作，透過歌詞攻擊同行、影射他人，
不僅格局偏狹，也讓人質疑，是否有足夠的道德高度來指責他人。
--","https://star.setn.com/news/1694057?utm_source=facebook&utm_medium=ent&utm_campaign=420"
"[問卦] 台南2026會醒悟了嗎？","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753636623.A.663.html","77.0","","台南現在
就是爹不疼娘不愛
帆布蓋了快一個月還叫你爬屋頂
不過拍了一個影片也被說是批鬥
這簡直是被虐到一個極致
那麼
明年的台南會不會醒悟？
有沒有八卦？
-----
Sent from JPTT on my iPhone
--",""
