"title","date","link","nrec"
"[問卦] 雨好大台南溪北老人現在在想什麼？","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753637509.A.4EA.html","2"
"Re: [問卦] 台南2026會醒悟了嗎？","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753637533.A.BA4.html",""
"[爆卦] 南華早報：美中關稅有望再延長90天","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753637547.A.5EC.html","3"
"[問卦] 脆最新風向球：公投造成內耗浪費資源！","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753637568.A.30E.html","6"
"[公告] 八卦板板規(2025.01.21)","1/21","https://www.ptt.cc/bbs/Gossiping/M.1737398137.A.644.html","2"
"[公告] 【八卦金曲獎】一曲封神，全員高能爆燈！","6/23","https://www.ptt.cc/bbs/Gossiping/M.1750650751.A.E4B.html","7"
"Fw: [公告] 徵文主題-菸害防制法修法與言論自由(發錢推廣)","7/14","https://www.ptt.cc/bbs/Gossiping/M.1752478690.A.FCA.html","91"
"[新聞] 丹娜絲災後21天 台南學甲區仍持續沒網路","7/27","https://www.ptt.cc/bbs/Gossiping/M.1753595102.A.562.html","爆"
"[問卦] 館長為何突然轉變這麼大???","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753635871.A.FCA.html","16"
"Re: [問卦] 又要雨炸一週了，帆布撐得住嗎？","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753635927.A.172.html","4"
"Re: [爆卦] 台南市長指責yter災後影片造謠","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753635937.A.D0A.html","5"
"[問卦] 為什麼這次風災這麼低調?","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753636098.A.CDC.html",""
"Re: [新聞] 曹興誠823不玩了！黃揚明諷「又半途而","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753636124.A.BD7.html","5"
"Re: [問卦] 志祺最新影片：中共掌握台灣黑幫","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753636202.A.699.html","1"
"Re: [爆卦] 台南市長指責yter災後影片造謠","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753636260.A.EA8.html","7"
"[新聞] 世大運》5金13銀7銅作收 鄭世忠給台灣新世代打85分","7/28","https://www.ptt.cc/bbs/Gossiping/M.1753636401.A.3BE.html","8"
