"title","date","link","nrec"
"[閒聊] 你們出租房子都有公證嗎？","7/27","https://www.ptt.cc/bbs/home-sale/M.1753605379.A.7A9.html","40.0"
"[閒聊] 楊金龍的35%人禍可以載入台灣史冊？？","7/27","https://www.ptt.cc/bbs/home-sale/M.1753611670.A.037.html","58.0"
"[閒聊] 這陣子是根本買不了房吧","7/27","https://www.ptt.cc/bbs/home-sale/M.1753629020.A.7AB.html","13.0"
"[請益] 台灣政府到底有沒有保障住房？","7/27","https://www.ptt.cc/bbs/home-sale/M.1753630447.A.AA6.html","14.0"
"[請益] 房版是不是都喜歡別人跟自己做一樣的事","7/26","https://www.ptt.cc/bbs/home-sale/M.1753534479.A.E6C.html","17.0"
"[請益]為什麼房價跌資產縮水大家沒工作台灣完蛋?","7/26","https://www.ptt.cc/bbs/home-sale/M.1753539604.A.593.html","39.0"
"Re: [閒聊] 選完了 楊金龍的獨步全球35%規定會改？","7/26","https://www.ptt.cc/bbs/home-sale/M.1753542692.A.397.html","50.0"
"Re: [閒聊] 選完了 楊金龍的獨步全球35%規定會改？","7/27","https://www.ptt.cc/bbs/home-sale/M.1753545813.A.173.html","26.0"
"[請益] 租社宅的有什麼底氣嗆自住的？","7/27","https://www.ptt.cc/bbs/home-sale/M.1753551400.A.FD1.html","24.0"
"Re: [請益] 桃園草漯其實沒有那麼糟？","7/27","https://www.ptt.cc/bbs/home-sale/M.1753559048.A.CDB.html","15.0"
"Re: [請益]為什麼房價跌資產縮水大家沒工作台灣完蛋?","7/27","https://www.ptt.cc/bbs/home-sale/M.1753576280.A.168.html","22.0"
"[新聞] 上半年新北預售房價竟仍漲兩成 房仲：購","7/27","https://www.ptt.cc/bbs/home-sale/M.1753577233.A.D5A.html","11.0"
"[閒聊] 2024台灣人每個家庭資產平均多了430萬","7/27","https://www.ptt.cc/bbs/home-sale/M.1753587599.A.08D.html","39.0"
"Re: [請益]為什麼房價跌資產縮水大家沒工作台灣完蛋?","7/27","https://www.ptt.cc/bbs/home-sale/M.1753589108.A.E0C.html","24.0"
"[請益] 社區鬧鬼主委說要請得道高僧","7/27","https://www.ptt.cc/bbs/home-sale/M.1753589737.A.197.html","100.0"
"Re: [請益]為什麼房價跌資產縮水大家沒工作台灣完蛋?","7/27","https://www.ptt.cc/bbs/home-sale/M.1753594226.A.26D.html","12.0"
"[新聞] 買房壓力大!年收200萬存款500萬族群仍猶","7/27","https://www.ptt.cc/bbs/home-sale/M.1753598522.A.13B.html","26.0"
"[心得]29yrs文組首購畢業文，後悔了...","7/26","https://www.ptt.cc/bbs/home-sale/M.1753504937.A.BD2.html","45.0"
"[閒聊] 買房跟基金的比較","7/26","https://www.ptt.cc/bbs/home-sale/M.1753507983.A.5FC.html","34.0"
"[賣/新北/板橋] 河景大宅111年價格可惜 近平轉","7/26","https://www.ptt.cc/bbs/home-sale/M.1753508788.A.7A9.html","12.0"
"Re: [請益] 桃園草漯其實沒有那麼糟？","7/26","https://www.ptt.cc/bbs/home-sale/M.1753513059.A.D96.html","12.0"
"[閒聊] 選完了 楊金龍的獨步全球35%規定會改？","7/26","https://www.ptt.cc/bbs/home-sale/M.1753520931.A.843.html","96.0"
"[請益] 選完了 會好好建設中部了嗎?","7/26","https://www.ptt.cc/bbs/home-sale/M.1753522992.A.6DD.html","42.0"
"[閒聊] 嘉南高屏有科學園區的地方是不是穩了","7/26","https://www.ptt.cc/bbs/home-sale/M.1753527923.A.371.html","26.0"
"[賣/新北/新莊] 摘下中央星鑽親手送給您誠請饗饗","7/26","https://www.ptt.cc/bbs/home-sale/M.1753532073.A.948.html","27.0"
"[情報] 慟！青埔一坪竟然8字頭了？","7/26","https://www.ptt.cc/bbs/home-sale/M.1753533572.A.897.html","61.0"
"[請益] 不知道該不該整間出租還是當共生宅分租","7/25","https://www.ptt.cc/bbs/home-sale/M.1753428662.A.883.html","100.0"
"[新聞] 房價失速!高雄捷運紅線14站 周邊房價全","7/25","https://www.ptt.cc/bbs/home-sale/M.1753430917.A.531.html","58.0"
"Re: [心得] 房板Ceca的投資謬論大解析（下）","7/25","https://www.ptt.cc/bbs/home-sale/M.1753435519.A.230.html","86.0"
"Re: [心得] 近期貸款狀況分享","7/25","https://www.ptt.cc/bbs/home-sale/M.1753438362.A.52F.html","38.0"
"Re: [請益] 不知道該不該整間出租還是當共生宅分租","7/25","https://www.ptt.cc/bbs/home-sale/M.1753440946.A.0BC.html","14.0"
"[閒聊] 2025年06月全國買賣移轉棟數","7/25","https://www.ptt.cc/bbs/home-sale/M.1753453725.A.DAC.html","25.0"
"[閒聊] 出社會10年看房價的心境","7/26","https://www.ptt.cc/bbs/home-sale/M.1753486804.A.C98.html","100.0"
"[買//] 新北新店、台北南港內湖木柵","7/26","https://www.ptt.cc/bbs/home-sale/M.1753486894.A.68E.html","11.0"
"[請益] 現在第二房不能轉增貸嗎","7/26","https://www.ptt.cc/bbs/home-sale/M.1753497772.A.A1A.html","13.0"
"Re: [閒聊] 出社會10年看房價的心境","7/26","https://www.ptt.cc/bbs/home-sale/M.1753499118.A.3F4.html","30.0"
"Re: [新聞] 竹北市第一公墓今起宣布禁葬","7/25","https://www.ptt.cc/bbs/home-sale/M.1753412281.A.163.html","35.0"
"Re: [閒聊] 炒房是經濟毒瘤","7/25","https://www.ptt.cc/bbs/home-sale/M.1753412951.A.065.html","12.0"
"[賣/新北/新莊] 傳家尊爵捷運河景宅四房誠請饗饗","7/25","https://www.ptt.cc/bbs/home-sale/M.1753413158.A.A34.html","10.0"
"Re: [新聞] 社宅住9年到期！林口男找屋壓力大跳樓","7/25","https://www.ptt.cc/bbs/home-sale/M.1753414841.A.AB4.html","18.0"
"[新聞] 酷炫報考房仲筆試「錄取率9成」差1分落榜","7/25","https://www.ptt.cc/bbs/home-sale/M.1753417144.A.42E.html","20.0"
"[閒聊] 桃園青埔區內弄9個捷運站是怎樣？","7/25","https://www.ptt.cc/bbs/home-sale/M.1753417632.A.23F.html","38.0"
"Re: [閒聊] 炒房是經濟毒瘤","7/25","https://www.ptt.cc/bbs/home-sale/M.1753418205.A.B81.html","15.0"
"[賣/桃園/桃園] 中路丰格★稀有禪風頂樓大露台戶","7/25","https://www.ptt.cc/bbs/home-sale/M.1753421366.A.FED.html","10.0"
"[請益] 為什麼國軍荒廢宿舍不拿出來改建？","7/24","https://www.ptt.cc/bbs/home-sale/M.1753357294.A.742.html","11.0"
