"title","date","link","nrec","source","content","urls"
"[閒聊] 你們出租房子都有公證嗎？","7/27","https://www.ptt.cc/bbs/home-sale/M.1753605379.A.7A9.html","40.0","","二狗以前在屏東念書的時候，都是租約寫一寫
押金和第一個月房租繳一繳就好了。
去年住東海別墅，租屋代管的小姐問我在哪工作？我說沒工作之後
也是租約寫一寫，押金和房租轉帳給她看之後，就立馬入住了
沒有要求良民證，也沒有花錢去公證。
上個月出租房子才第一次去公證。
版上阿土伯們出租房子都有去公證嗎？
--",""
"[閒聊] 楊金龍的35%人禍可以載入台灣史冊？？","7/27","https://www.ptt.cc/bbs/home-sale/M.1753611670.A.037.html","58.0","","理性討論
講什麼72-2的無腦別來亂 現在是銀行有錢
72-2沒問題 是楊金龍自創獨步全球的35%防線
讓銀行放款額度拿來當稀缺品
挑客戶放不然高利率或是買產品 這個連首購都吃到
有朋友首購最近貸款就是要買產品
這個35%防線完全沒有依據
當天宣布隔天生效朔及既往
搭配之前新青安一堆人買房以後
這麼多人交屋要貸款
又來給你設立個35%防線
這樣能穩定金融？？
然後重點是要求銀行要多放款容易跳票的企業個人貸款 有抵押違約率低的房貸反而限定上限
這樣能穩定金融？？
楊金龍新青安最熱的時候不開限制
等到市場冷盤 流動率比16年低點還腰斬時候
不是想增加流動率
反而喪心病狂繼續要求銀行嚴格執行35%防線
房地產不只第一線仲介代銷
連周邊相關產業什麼裝潢木地板設計師家具家電
如果按照今年的流動率
他們業績不要講是去年的剩兩三成
比16年歷史低點還腰斬 這樣的市場健康？
這樣能穩定經濟？？內需市場各行各業沒影響？？
這一套絲滑連招不要講是總裁 我還以為是將軍
新青安誘敵深入然後限貸關門放狗把買房的一次殲滅
根本是在殲滅房蟲吧
若干年後 人們想起彭淮南會比大拇指說聲讚
若干年後 人們想起楊金龍會比中指說聲幹
楊金龍這次人禍
足夠載入史冊把他自己釘上恥辱柱嗎？
-----
Sent from JPTT on my iPhone
--",""
"[請益]為什麼房價跌資產縮水大家沒工作台灣完蛋?","7/26","https://www.ptt.cc/bbs/home-sale/M.1753539604.A.593.html","39.0","","純討論經濟學 並非看空看多
請教專業的經濟學大神
為什麼房價跌好像百業蕭條 台灣完蛋
先討論房價如果再漲兩倍
人民所付出的居住成本會上升兩倍 當然房仲 裝潢 代書房地產相關也會跟著受惠
非房地產的就必須提高自己的薪資 才能獲得居住空間
引發的就是更嚴峻的少子化 畢竟居住空間需求來自於人
年輕人結婚還是希望能自己住 甚至有好的自住環境才會想結婚生子
政府簡單把限制拉掉 房貸利率回到2% 首購8成,二屋7成, 房地合一稅取消
房價馬上就繼續衝了
------
相反如果房價跌, 那人民居住成本變低 多出來的錢有一部分就可以拿出來消費
因房子而產生的低結婚率 低生育率也能得到減緩. (有多餘的錢買保母顧小孩)
幸福指數應該會上升
======
現實層面是 台灣選票不希望房價跌, 這點倒是覺得意外 抗議房價高的人這麼多
選票似乎相反 這是甚麼奇怪的社會現象, 難道只是少部分人持續抗議
大多數人都希望房價持續漲嗎? (只有兩間房以下的 房價漲也不能幹嘛..)
未來小孩要買房時 會根本買不起
不過既然是事實就表示台灣人民希望房價持續漲的占多數
靠杯房價過高的只是少數罷了
--",""
"Re: [閒聊] 選完了 楊金龍的獨步全球35%規定會改？","7/26","https://www.ptt.cc/bbs/home-sale/M.1753542692.A.397.html","50.0","","金龍最大的問題
是信用管制都是立即實施/自己發明35%/台匯慘案
1.信用管制立即實施，很多第二戶的一定心裡直罵娘，簽約的時候可以貸8成，等到對保
剩5成，還可能被婉拒
2.自己發明35%，讓銀行排撥排半年，公股還延伸解釋，把收支比越調越嚴格，很多換屋
族都陷入排撥之亂
3.台匯慘案，讓出口商賠到脫褲，還有美債ETF、美元定存、美元保單、壽險，全部咪咪
冒冒
當然啦，金龍鍋不小
但是從大局看
就是綠色黨吃了9年親美紅利，又遇到去年藍白分裂，才可以那麼爽，現在川普不給糖吃
了，執政黨又做了一大堆蠢操作
我說實話，討厭一個政府的原因百百種，擋人財路如殺人父母，信用管制立即實施、限貸
、台匯慘案、不普發一萬，都會讓被影響到的恨死執政黨，金龍跟卓榮泰鍋不小啊，講白
話一點，去切腹啦，乾
--
用什麼當神主牌我沒意見，只是早晚要還的，親美紅利吃完了，就是乖乖下台
我國是總統制，賴還可以皮皮到2028，如果內閣制早就滾蛋了
學美國總統制會更慘吧，賴可能學川普發佈國家緊急狀態亂搞了
賴還跑出來放火XD
超級限貸可能賴有機會成為中華民國史上第一個提前下台的總統
看起來是鶄崩潰吧，我今天很爽啊XD
是啊，掉票也是立即掉票，沒事啦
你慢慢噓，現實風向就不是這樣
換屋族排撥半年最有利，笑死，你沒參與市場吧XD
沒關係就繼續這樣XD
你仔細想想35%是什麼，是72-2嗎？
做對了，做到大失敗，沒錯做對了",""
"Re: [閒聊] 選完了 楊金龍的獨步全球35%規定會改？","7/27","https://www.ptt.cc/bbs/home-sale/M.1753545813.A.173.html","26.0","","我覺得不用改
去槓桿化才是王道，現在這樣慢慢去槓桿慢慢療傷就好了
房地產槓桿化只會一直推升價格
諸如40年房貸擴大成50年房貸都會進一步推升價格
這是萬萬不行的，如果可以把房貸年限慢慢縮回常軌20年
那個房價應該會更健康一點。
--",""
"[請益] 租社宅的有什麼底氣嗆自住的？","7/27","https://www.ptt.cc/bbs/home-sale/M.1753551400.A.FD1.html","24.0","","要抽社宅的條件那麼嚴苛
只有收入夠低的人才有資格
而且還不能有不動產
所以可想而知裡面的住民大部分都是低薪且沒什麼資產
可是這樣的人為什麼有資格在房版嗆自住的？
像是jonson就在嗆房價不會漲了 要忍3年後還要忍無數個四年
但問題是就算房價不漲了
買得起自住房的人累積資產的速度還是比住社宅的快不是
更何況房屋增貸還可以拿來投資
怎樣都比住社宅強吧
為什麼住社宅都可以住出優越感來？
有沒有能住社宅的人幫我分析一下
--",""
"Re: [請益]為什麼房價跌資產縮水大家沒工作台灣完蛋?","7/27","https://www.ptt.cc/bbs/home-sale/M.1753576280.A.168.html","22.0","","因為一堆菜鳥啥都不懂,倒果為因!
房價是經濟的結果,不是原因
是先經濟繁榮才有房價上漲,或者是先有百業蕭條,才來房價下跌
當然不可能,沒有經濟的支持,再怎麼搞金融政策,房價也不可能暴衝
看中國最清楚了
之前中國基建狂魔,吸納全球投資,每年出台四次""最嚴宏觀調控""! 沒用,房價刷刷刷往上漲
現在國進民退,產業轉型造成很多結構性失業,以前各種宏觀調控禁購方案慢慢退場! 沒用,二三線鬼城城市一路崩盤
所以為甚麼人民喜歡房價漲? 廢話因為經濟成長啊,誰喜歡經濟倒退?
你的問題頂多換成:有甚麼辦法在經濟成長的同時,讓房價不上漲?
老實說我想不到有什麼好方法,要經濟成長就要市場自由化,市場化房價就一定漲,沒有例外
唯一勉強可以拿出來當範例的大概就新加坡組屋制度,但是那個制度需要(幾十年的)長期規劃,只有在新加坡這個特殊政體有成功過一次,沒有其他成功案例了
房價高漲,包括貧富差距是資本主義的副產品,只要在資本主義的架構下,貧富差距是核心矛盾,解決不了的
資本主義是來解決效率問題,如果想解決分配問題需要馬克思主義,因為就連歐洲這麼左的福利國制度都解決不了首都圈高房價問題
不過人類在19世紀對馬克思主義的大型社會實驗的結果,無一例外都養成了獨裁極權政體!
--
不需要考慮這個,因為新加坡組屋制度有很多前提條件,能不能復刻還是其次
最重要的是""只有成功過一次"",勝率實在太低了!",""
"[閒聊] 2024台灣人每個家庭資產平均多了430萬","7/27","https://www.ptt.cc/bbs/home-sale/M.1753587599.A.08D.html","39.0","","來一篇讓某些族群會崩潰的睾丸文
2024 年，不是你不努力，是你沒資產。
對有工作、有股票、有房的人來說，這一年什麼都不用幹，資產就自己往上衝，整整多了
快 430萬。而你，還在月光、租屋、看網友罵政府發洩。
先講最基本的——薪水。政府說2024年平均月薪突破 6 萬，雙薪家庭呢？薪資收入一年
就是150萬。
再來看股票。台股2024年大噴，漲了 28%。平均每個投資人帳面獲利 130 萬元。對，有
買就賺，有放就飛。別人股票賺一台車，我還在等三倍券，嗚嗚。
最後是最毒的——房子。全台平均房價漲超過一成，一戶房子光是存在那裡，就多了 150
萬身價。你在那邊算租金划不划算，人家一晚睡醒多賺五千塊。
總結一下：如果你是雙薪、有房、有股的家庭，2024 一年，資產帳面上直接膨脹了將近4
30 萬(150+130+150)。什麼都沒做，就多出你十年的薪水。
而某族群呢？
還在等房價跌。
醒醒，這年頭不是不公平，是不演了。
展望未來:
台灣的未來，很殘酷也很現實。
AI 需求正以瘋狂的速度爆發，台積電的製程領先全球超過五年，全球高階晶片幾乎都得
靠台灣來做。整個半導體產業鍊的核心壓在這塊島上，而台灣自有廠房、設備的比例，更
是全球最高。
聽起來很光榮，但副作用也來了：
貧富差距只會越拉越開。
那些掌握土地、資本、技術的人，會因為 AI 世代的紅利而更快變有錢。而沒有資產的人
，就算薪水多個幾千塊，也根本追不上資產暴衝的速度。
2024年一戶家庭一年資產增加三百萬，已經算很扯了；但未來，很可能會變成基本盤，變
成「不這樣你就是落後」的門檻。
430萬，不再是上層資產階級的代表，而是新的中位數。
這，就是現實。
--
看不下去的，都建議去國外當外勞
沒發現我股票收入只算一個人嗎，吃喝花費和另一人的個股票收入可以打平，精算下去我
怕社會會暴動ㄚ
台灣爛頭寸淹靈蓋骨，直接增貸掛4繼續投資ㄚ，何必要賣?
430萬只算一間房的漲幅，已經盡量少算了，不然我怕會引爆革命，推翻資本",""
"Re: [請益]為什麼房價跌資產縮水大家沒工作台灣完蛋?","7/27","https://www.ptt.cc/bbs/home-sale/M.1753589108.A.E0C.html","24.0","","如果你真的有細看新加坡組屋制度
你應該不會覺得這是成功政策
相反這實際上是話術包裝的
財政管控工具
目的是剝削勞工終身勞動力
就新加坡這種獨裁國家
才可能執行的下去
第一點要釐清的
購買組屋你沒有永久產權
只有99年地上物使用權
隨著使用剩餘時限縮短
價格相較市場中年限較長同類產品不佳
如果你真使用到30、40年
多的是到退休年齡發現
這間房子賣掉
還還不起當初從CFP帳戶借出費用支應
CFP轉RA賬戶也湊不足FRS標準
月退休金不夠
然後鼻子摸一摸
繼續工作還錢
美其名新加坡人熱愛工作
銀髮勞參率冠絕前列
說的很好聽
購買組屋可以使用CFP帳戶中金額
人民可以輕鬆輕鬆
沒跟你說的是當你55歲
準備要退休
CFP帳戶轉RA退休金賬戶
幹，CFP帳戶被你借光光沒錢怎麼辦
你一定想說說房子賣掉
不就還的上了
對不起
你想還錢回CFP,是得加計利息的
(現在這個利息趴數是2.5%)
30年大概得多繳回40%
拿你25萬新幣買的房子
還就得還35萬新幣
萬一賣的時候賣不到35萬新幣
產生跌價怎麼辦？？
自己掏錢補啊XDDD
就這樣，那房子過程中還不是你的
更諷刺的是
你知道
如果你當時不從CFP中借走去買組屋
CFP帳戶要給你利息的嗎
給你利息 VS 你要加計利息還回去
一來一回你看差多少...
差額世界驚人...
給你2.5%+你還回去2.5%
有沒有很搞笑
你拿你自己的錢去買房
還回帳戶時還得自付利息
這錢還是你的嗎...
再來CFP中錢哪來的
每個月從月薪中扣款
月薪強制扣繳20%
這筆錢基本上鎖你一輩子
對啦，新加坡實質所得稅超低
那CFP不用算嗎...
你一定會想說
那房子拿到前期一有升值我就轉手
不要放到20、30年開始跌價才脫手
這樣不就不會虧
還能有一大筆錢投資？？
錯了
房子出售優先需償還回CFP(含利息)
你只能拿到差額...
你先想想這套制度套在台灣
會怎麼樣就好
月薪先扣20%鎖一輩子
房屋地上權
退休時要求退休金帳戶需自負足額
嗯
哪個傻逼想學
你就自己設帳戶照著他做法搞搞看
看你自己心中怎麼OS
這制度普通人
真的要打工打一輩子
永遠別想退休
我不騙你
-----
Sent from JPTT on my Xiaomi 23090RA98G.
--",""
"[請益] 社區鬧鬼主委說要請得道高僧","7/27","https://www.ptt.cc/bbs/home-sale/M.1753589737.A.197.html","100.0","","簡述就是最近社區一直傳出說有鬧鬼傳聞
前陣子有獨居年輕女在家中自殺
畫面蠻慘烈的.......聽鄰居說有似乎怨氣很重有刻意穿什麼衣服
後面這幾個月就有鄰居繪聲繪影說
半夜聽到敲擊聲各種光怪奇妙
沒法以科學角度去驗證的事
然後主委就開會說要請高僧來處理
兩派居民就開始吵了
一方不願意出錢，也不信有什麼神鬼這事
一方則是寧可信其有，覺得大家攤攤掉費用就算了
然後會上 主委跟某鄰居直接開幹
鄰居：你講那什麼瘋話，請什麼得道高僧要這麼高的費用
主委：你講什麼，你意思是說要請就有嗎？ 法力有到嗎？那是法力沒到又白忙一場勒
我自己拉 個人還私底下包6萬6要給師父，這條我有要大家攤嗎蛤
我也是為大家為社區好餒
後來又多一種聲音：隨便請一尊放中庭大家拜心安
想問問有人社區有發生過
同類似靈異事件後來怎麼處理的嗎
後面偷偷打聽到的
主委說誰不願意出錢，做法事時就說叫師父念說那幾戶不願出錢辦法會
你若暫時不願離去，還是怎麼的我們也是接受(指逝者)
但是有幾戶比較鐵的，你若有怨還是哪裡不高興請去找他們
還要在公佈欄寫，辦法會誰出誰沒出
後來旁人提點他，如此會個資法跟情勒
再來萬一後面真的有住戶家中出事，這可大可小
主委說我只是說氣一時跟你胡亂說話
ps鄰居提到一件事，說以前有新聞某大樓住戶死在水塔裡，住戶似乎喝洗用幾天屍水(?
後續？！
--
說是高僧團隊，不是一和尚擺張桌，然後香、紙錢燒一燒就完事的
這不能說
對",""
