"title","date","link","nrec"
"[閒聊] 你們出租房子都有公證嗎？","7/27","https://www.ptt.cc/bbs/home-sale/M.1753605379.A.7A9.html","40"
"Re: [新聞] 買房壓力大!年收200萬存款500萬族群仍猶","7/27","https://www.ptt.cc/bbs/home-sale/M.1753608543.A.D3C.html","2"
"[閒聊] 楊金龍的35%人禍可以載入台灣史冊？？","7/27","https://www.ptt.cc/bbs/home-sale/M.1753611670.A.037.html","58"
"Re: [請益] 社區鬧鬼主委說要請得道高僧","7/27","https://www.ptt.cc/bbs/home-sale/M.1753617219.A.800.html","9"
"[閒聊] 客廳不是越大越好？","7/27","https://www.ptt.cc/bbs/home-sale/M.1753618095.A.2A8.html","7"
"[賣/高雄/左營] 福山高鐵商圈三房超大平面車位","7/27","https://www.ptt.cc/bbs/home-sale/M.1753618103.A.18B.html",""
"[新聞] 擦邊4000萬豪宅線　嘉義房價飆54.9萬成","7/27","https://www.ptt.cc/bbs/home-sale/M.1753619163.A.655.html","7"
"[新聞] 台積帶旺嘉義房市 在地嘆:田中央單價近","7/27","https://www.ptt.cc/bbs/home-sale/M.1753621820.A.01C.html","6"
"[請益] 耐震補強","7/27","https://www.ptt.cc/bbs/home-sale/M.1753621887.A.CCB.html","6"
"Re: [閒聊] 客廳不是越大越好？","7/27","https://www.ptt.cc/bbs/home-sale/M.1753626468.A.925.html","1"
"[賣/台中/西屯] 12期dua逢甲精裝兩房雙衛浴車位","7/27","https://www.ptt.cc/bbs/home-sale/M.1753628787.A.D60.html",""
"[請益]三房電梯的傢俱家電配置. 全配vs全空?","7/27","https://www.ptt.cc/bbs/home-sale/M.1753628825.A.08A.html","5"
"[閒聊] 這陣子是根本買不了房吧","7/27","https://www.ptt.cc/bbs/home-sale/M.1753629020.A.7AB.html","13"
"[請益] 台灣政府到底有沒有保障住房？","7/27","https://www.ptt.cc/bbs/home-sale/M.1753630447.A.AA6.html","14"
"[請益] 停車位選擇請益","7/28","https://www.ptt.cc/bbs/home-sale/M.1753632380.A.6E4.html","1"
"Re: [請益] 台灣政府到底有沒有保障住房？","7/28","https://www.ptt.cc/bbs/home-sale/M.1753635566.A.5FD.html","2"
"[公告] 板務公約","12/17","https://www.ptt.cc/bbs/home-sale/M.1734427542.A.5DD.html","5"
"[公告] 2025.07月置底版務、檢舉文","7/01","https://www.ptt.cc/bbs/home-sale/M.1751330657.A.634.html","8"
"[請益] 7月水桶公告","7/01","https://www.ptt.cc/bbs/home-sale/M.1751330679.A.D8B.html","2"
"[請益] 房版是不是都喜歡別人跟自己做一樣的事","7/26","https://www.ptt.cc/bbs/home-sale/M.1753534479.A.E6C.html","17"
"[請益]為什麼房價跌資產縮水大家沒工作台灣完蛋?","7/26","https://www.ptt.cc/bbs/home-sale/M.1753539604.A.593.html","39"
"[賣/台南/永康]近永康火車站全聯3房電梯大樓","7/26","https://www.ptt.cc/bbs/home-sale/M.1753541845.A.220.html",""
"Re: [閒聊] 選完了 楊金龍的獨步全球35%規定會改？","7/26","https://www.ptt.cc/bbs/home-sale/M.1753542692.A.397.html","50"
"[閒聊] 先餵建商，後餵銀行，接下來的劇本會是","7/26","https://www.ptt.cc/bbs/home-sale/M.1753545447.A.080.html","5"
"Re: [閒聊] 選完了 楊金龍的獨步全球35%規定會改？","7/27","https://www.ptt.cc/bbs/home-sale/M.1753545813.A.173.html","26"
"[請益] 租社宅的有什麼底氣嗆自住的？","7/27","https://www.ptt.cc/bbs/home-sale/M.1753551400.A.FD1.html","24"
"Re: [請益] 桃園草漯其實沒有那麼糟？","7/27","https://www.ptt.cc/bbs/home-sale/M.1753559048.A.CDB.html","15"
"Re: [請益]為什麼房價跌資產縮水大家沒工作台灣完蛋?","7/27","https://www.ptt.cc/bbs/home-sale/M.1753576280.A.168.html","22"
"[新聞] 上半年新北預售房價竟仍漲兩成 房仲：購","7/27","https://www.ptt.cc/bbs/home-sale/M.1753577233.A.D5A.html","11"
"[賣/桃園市/中壢區]詠藏兩房平車學區機能商圈","7/27","https://www.ptt.cc/bbs/home-sale/M.1753584481.A.536.html",""
"[閒聊] 2024台灣人每個家庭資產平均多了430萬","7/27","https://www.ptt.cc/bbs/home-sale/M.1753587599.A.08D.html","39"
"Re: [請益]為什麼房價跌資產縮水大家沒工作台灣完蛋?","7/27","https://www.ptt.cc/bbs/home-sale/M.1753589108.A.E0C.html","24"
"[請益] 社區鬧鬼主委說要請得道高僧","7/27","https://www.ptt.cc/bbs/home-sale/M.1753589737.A.197.html","爆"
"Re: [請益]為什麼房價跌資產縮水大家沒工作台灣","7/27","https://www.ptt.cc/bbs/home-sale/M.1753592582.A.F74.html",""
"[賣/新竹/北區]1198萬近遠百西門國小三房平車戶","7/27","https://www.ptt.cc/bbs/home-sale/M.1753592671.A.77C.html",""
"[賣/台南/東區]德高邰欣70期全新平車三房~1568萬","7/27","https://www.ptt.cc/bbs/home-sale/M.1753593214.A.2D5.html","2"
"Re: [請益]為什麼房價跌資產縮水大家沒工作台灣完蛋?","7/27","https://www.ptt.cc/bbs/home-sale/M.1753594226.A.26D.html","12"
"[新聞] 買房壓力大!年收200萬存款500萬族群仍猶","7/27","https://www.ptt.cc/bbs/home-sale/M.1753598522.A.13B.html","26"
"[新聞] 不是住不起、是根本沒地方住?台北最小基","7/26","https://www.ptt.cc/bbs/home-sale/M.1753499546.A.F5C.html","5"
"[請益] 該如何抉擇?","7/26","https://www.ptt.cc/bbs/home-sale/M.1753501876.A.D21.html","8"
"[賣/桃園/桃園]經國低總價，鴻築麗苑兩房雙衛浴","7/26","https://www.ptt.cc/bbs/home-sale/M.1753502448.A.85D.html","1"
"[心得]29yrs文組首購畢業文，後悔了...","7/26","https://www.ptt.cc/bbs/home-sale/M.1753504937.A.BD2.html","45"
"Re: [新聞] 東京千代田區買房要5年限售了？","7/26","https://www.ptt.cc/bbs/home-sale/M.1753506785.A.190.html","6"
"Re: [閒聊] 出社會10年看房價的心境","7/26","https://www.ptt.cc/bbs/home-sale/M.1753506858.A.0B5.html","6"
"[閒聊] 買房跟基金的比較","7/26","https://www.ptt.cc/bbs/home-sale/M.1753507983.A.5FC.html","34"
"[賣/新北/板橋] 河景大宅111年價格可惜 近平轉","7/26","https://www.ptt.cc/bbs/home-sale/M.1753508788.A.7A9.html","12"
"Re: [請益] 桃園草漯其實沒有那麼糟？","7/26","https://www.ptt.cc/bbs/home-sale/M.1753513059.A.D96.html","12"
"[閒聊] 怎調適別人的G點是你的痛點","7/26","https://www.ptt.cc/bbs/home-sale/M.1753516293.A.04C.html","5"
"[賣/新竹/竹北] 華興重劃區中高樓三房平車","7/26","https://www.ptt.cc/bbs/home-sale/M.1753520707.A.CE1.html","1"
"[閒聊] 選完了 楊金龍的獨步全球35%規定會改？","7/26","https://www.ptt.cc/bbs/home-sale/M.1753520931.A.843.html","96"
"[請益] 選完了 會好好建設中部了嗎?","7/26","https://www.ptt.cc/bbs/home-sale/M.1753522992.A.6DD.html","42"
"[新聞] 業績變業障!房仲業最怕「致命一擊」在這","7/26","https://www.ptt.cc/bbs/home-sale/M.1753523423.A.F23.html","7"
"[閒聊] 大成功","7/26","https://www.ptt.cc/bbs/home-sale/M.1753524048.A.554.html","9"
"[閒聊] 大樹的售後服務是不是超棒的","7/26","https://www.ptt.cc/bbs/home-sale/M.1753526642.A.0B5.html","5"
"[閒聊] 嘉南高屏有科學園區的地方是不是穩了","7/26","https://www.ptt.cc/bbs/home-sale/M.1753527923.A.371.html","26"
"[賣/高雄/三民] 鼎中商圈熱市樓店1+2+夾+平車","7/26","https://www.ptt.cc/bbs/home-sale/M.1753528648.A.868.html",""
"[賣/新北/新莊] 摘下中央星鑽親手送給您誠請饗饗","7/26","https://www.ptt.cc/bbs/home-sale/M.1753532073.A.948.html","27"
"[情報] 慟！青埔一坪竟然8字頭了？","7/26","https://www.ptt.cc/bbs/home-sale/M.1753533572.A.897.html","61"
"[請益] 不知道該不該整間出租還是當共生宅分租","7/25","https://www.ptt.cc/bbs/home-sale/M.1753428662.A.883.html","爆"
"[新聞] 房價失速!高雄捷運紅線14站 周邊房價全","7/25","https://www.ptt.cc/bbs/home-sale/M.1753430917.A.531.html","58"
"[賣/桃園/蘆竹]上南崁安美大望-次頂樓兩房雙衛","7/25","https://www.ptt.cc/bbs/home-sale/M.1753433895.A.91A.html",""
"Re: [請益] 裝隱形鐵窗收到管委會公文 要舉證否則拆","7/25","https://www.ptt.cc/bbs/home-sale/M.1753435065.A.A56.html","3"
"Re: [心得] 房板Ceca的投資謬論大解析（下）","7/25","https://www.ptt.cc/bbs/home-sale/M.1753435519.A.230.html","86"
"Re: [心得] 近期貸款狀況分享","7/25","https://www.ptt.cc/bbs/home-sale/M.1753438362.A.52F.html","38"
"[賣/桃園/上南崁] 宜誠雅居2+1房車 $ 1258萬","7/25","https://www.ptt.cc/bbs/home-sale/M.1753439795.A.692.html",""
"Re: [請益] 不知道該不該整間出租還是當共生宅分租","7/25","https://www.ptt.cc/bbs/home-sale/M.1753440946.A.0BC.html","14"
"Re: [閒聊] 少子化的房價物價","7/25","https://www.ptt.cc/bbs/home-sale/M.1753443086.A.EE0.html","9"
"[賣/台中/大里] 精銳建設軟體園區邊間2房平車","7/25","https://www.ptt.cc/bbs/home-sale/M.1753447632.A.DC7.html",""
"[賣/台南/歸仁]近文化國小3房電寓","7/25","https://www.ptt.cc/bbs/home-sale/M.1753449256.A.41A.html","2"
"[請益] 請問這畫的出建築線嗎?","7/25","https://www.ptt.cc/bbs/home-sale/M.1753453176.A.0D4.html","6"
"[閒聊] 2025年06月全國買賣移轉棟數","7/25","https://www.ptt.cc/bbs/home-sale/M.1753453725.A.DAC.html","25"
"Re: [新聞] 社宅住9年到期！林口男找屋壓力大跳","7/25","https://www.ptt.cc/bbs/home-sale/M.1753455881.A.DD6.html","3"
"[賣/新竹/竹北]近台元/5年新社區型四大房美透天","7/26","https://www.ptt.cc/bbs/home-sale/M.1753469607.A.C6B.html","1"
"[賣/台南/永康]平實南紡商圈和宜勝利平車兩房","7/26","https://www.ptt.cc/bbs/home-sale/M.1753480003.A.788.html","1"
"[閒聊] 出社會10年看房價的心境","7/26","https://www.ptt.cc/bbs/home-sale/M.1753486804.A.C98.html","爆"
"[買//] 新北新店、台北南港內湖木柵","7/26","https://www.ptt.cc/bbs/home-sale/M.1753486894.A.68E.html","11"
"[請益] 現在第二房不能轉增貸嗎","7/26","https://www.ptt.cc/bbs/home-sale/M.1753497772.A.A1A.html","13"
"Re: [閒聊] 出社會10年看房價的心境","7/26","https://www.ptt.cc/bbs/home-sale/M.1753499118.A.3F4.html","30"
"[賣/台南/北區]長榮新城三房平車","7/25","https://www.ptt.cc/bbs/home-sale/M.1753409466.A.59F.html",""
"Re: [閒聊] 少子化的房價物價","7/25","https://www.ptt.cc/bbs/home-sale/M.1753409680.A.B69.html","7"
"[賣/桃園/蘆竹]麗寶經典採光好三房","7/25","https://www.ptt.cc/bbs/home-sale/M.1753410239.A.446.html",""
"[新聞] 首購族慘遭話術坑殺!1,100萬買到900萬的","7/25","https://www.ptt.cc/bbs/home-sale/M.1753411831.A.7BE.html",""
"Re: [新聞] 竹北市第一公墓今起宣布禁葬","7/25","https://www.ptt.cc/bbs/home-sale/M.1753412281.A.163.html","35"
"Re: [新聞] 社宅住9年到期！林口男找屋壓力大跳樓","7/25","https://www.ptt.cc/bbs/home-sale/M.1753412398.A.37C.html","7"
"Re: [閒聊] 炒房是經濟毒瘤","7/25","https://www.ptt.cc/bbs/home-sale/M.1753412951.A.065.html","12"
"[賣/新北/新莊] 傳家尊爵捷運河景宅四房誠請饗饗","7/25","https://www.ptt.cc/bbs/home-sale/M.1753413158.A.A34.html","10"
"[新聞] 東京千代田區買房要5年限售了？","7/25","https://www.ptt.cc/bbs/home-sale/M.1753414600.A.D64.html","9"
"[買/新北/三重] 或中永和板橋二或三房車","7/25","https://www.ptt.cc/bbs/home-sale/M.1753414695.A.074.html",""
"Re: [新聞] 社宅住9年到期！林口男找屋壓力大跳樓","7/25","https://www.ptt.cc/bbs/home-sale/M.1753414841.A.AB4.html","18"
"Re: [新聞] 社宅住9年到期！林口男找屋壓力大跳樓","7/25","https://www.ptt.cc/bbs/home-sale/M.1753416150.A.17E.html","4"
"[賣/苗栗/公館鄉] 獨家近交流道、前院停車別墅","7/25","https://www.ptt.cc/bbs/home-sale/M.1753416215.A.406.html",""
"[新聞] 酷炫報考房仲筆試「錄取率9成」差1分落榜","7/25","https://www.ptt.cc/bbs/home-sale/M.1753417144.A.42E.html","20"
