"title","date","link","nrec"
"[新聞] 南早:美中瑞典談判 將關稅戰停火再延90天","7/27","https://www.ptt.cc/bbs/Stock/M.1753630835.A.6EF.html","29.0"
"[公告] 4-6-1罰則將在明天起加重至30天到年底","7/21","https://www.ptt.cc/bbs/Stock/M.1753097242.A.C95.html","41.0"
"[閒聊] 2025/07/25 盤後閒聊","7/25","https://www.ptt.cc/bbs/Stock/M.1753423259.A.838.html","99.0"
"[標的] 2316楠梓電 多","7/27","https://www.ptt.cc/bbs/Stock/M.1753590097.A.8FD.html","42.0"
"[公告] 大水桶 大成功","7/27","https://www.ptt.cc/bbs/Stock/M.1753590467.A.FA3.html","27.0"
"[標的] 普發現金概念股 多","7/27","https://www.ptt.cc/bbs/Stock/M.1753591362.A.EFE.html","42.0"
"[新聞] 國旅2.22億人次創新高 住房率低成觀光課","7/27","https://www.ptt.cc/bbs/Stock/M.1753592085.A.2CA.html","50.0"
"[新聞] 川普關稅倒數5天！印度爆「談判一團亂」","7/27","https://www.ptt.cc/bbs/Stock/M.1753592788.A.3AF.html","15.0"
"[新聞] 赤澤：對美投資出資比率為1%至2%","7/27","https://www.ptt.cc/bbs/Stock/M.1753592791.A.3A5.html","26.0"
"[新聞] 最大客戶恐轉單…台積電地位要被動搖","7/27","https://www.ptt.cc/bbs/Stock/M.1753593080.A.BBC.html","100.0"
"[新聞] 日本投資5500億美元讓美國爽賺？日經爆-","7/27","https://www.ptt.cc/bbs/Stock/M.1753599145.A.DCF.html","39.0"
"Re: [新聞] 最大客戶恐轉單…台積電地位要被動搖","7/27","https://www.ptt.cc/bbs/Stock/M.1753600625.A.AC8.html","36.0"
"Re: [新聞] 最大客戶恐轉單…台積電地位要被動搖","7/27","https://www.ptt.cc/bbs/Stock/M.1753612543.A.685.html","15.0"
"[新聞] 美股大賺60%的中國人慘了！北京突襲追討2","7/27","https://www.ptt.cc/bbs/Stock/M.1753619675.A.AEB.html","63.0"
"Re: [新聞] 最大客戶恐轉單…台積電地位要被動搖","7/27","https://www.ptt.cc/bbs/Stock/M.1753625646.A.6DC.html","47.0"
"[新聞] 美財長籲放寬監管 加速台積電在美建廠","7/27","https://www.ptt.cc/bbs/Stock/M.1753627832.A.950.html","25.0"
"[新聞]南韓關稅談判關鍵在下周!南韓府方:美國高度","7/26","https://www.ptt.cc/bbs/Stock/M.1753525911.A.484.html","11.0"
"[新聞] 國防概念全線起飛！500億無人機大單引爆","7/26","https://www.ptt.cc/bbs/Stock/M.1753528629.A.A08.html","38.0"
"[新聞] 威剛買進「周杰倫概念股」巨星傳奇　擴大","7/26","https://www.ptt.cc/bbs/Stock/M.1753532464.A.B4C.html","27.0"
"[心得] 選擇權真的是非常適合賭徒的投資工具","7/26","https://www.ptt.cc/bbs/Stock/M.1753538303.A.B4B.html","69.0"
"Re: [心得] 正二真的適合長期嗎?","7/26","https://www.ptt.cc/bbs/Stock/M.1753538528.A.E9C.html","19.0"
"Re: [心得] 正二真的適合長期嗎?","7/26","https://www.ptt.cc/bbs/Stock/M.1753539034.A.145.html","15.0"
"Re: [心得] 正二真的適合長期嗎?","7/26","https://www.ptt.cc/bbs/Stock/M.1753541512.A.DC9.html","23.0"
"[情報] 日本的5500億鎂，可能要投資美積電","7/27","https://www.ptt.cc/bbs/Stock/M.1753550549.A.F66.html","62.0"
"[新聞] 台股短線壓力消失 專家：關稅才是關鍵","7/27","https://www.ptt.cc/bbs/Stock/M.1753554638.A.B57.html","12.0"
"[新聞] 川普出手:泰柬同意停火 不停火就課36%關稅","7/27","https://www.ptt.cc/bbs/Stock/M.1753557260.A.6B9.html","100.0"
"Re: [心得] 選擇權真的是非常適合賭徒的投資工具","7/27","https://www.ptt.cc/bbs/Stock/M.1753575259.A.16F.html","25.0"
"[新聞] 美國賺到盆滿缽滿！川普考慮發「關稅紅包","7/27","https://www.ptt.cc/bbs/Stock/M.1753580979.A.F7F.html","69.0"
"[新聞] 罷免落幕 台股釀補漲行情","7/27","https://www.ptt.cc/bbs/Stock/M.1753582165.A.4F3.html","100.0"
"Re: [新聞] 川普：強勢美元好聽 弱美元才有利美國製","7/26","https://www.ptt.cc/bbs/Stock/M.1753497481.A.E77.html","13.0"
"[新聞] 美財部現接受Venmo PayPal抖內來減少國債","7/26","https://www.ptt.cc/bbs/Stock/M.1753502823.A.E1F.html","55.0"
"[心得] 正二真的適合長期嗎?","7/26","https://www.ptt.cc/bbs/Stock/M.1753506456.A.BE2.html","78.0"
"[心得] 正三真的適合長期嗎","7/26","https://www.ptt.cc/bbs/Stock/M.1753510017.A.F9C.html","57.0"
"Re: [心得] 正二真的適合長期嗎?","7/26","https://www.ptt.cc/bbs/Stock/M.1753510723.A.ABB.html","15.0"
"Re: [心得] 正三真的適合長期嗎","7/26","https://www.ptt.cc/bbs/Stock/M.1753518594.A.632.html","14.0"
"[新聞] 祭改無效？台積電嘉科廠再爆翻車事故","7/26","https://www.ptt.cc/bbs/Stock/M.1753520632.A.CD4.html","37.0"
"[新聞] 投票日「關稅仍受關注」卓榮泰：持續談判","7/26","https://www.ptt.cc/bbs/Stock/M.1753521254.A.97D.html","82.0"
"Re: [心得] 正二真的適合長期嗎?","7/26","https://www.ptt.cc/bbs/Stock/M.1753521508.A.EAF.html","13.0"
"Re: [心得] 正二真的適合長期嗎?","7/26","https://www.ptt.cc/bbs/Stock/M.1753521906.A.197.html","47.0"
"[新聞] 飯店備品一包680元！國旅人次創新高「住2","7/25","https://www.ptt.cc/bbs/Stock/M.1753448097.A.358.html","99.0"
"[新聞] 金融時報：中國黑市交易輝達B200晶片　如","7/25","https://www.ptt.cc/bbs/Stock/M.1753450286.A.67D.html","29.0"
"[新聞] 美股空頭繳械了 VIX恐慌指數跌至5個月低","7/25","https://www.ptt.cc/bbs/Stock/M.1753451652.A.D28.html","52.0"
"[新聞] 台積電美國廠晶片貴2成 AMD蘇姿丰喊值得","7/25","https://www.ptt.cc/bbs/Stock/M.1753453136.A.699.html","30.0"
"[新聞] 美國關稅收入創新高 川普考慮發放「關稅","7/25","https://www.ptt.cc/bbs/Stock/M.1753453898.A.472.html","100.0"
"Re: [新聞] 美國關稅收入創新高 川普考慮發放「關稅","7/25","https://www.ptt.cc/bbs/Stock/M.1753455860.A.6E8.html","48.0"
"[新聞] American Eagle合作當紅女星 搭上迷因股列車","7/25","https://www.ptt.cc/bbs/Stock/M.1753456400.A.25E.html","17.0"
"[新聞] 陸資內卷嚴重 傳華為中興PCB供應商破產…","7/25","https://www.ptt.cc/bbs/Stock/M.1753458721.A.E60.html","35.0"
"[新聞] 會錯意？鮑爾說美國表現強勁 川普竟解讀","7/26","https://www.ptt.cc/bbs/Stock/M.1753459345.A.71D.html","53.0"
"[標的] ASPI 買不夠多就噴了","7/26","https://www.ptt.cc/bbs/Stock/M.1753460807.A.530.html","29.0"
"[新聞] 川普：歡迎用錢換低關稅 日本鉅額投資","7/26","https://www.ptt.cc/bbs/Stock/M.1753464302.A.D0E.html","87.0"
"[新聞] 有台灣了？　川普將寄出200封關稅信：15-","7/26","https://www.ptt.cc/bbs/Stock/M.1753492166.A.95E.html","91.0"
"[新聞] 川普：強勢美元好聽 弱美元才有利美國製","7/26","https://www.ptt.cc/bbs/Stock/M.1753492173.A.1C6.html","89.0"
