title,date,link,nrec
[情報] 薪資查詢平台,3/31,https://www.ptt.cc/bbs/Tech_Job/M.1585618843.A.D43.html,37.0
[公告] 多重帳號違規處理說明與適用原則,6/23,https://www.ptt.cc/bbs/Tech_Job/M.1750676350.A.8BD.html,45.0
[公告] 跑步哥列本板不受歡迎人物,7/11,https://www.ptt.cc/bbs/Tech_Job/M.1752214457.A.CC8.html,20.0
[討論] 高中生科展做1.5nm GAA 可以去台積RD嗎?,7/23,https://www.ptt.cc/bbs/Tech_Job/M.1753230185.A.E5C.html,64.0
[新聞] 快訊／台積電嘉義廠「2月4起工安意外」,7/18,https://www.ptt.cc/bbs/Tech_Job/M.1752828153.A.E5C.html,49.0
Re: [新聞] 工程師年薪300萬「卻騎車上班？」妹子不解　竹科人曝悲,7/18,https://www.ptt.cc/bbs/Tech_Job/M.1752845296.A.A77.html,22.0
[新聞] 黃仁勳：華為AI晶片取代輝達是時間問題,7/18,https://www.ptt.cc/bbs/Tech_Job/M.1752852177.A.D67.html,21.0
[請益] 台積電的股價是一堆工程師輪班換來的嗎,7/20,https://www.ptt.cc/bbs/Tech_Job/M.1752997785.A.B40.html,33.0
Re: [新聞] 工程師年薪300萬「卻騎車上班？」妹子不解　竹科人曝悲,7/21,https://www.ptt.cc/bbs/Tech_Job/M.1753085886.A.264.html,26.0
[新聞] 李文如閃辭傳接任輝達台灣區總經理！台積,7/21,https://www.ptt.cc/bbs/Tech_Job/M.1753092868.A.FF3.html,31.0
[新聞] 經部：台積電最先進技術根留台灣　勿散,7/21,https://www.ptt.cc/bbs/Tech_Job/M.1753099127.A.00D.html,32.0
[新聞] 黃仁勳：輕視華為、中國製造的人都極其,7/16,https://www.ptt.cc/bbs/Tech_Job/M.1752677951.A.8D6.html,21.0
[公告] Dino14124 AreLies 水桶一個月,7/14,https://www.ptt.cc/bbs/Tech_Job/M.1752459400.A.165.html,22.0
[討論] 大家會有指導獎金嗎,7/14,https://www.ptt.cc/bbs/Tech_Job/M.1752478715.A.A9B.html,45.0
[討論] 台灣微軟這次有人被裁員嗎？,7/10,https://www.ptt.cc/bbs/Tech_Job/M.1752124919.A.E65.html,23.0
[公告]多重分身水桶,7/10,https://www.ptt.cc/bbs/Tech_Job/M.1752129928.A.FE3.html,44.0
Re: [公告] 台達公關檢舉區,7/10,https://www.ptt.cc/bbs/Tech_Job/M.1752161783.A.7F1.html,63.0
Re: [新聞] 台積電掌管採購副總李文如休長假,7/11,https://www.ptt.cc/bbs/Tech_Job/M.1752230265.A.C19.html,45.0
[新聞] 敏感詞達35萬 DeepSeek使用率從50%跌至3%,7/11,https://www.ptt.cc/bbs/Tech_Job/M.1752244272.A.F95.html,22.0
[討論] 有沒有人的冷卻水塔也被吹爆了XD,7/07,https://www.ptt.cc/bbs/Tech_Job/M.1751857555.A.4F1.html,20.0
[請益] 富邦IT,7/07,https://www.ptt.cc/bbs/Tech_Job/M.1751865940.A.3F2.html,53.0
[新聞]當年痛毆台灣電子業，如今步入懸崖邊：三,7/07,https://www.ptt.cc/bbs/Tech_Job/M.1751888021.A.694.html,50.0
[新聞] 輝達訂單遲不來 三星獲利暴跌39％,7/07,https://www.ptt.cc/bbs/Tech_Job/M.1751896731.A.89C.html,26.0
[新聞] 祖克柏挖走蘋果大將 Meta重金組AI研發天團,7/08,https://www.ptt.cc/bbs/Tech_Job/M.1751986732.A.672.html,25.0
Re: [請益] 主管不給廠商錢要我去講,7/09,https://www.ptt.cc/bbs/Tech_Job/M.1752031503.A.12F.html,36.0
[新聞]三星下令，半年內 2 奈米良率要追上台積電,7/09,https://www.ptt.cc/bbs/Tech_Job/M.1752070062.A.207.html,72.0
[討論] 科技板未來動向,7/09,https://www.ptt.cc/bbs/Tech_Job/M.1752075550.A.C1D.html,51.0
Re: [討論] G黑是不是都不見了？,7/04,https://www.ptt.cc/bbs/Tech_Job/M.1751593341.A.A1A.html,32.0
[新聞] 竹科工程師疑壓力尋短 業界曝科技業常發,7/05,https://www.ptt.cc/bbs/Tech_Job/M.1751658939.A.CB1.html,30.0
Re: [討論] G黑是不是都不見了？,7/05,https://www.ptt.cc/bbs/Tech_Job/M.1751687012.A.DD2.html,22.0
[請益] Amazon ring,7/05,https://www.ptt.cc/bbs/Tech_Job/M.1751707449.A.E82.html,31.0
[新聞] 外媒：台積電遭控種族歧視、環境不安全,7/05,https://www.ptt.cc/bbs/Tech_Job/M.1751712223.A.E80.html,83.0
Re: [公告] 2025年科技板新板規,7/06,https://www.ptt.cc/bbs/Tech_Job/M.1751736613.A.994.html,27.0
[新聞]寧讓台積電兩三年內獨大，為何陳立武決定,7/06,https://www.ptt.cc/bbs/Tech_Job/M.1751764036.A.3C0.html,40.0
[公告] huangwm ZXCVBNM9999 政治文 水桶一個月,7/03,https://www.ptt.cc/bbs/Tech_Job/M.1751519931.A.591.html,38.0
Re: [公告] huangwm ZXCVBNM9999 政治文 水桶一個月,7/03,https://www.ptt.cc/bbs/Tech_Job/M.1751552360.A.779.html,25.0
[新聞] Meta傳1億美金挖角！OpenAI員工一週走8人,7/01,https://www.ptt.cc/bbs/Tech_Job/M.1751327597.A.D96.html,41.0
[討論] 台灣小公司面試 老闆是不是很自卑,7/01,https://www.ptt.cc/bbs/Tech_Job/M.1751354081.A.738.html,38.0
[討論] 我夢到竹科今天有人上吊 (Dcard),7/01,https://www.ptt.cc/bbs/Tech_Job/M.1751379130.A.CC2.html,99.0
[公告] kakar0to 政治文 水桶一個月,7/02,https://www.ptt.cc/bbs/Tech_Job/M.1751420572.A.10E.html,21.0
