"title","date","link","nrec"
"[情報] 2812 台中銀 114年除權息日","7/28","https://www.ptt.cc/bbs/Stock/M.1753698642.A.651.html","5"
"[情報] 3189 景碩 114年H1:1.35","7/28","https://www.ptt.cc/bbs/Stock/M.1753698679.A.D70.html","11"
"[情報] 5880 合庫金 114年除權息日","7/28","https://www.ptt.cc/bbs/Stock/M.1753699022.A.AF3.html","2"
"[新聞] 外資上週買超401億元 反手大砍台新金32萬","7/28","https://www.ptt.cc/bbs/Stock/M.1753701529.A.FAE.html","5"
"[情報] 2363 矽統 114年H1:1.20","7/28","https://www.ptt.cc/bbs/Stock/M.1753702626.A.D9D.html","2"
"Re: [標的] 1301台塑 扭轉乾坤多 40下無限買","7/28","https://www.ptt.cc/bbs/Stock/M.1753702898.A.837.html",""
"[新聞] 景氣燈號「回落近1年半」最低點　國發會","7/28","https://www.ptt.cc/bbs/Stock/M.1753703090.A.B1C.html","26"
"Re: [標的] 2317鴻海 跟著我們的人全力拉抬上兩百很","7/28","https://www.ptt.cc/bbs/Stock/M.1753703164.A.134.html","6"
"Re: [標的] 2409友達 砸電視準備多 最低檔安全的類","7/28","https://www.ptt.cc/bbs/Stock/M.1753703541.A.D26.html",""
"[請益] 股票質借問題 年齡限制?","7/28","https://www.ptt.cc/bbs/Stock/M.1753703924.A.C0E.html","2"
"Re: [標的] 1314中石化 翻倍股  送錢給你花 準備發","7/28","https://www.ptt.cc/bbs/Stock/M.1753703990.A.545.html","2"
"[公告] 股票板板規 v4.7 (2024/10/06 修正)","7/02","https://www.ptt.cc/bbs/Stock/M.1719872231.A.9BA.html",""
"[公告] 4-6-1罰則將在明天起加重至30天到年底","7/21","https://www.ptt.cc/bbs/Stock/M.1753097242.A.C95.html","44"
"[閒聊] 2025/07/28 盤後閒聊","7/28","https://www.ptt.cc/bbs/Stock/M.1753682402.A.01C.html","爆"
"[情報] 114年07月28日 三大法人買賣金額統計表","7/28","https://www.ptt.cc/bbs/Stock/M.1753686002.A.232.html","57"
"[新聞] 戰中國稀土 日本2010年的經驗給美國上了","7/28","https://www.ptt.cc/bbs/Stock/M.1753687172.A.138.html","77"
"[新聞] 美歐協議最後關頭「被加碼」？照片曝疑川","7/28","https://www.ptt.cc/bbs/Stock/M.1753688992.A.D6A.html","52"
"[情報] 6919 康霈* 達注意標準 6月自結 -0.06","7/28","https://www.ptt.cc/bbs/Stock/M.1753689354.A.CA4.html","50"
"[情報] 2025年 6月份景氣燈號 綠燈 (29分)","7/28","https://www.ptt.cc/bbs/Stock/M.1753690148.A.2E7.html","爆"
"[情報] 0728 上市外資買賣超排行","7/28","https://www.ptt.cc/bbs/Stock/M.1753690793.A.1BF.html","22"
"[新聞] 美商務部長：川普喜愛TikTok　但得歸美","7/28","https://www.ptt.cc/bbs/Stock/M.1753692275.A.91D.html","70"
"[情報] 3008 大立光 董事會決議股利分派","7/28","https://www.ptt.cc/bbs/Stock/M.1753692956.A.11F.html","6"
"[新聞] 124元跌到剩9元！昔日房市大咖變水餃股","7/28","https://www.ptt.cc/bbs/Stock/M.1753693264.A.F21.html","34"
"[新聞] 金管會祭新規，高配息ETF神話走向終章？","7/28","https://www.ptt.cc/bbs/Stock/M.1753693318.A.7EB.html","16"
"[新聞] 台美關稅還沒出來 富邦投信董座「樂觀看待","7/28","https://www.ptt.cc/bbs/Stock/M.1753693445.A.170.html","17"
"Re: [情報] 2025年 6月份景氣燈號 綠燈 (29分)","7/28","https://www.ptt.cc/bbs/Stock/M.1753693866.A.3EC.html","8"
"[公告] 0728 水桶","7/28","https://www.ptt.cc/bbs/Stock/M.1753694010.A.DC8.html","9"
"[新聞] 獨／胡亦嘉：街口是我一手創立的品牌 會","7/28","https://www.ptt.cc/bbs/Stock/M.1753694784.A.39C.html","53"
"[新聞] 快訊／泰柬宣布停火！2國同意立即生效","7/28","https://www.ptt.cc/bbs/Stock/M.1753696585.A.DA9.html","60"
"[新聞] 川普為與中國達成貿易協議 凍結出口管制","7/28","https://www.ptt.cc/bbs/Stock/M.1753697333.A.2A8.html","34"
"[情報] 2323 中環 處分廣達、順達科(皆損)","7/28","https://www.ptt.cc/bbs/Stock/M.1753698256.A.597.html","10"
"[情報] 2880 華南金 114年除權息日","7/28","https://www.ptt.cc/bbs/Stock/M.1753698465.A.8CD.html","1"
"[新聞] 嘉義豪雨猛炸！台積電AP7淹水畫面曝　他","7/28","https://www.ptt.cc/bbs/Stock/M.1753672842.A.349.html","92"
"[公告] kqj91005 水桶","7/28","https://www.ptt.cc/bbs/Stock/M.1753674594.A.342.html","8"
"Re: [新聞] 三星宣布搶到165億美元代工大單","7/28","https://www.ptt.cc/bbs/Stock/M.1753674933.A.6E4.html","40"
"[新聞] 結束第4輪關稅磋商 鄭麗君返台 政院備妥9","7/28","https://www.ptt.cc/bbs/Stock/M.1753676412.A.D42.html","爆"
"Re: [新聞] 美股大賺60%的中國人慘了！北京突襲追討2","7/28","https://www.ptt.cc/bbs/Stock/M.1753676501.A.852.html","62"
"Re: [心得] 正二真的適合長期嗎?","7/28","https://www.ptt.cc/bbs/Stock/M.1753677772.A.408.html","21"
"[新聞] 馬斯克說台積電將在美生產 AI5 晶片、證","7/28","https://www.ptt.cc/bbs/Stock/M.1753678043.A.F53.html","55"
"[新聞] 鄭麗君談判風格「很難纏」駐美副代表楊懿","7/28","https://www.ptt.cc/bbs/Stock/M.1753678506.A.BD9.html","58"
"[新聞] 歐盟半導體列15％關稅清單　川普點名台灣","7/28","https://www.ptt.cc/bbs/Stock/M.1753678996.A.36F.html","40"
"[新聞] 高股息ETF成追憶？金管會新令：ETF實際配","7/28","https://www.ptt.cc/bbs/Stock/M.1753679156.A.565.html","48"
"Re: [新聞] 川普表示希望MUSK及其他美國公司蓬勃發展","7/28","https://www.ptt.cc/bbs/Stock/M.1753679180.A.706.html","5"
"Re: [新聞] 結束第4輪關稅磋商 鄭麗君返台 政院備妥9","7/28","https://www.ptt.cc/bbs/Stock/M.1753680862.A.21C.html","31"
